op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps
bandwidth,copy,,0,1048576,27971.100,0.0000,299.9027
bandwidth,copy,,0,4194304,48177.500,0.0000,696.4752
bandwidth,copy,,0,16777216,568153.450,0.0000,236.2350
bandwidth,copy,,0,67108864,2269882.800,0.0000,236.5192
elementwise,relu,fp32,0,1048576,34607.750,0.0000,242.3910
elementwise,relu,fp16,0,1048576,25015.500,0.0000,167.6682
elementwise,relu,fp32,0,4194304,58829.750,0.0000,570.3650
elementwise,relu,fp16,0,4194304,60616.650,0.0000,276.7757
elementwise,relu,fp32,0,16777216,562749.200,0.0000,238.5036
elementwise,relu,fp16,0,16777216,110980.850,0.0000,604.6887
elementwise,relu,fp32,0,67108864,2258298.750,0.0000,237.7325
elementwise,relu,fp16,0,67108864,1135048.600,0.0000,236.4969
gemv,naive,fp32,0,256,16986.250,7.7164,15.4327
gemv,naive,fp16,0,256,16491.300,7.9479,7.9479
gemv,naive,q8,32,256,25388.200,5.1627,2.7427
gemv,naive,q4,32,256,25538.500,5.1323,1.4435
gemv,naive,q8,64,256,25059.600,5.2304,2.6969
gemv,naive,q4,64,256,25209.850,5.1992,1.3810
gemv,naive,q8,128,256,24941.350,5.2552,2.6687
gemv,naive,q4,128,256,25095.650,5.2229,1.3465
gemv,naive,fp32,0,512,32261.250,16.2513,32.5026
gemv,naive,fp16,0,512,51169.200,10.2462,10.2462
gemv,naive,q8,32,512,63719.050,8.2281,4.3712
gemv,naive,q4,32,512,50832.550,10.3140,2.9008
gemv,naive,q8,64,512,63390.400,8.2708,4.2646
gemv,naive,q4,64,512,50530.000,10.3758,2.7561
gemv,naive,q8,128,512,59915.800,8.7504,4.4436
gemv,naive,q4,128,512,49862.700,10.5146,2.7108
gemv,naive,fp32,0,1024,65440.300,32.0468,64.0936
gemv,naive,fp16,0,1024,75108.700,27.9216,27.9216
gemv,naive,q8,32,1024,101667.150,20.6276,10.9584
gemv,naive,q4,32,1024,139513.050,15.0319,4.2277
gemv,naive,q8,64,1024,101340.500,20.6941,10.6704
gemv,naive,q4,64,1024,132968.600,15.7718,4.1894
gemv,naive,q8,128,1024,102655.000,20.4291,10.3742
gemv,naive,q4,128,1024,130722.350,16.0428,4.1360
gemv,naive,fp32,0,2048,162645.000,51.5762,103.1524
gemv,naive,fp16,0,2048,126696.700,66.2102,66.2102
gemv,naive,q8,32,2048,213383.400,39.3124,20.8847
gemv,naive,q4,32,2048,211551.950,39.6527,11.1523
gemv,naive,q8,64,2048,208229.600,40.2854,20.7721
gemv,naive,q4,64,2048,206724.750,40.5786,10.7787
gemv,naive,q8,128,2048,209365.750,40.0668,20.3464
gemv,naive,q4,128,2048,207376.000,40.4512,10.4288
gemv,naive,fp32,0,4096,694369.300,48.3236,96.6472
gemv,naive,fp16,0,4096,277164.600,121.0632,121.0632
gemv,naive,q8,32,4096,455852.100,73.6082,39.1043
gemv,naive,q4,32,4096,464590.700,72.2236,20.3129
gemv,naive,q8,64,4096,432700.100,77.5466,39.9850
gemv,naive,q4,64,4096,436603.550,76.8533,20.4142
gemv,naive,q8,128,4096,419841.700,79.9216,40.5852
gemv,naive,q4,128,4096,425243.950,78.9063,20.3430
gemv,subgroup,fp32,0,256,1715.250,76.4157,152.8314
gemv,subgroup,fp16,0,256,1376.600,95.2143,95.2143
gemv,subgroup,q8,32,256,1488.800,88.0387,46.7706
gemv,subgroup,q4,32,256,1460.750,89.7292,25.2364
gemv,subgroup,q8,64,256,1705.200,76.8661,39.6341
gemv,subgroup,q4,64,256,1452.750,90.2234,23.9656
gemv,subgroup,q8,128,256,1444.700,90.7261,46.0718
gemv,subgroup,q4,128,256,1446.700,90.6007,23.3580
gemv,subgroup,fp32,0,512,4564.650,114.8583,229.7166
gemv,subgroup,fp16,0,512,2633.000,199.1219,199.1219
gemv,subgroup,q8,32,512,11189.250,46.8564,24.8925
gemv,subgroup,q4,32,512,11289.450,46.4405,13.0614
gemv,subgroup,q8,64,512,2608.950,200.9575,103.6187
gemv,subgroup,q4,64,512,2578.850,203.3030,54.0024
gemv,subgroup,q8,128,512,2592.900,202.2014,102.6804
gemv,subgroup,q4,128,512,2548.800,205.6999,53.0320
gemv,subgroup,fp32,0,1024,10235.400,204.8920,409.7841
gemv,subgroup,fp16,0,1024,32088.950,65.3543,65.3543
gemv,subgroup,q8,32,1024,6241.850,335.9824,178.4907
gemv,subgroup,q4,32,1024,5506.450,380.8537,107.1151
gemv,subgroup,q8,64,1024,6217.800,337.2820,173.9110
gemv,subgroup,q4,64,1024,5502.450,381.1306,101.2378
gemv,subgroup,q8,128,1024,6215.800,337.3905,171.3311
gemv,subgroup,q4,128,1024,5478.400,382.8037,98.6916
gemv,subgroup,fp32,0,2048,64330.200,130.3992,260.7984
gemv,subgroup,fp16,0,2048,29806.600,281.4346,281.4346
gemv,subgroup,q8,32,2048,53623.850,156.4343,83.1057
gemv,subgroup,q4,32,2048,39795.600,210.7923,59.2853
gemv,subgroup,q8,64,2048,50850.600,164.9658,85.0605
gemv,subgroup,q4,64,2048,47504.250,176.5865,46.9058
gemv,subgroup,q8,128,2048,63618.850,131.8573,66.9588
gemv,subgroup,q4,128,2048,38887.850,215.7128,55.6135
gemv,subgroup,fp32,0,4096,447680.550,74.9517,149.9035
gemv,subgroup,fp16,0,4096,94507.550,355.0450,355.0450
gemv,subgroup,q8,32,4096,96858.000,346.4291,184.0405
gemv,subgroup,q4,32,4096,84157.900,398.7080,112.1366
gemv,subgroup,q8,64,4096,84921.350,395.1236,203.7356
gemv,subgroup,q4,64,4096,84710.950,396.1050,105.2154
gemv,subgroup,q8,128,4096,88173.500,380.5501,193.2481
gemv,subgroup,q4,128,4096,84372.300,397.6949,102.5307
gemm,naive,fp32,0,256,44135.850,760.2534,0.0000
gemm,naive,fp32,0,512,264003.600,1016.7871,0.0000
gemm,naive,fp32,0,1024,2184210.000,983.1855,0.0000
gemm,naive,fp32,0,2048,18994307.400,904.4746,0.0000
gemm,naive,fp32,0,4096,259891837.000,528.8314,0.0000
gemm,naive,fp16,0,256,43422.500,772.7430,0.0000
gemm,naive,fp16,0,512,260959.800,1028.6468,0.0000
gemm,naive,fp16,0,1024,2240791.500,958.3594,0.0000
gemm,naive,fp16,0,2048,18105592.850,948.8708,0.0000
gemm,naive,fp16,0,4096,166256870.000,826.6663,0.0000
gemm,tiled,fp32,0,256,14225.000,2358.8353,0.0000
gemm,tiled,fp32,0,512,106009.400,2532.1854,0.0000
gemm,tiled,fp32,0,1024,772517.750,2779.8502,0.0000
gemm,tiled,fp32,0,2048,6079507.100,2825.8655,0.0000
gemm,tiled,fp32,0,4096,84684966.400,1622.9439,0.0000
gemm,tiled,fp16,0,256,14669.850,2287.3057,0.0000
gemm,tiled,fp16,0,512,114918.300,2335.8808,0.0000
gemm,tiled,fp16,0,1024,782130.050,2745.6862,0.0000
gemm,tiled,fp16,0,2048,6113547.800,2810.1308,0.0000
gemm,tiled,fp16,0,4096,49788438.556,2760.4592,0.0000
gemm,naive,q8,32,256,66560.450,504.1197,0.0000
gemm,naive,q8,32,512,513964.500,522.2840,0.0000
gemm,naive,q8,32,1024,3956226.850,542.8110,0.0000
gemm,naive,q8,32,2048,32617642.429,526.7048,0.0000
gemm,naive,q8,32,4096,267577921.000,513.6409,0.0000
gemm,naive,q4,32,256,79529.100,421.9139,0.0000
gemm,naive,q4,32,512,607518.250,441.8558,0.0000
gemm,naive,q4,32,1024,4788650.450,448.4528,0.0000
gemm,naive,q4,32,2048,38874421.846,441.9325,0.0000
gemm,naive,q4,32,4096,315441703.000,435.7032,0.0000
gemm,naive,q8,64,256,67386.000,497.9437,0.0000
gemm,naive,q8,64,512,513948.500,522.3003,0.0000
gemm,naive,q8,64,1024,4014118.850,534.9826,0.0000
gemm,naive,q8,64,2048,33154928.067,518.1694,0.0000
gemm,naive,q8,64,4096,274305183.000,501.0440,0.0000
gemm,naive,q4,64,256,80102.150,418.8955,0.0000
gemm,naive,q4,64,512,607664.550,441.7494,0.0000
gemm,naive,q4,64,1024,4845205.950,443.2182,0.0000
gemm,naive,q4,64,2048,39333672.923,436.7726,0.0000
gemm,naive,q4,64,4096,319118849.000,430.6827,0.0000
gemm,naive,q8,128,256,66849.000,501.9437,0.0000
gemm,naive,q8,128,512,513175.000,523.0876,0.0000
gemm,naive,q8,128,1024,4033050.800,532.4713,0.0000
gemm,naive,q8,128,2048,33202974.000,517.4196,0.0000
gemm,naive,q8,128,4096,271885706.000,505.5027,0.0000
gemm,naive,q4,128,256,78968.000,424.9118,0.0000
gemm,naive,q4,128,512,607287.850,442.0234,0.0000
gemm,naive,q4,128,1024,4831309.500,444.4931,0.0000
gemm,naive,q4,128,2048,39554347.538,434.3358,0.0000
gemm,naive,q4,128,4096,318526524.000,431.4835,0.0000
gemm,coopmat,fp16,0,256,6037.450,5557.7159,0.0000
gemm,coopmat,fp16,0,512,61138.150,4390.6375,0.0000
gemm,coopmat,fp16,0,1024,369205.450,5816.5004,0.0000
gemm,coopmat,fp16,0,2048,3292533.850,5217.8261,0.0000
gemm,coopmat,fp16,0,4096,32712788.929,4201.3829,0.0000
gemm,coopmat,q8,0,256,4372.300,7674.3206,0.0000
gemm,coopmat,q8,0,512,53471.550,5020.1548,0.0000
gemm,coopmat,q8,0,1024,359140.350,5979.5109,0.0000
gemm,coopmat,q8,0,2048,2303979.550,7456.6066,0.0000
gemm,coopmat,q8,0,4096,29174634.800,4710.9057,0.0000
dequant,q4_to_fp16,q4,32,256,1202.250,0.0000,139.6848
gemm,coopmat_dequant,q4,32,256,5815.000,5770.3236,0.0000
dequant,q4_to_fp16,q4,32,512,12070.900,0.0000,55.6499
gemm,coopmat_dequant,q4,32,512,60761.400,4417.8616,0.0000
dequant,q4_to_fp16,q4,32,1024,17216.700,0.0000,156.0680
gemm,coopmat_dequant,q4,32,1024,369155.350,5817.2898,0.0000
dequant,q4_to_fp16,q4,32,2048,31588.000,0.0000,340.2528
gemm,coopmat_dequant,q4,32,2048,3299465.000,5206.8651,0.0000
dequant,q4_to_fp16,q4,32,4096,215391.200,0.0000,199.5978
gemm,coopmat_dequant,q4,32,4096,32616629.071,4213.7694,0.0000
gemm,coopmat_fused,q4,32,256,9820.650,3416.7221,0.0000
gemm,coopmat_fused,q4,32,512,55134.750,4868.7163,0.0000
gemm,coopmat_fused,q4,32,1024,429712.450,4997.4899,0.0000
gemm,coopmat_fused,q4,32,2048,3437086.500,4998.3814,0.0000
gemm,coopmat_fused,q4,32,4096,41924354.909,3278.2604,0.0000
