op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
bandwidth,copy,,0,262144,3111.900,0.0000,673.9137,2890.0,2890.0,2890.0,105.31,
bandwidth,copy,,0,524288,5680.750,0.0000,738.3363,2868.0,2868.0,2868.0,105.04,
bandwidth,copy,,0,1048576,9610.250,0.0000,872.8814,2827.0,2827.0,2827.0,104.43,
bandwidth,copy,,0,2097152,21039.950,0.0000,797.3981,2814.0,2814.0,2814.0,123.06,
bandwidth,copy,,0,3145728,31341.500,0.0000,802.9553,2813.0,2813.0,2813.0,132.81,
bandwidth,copy,,0,4194304,41759.300,0.0000,803.5200,2813.0,2813.0,2813.0,136.13,
bandwidth,copy,,0,6291456,215605.650,0.0000,233.4431,2814.3,2814.0,2815.0,137.72,
bandwidth,copy,,0,8388608,285480.400,0.0000,235.0735,2814.2,2814.0,2815.0,136.98,
bandwidth,copy,,0,12582912,427091.450,0.0000,235.6949,2814.6,2814.0,2815.0,136.16,
bandwidth,copy,,0,16777216,567762.750,0.0000,236.3976,2805.6,2805.0,2806.0,139.69,
bandwidth,copy,,0,33554432,1130812.550,0.0000,237.3828,2815.3,2814.0,2816.0,134.97,
bandwidth,copy,,0,67108864,2270083.150,0.0000,236.4983,2809.0,2807.0,2811.0,135.95,
