op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
bank,seq,,0,1,4528396.000,0.0000,237.1131,2798.6,2794.0,2803.0,137.28,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,spread,,0,1,4525071.650,0.0000,237.2873,2817.6,2814.0,2821.0,132.28,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,rand,,0,1,4548079.400,0.0000,236.0869,2827.3,2824.0,2831.0,126.38,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,seq,,0,2,4528071.350,0.0000,237.1301,2835.9,2833.0,2839.0,121.43,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,spread,,0,2,4529255.600,0.0000,237.0681,2843.3,2841.0,2846.0,117.27,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,rand,,0,2,4527315.950,0.0000,237.1696,2849.9,2848.0,2852.0,113.64,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,seq,,0,4,4530658.300,0.0000,236.9947,2855.7,2854.0,2858.0,110.25,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,spread,,0,4,4526584.550,0.0000,237.2079,2860.9,2859.0,2863.0,107.10,slabKB=800;readMiB=1024;bufs=2;parts=8
bank,rand,,0,4,4525951.350,0.0000,237.2411,2865.5,2864.0,2867.0,104.26,slabKB=800;readMiB=1024;bufs=2;parts=8
bank,seq,,0,8,4526482.350,0.0000,237.2133,2869.5,2868.0,2871.0,101.90,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,spread,,0,8,4548009.250,0.0000,236.0905,2873.2,2872.0,2874.0,99.48,slabKB=800;readMiB=1024;bufs=3;parts=8
bank,rand,,0,8,4531131.200,0.0000,236.9699,2876.3,2875.0,2877.0,97.31,slabKB=800;readMiB=1024;bufs=3;parts=8
bank,seq,,0,16,4526851.050,0.0000,237.1940,2878.9,2878.0,2880.0,95.97,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,spread,,0,16,4532926.600,0.0000,236.8761,2881.3,2880.0,2882.0,94.62,slabKB=800;readMiB=1024;bufs=5;parts=8
bank,rand,,0,16,4531043.000,0.0000,236.9745,2883.4,2883.0,2884.0,93.37,slabKB=800;readMiB=1024;bufs=5;parts=8
bank,seq,,0,32,4532668.100,0.0000,236.8896,2885.3,2885.0,2886.0,92.51,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,spread,,0,32,4534058.750,0.0000,236.8169,2886.9,2886.0,2888.0,91.67,slabKB=800;readMiB=1024;bufs=10;parts=8
bank,rand,,0,32,4533601.850,0.0000,236.8408,2888.4,2888.0,2889.0,90.57,slabKB=800;readMiB=1024;bufs=10;parts=8
bank,seq,,0,48,4558312.850,0.0000,235.5569,2889.7,2889.0,2890.0,89.72,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,spread,,0,48,4545095.700,0.0000,236.2419,2890.8,2890.0,2891.0,89.25,slabKB=800;readMiB=1024;bufs=14;parts=8
bank,rand,,0,48,4537116.550,0.0000,236.6573,2891.9,2891.0,2892.0,88.58,slabKB=800;readMiB=1024;bufs=14;parts=8
bank,seq,,0,64,4527466.200,0.0000,237.1618,2892.9,2892.0,2893.0,87.75,slabKB=800;readMiB=1024;bufs=1;parts=8
bank,spread,,0,64,4538026.300,0.0000,236.6099,2893.6,2893.0,2894.0,86.95,slabKB=800;readMiB=1024;bufs=19;parts=8
bank,rand,,0,64,4540857.650,0.0000,236.4623,2894.1,2894.0,2895.0,85.99,slabKB=800;readMiB=1024;bufs=19;parts=8
bank,seq,,0,1,4532087.000,0.0000,236.9199,2895.0,2895.0,2895.0,85.78,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,1,4527458.200,0.0000,237.1622,2895.6,2895.0,2896.0,85.29,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,rand,,0,1,4556934.200,0.0000,235.6281,2896.0,2896.0,2896.0,85.16,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,seq,,0,2,4541162.250,0.0000,236.4465,2896.0,2896.0,2896.0,85.27,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,2,4522849.450,0.0000,237.4038,2896.0,2896.0,2896.0,85.11,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,rand,,0,2,4527664.600,0.0000,237.1514,2894.4,2894.0,2895.0,84.72,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,seq,,0,4,4527558.400,0.0000,237.1569,2895.0,2895.0,2895.0,84.49,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,4,4530371.750,0.0000,237.0097,2895.7,2895.0,2896.0,84.03,slabKB=1600;readMiB=1024;bufs=2;parts=16
bank,rand,,0,4,4527287.900,0.0000,237.1711,2896.0,2896.0,2896.0,83.81,slabKB=1600;readMiB=1024;bufs=2;parts=16
bank,seq,,0,8,4530461.900,0.0000,237.0049,2896.5,2896.0,2897.0,83.53,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,8,4552668.100,0.0000,235.8489,2897.0,2897.0,2897.0,83.51,slabKB=1600;readMiB=1024;bufs=3;parts=16
bank,rand,,0,8,4538924.000,0.0000,236.5631,2897.0,2897.0,2897.0,83.35,slabKB=1600;readMiB=1024;bufs=3;parts=16
bank,seq,,0,16,4528914.950,0.0000,237.0859,2897.6,2897.0,2898.0,83.49,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,16,4535299.100,0.0000,236.7522,2898.0,2898.0,2898.0,83.38,slabKB=1600;readMiB=1024;bufs=5;parts=16
bank,rand,,0,16,4531099.100,0.0000,236.9716,2898.0,2898.0,2898.0,83.27,slabKB=1600;readMiB=1024;bufs=5;parts=16
bank,seq,,0,32,4525891.200,0.0000,237.2443,2898.0,2898.0,2898.0,83.38,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,32,4532443.650,0.0000,236.9013,2898.0,2898.0,2898.0,83.76,slabKB=1600;readMiB=1024;bufs=10;parts=16
bank,rand,,0,32,4529498.100,0.0000,237.0554,2898.2,2898.0,2899.0,83.70,slabKB=1600;readMiB=1024;bufs=10;parts=16
bank,seq,,0,48,4559186.500,0.0000,235.5117,2899.0,2899.0,2899.0,83.73,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,48,4542891.550,0.0000,236.3565,2899.0,2899.0,2899.0,83.89,slabKB=1600;readMiB=1024;bufs=14;parts=16
bank,rand,,0,48,4532213.250,0.0000,236.9134,2899.0,2899.0,2899.0,84.04,slabKB=1600;readMiB=1024;bufs=14;parts=16
bank,seq,,0,64,4525734.950,0.0000,237.2525,2899.0,2899.0,2899.0,84.10,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,64,4531956.750,0.0000,236.9268,2899.0,2899.0,2899.0,84.04,slabKB=1600;readMiB=1024;bufs=19;parts=16
bank,rand,,0,64,4538316.850,0.0000,236.5947,2899.0,2899.0,2899.0,84.04,slabKB=1600;readMiB=1024;bufs=19;parts=16
