op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
elementwise,relu,fp32,0,262144,3178.000,0.0000,659.8968,2886.0,2886.0,2886.0,87.73,
elementwise,relu,fp16,0,262144,2576.850,0.0000,406.9216,2873.0,2873.0,2873.0,88.42,
elementwise,relu,fp32,0,524288,5748.900,0.0000,729.5837,2849.0,2849.0,2849.0,89.04,
elementwise,relu,fp16,0,524288,4604.700,0.0000,455.4373,2816.0,2816.0,2816.0,89.01,
elementwise,relu,fp32,0,1048576,10902.700,0.0000,769.4065,2814.0,2814.0,2814.0,107.85,
elementwise,relu,fp16,0,1048576,8087.350,0.0000,518.6253,2814.0,2814.0,2814.0,123.89,
elementwise,relu,fp32,0,2097152,21170.200,0.0000,792.4921,2814.0,2814.0,2814.0,131.65,
elementwise,relu,fp16,0,2097152,13800.200,0.0000,607.8613,2814.0,2814.0,2814.0,135.17,
elementwise,relu,fp32,0,3145728,31425.700,0.0000,800.8039,2813.0,2813.0,2813.0,135.69,
elementwise,relu,fp16,0,3145728,19485.000,0.0000,645.7743,2813.0,2813.0,2813.0,135.32,
elementwise,relu,fp32,0,4194304,41695.200,0.0000,804.7553,2813.0,2813.0,2813.0,135.26,
elementwise,relu,fp16,0,4194304,25270.000,0.0000,663.9183,2813.0,2813.0,2813.0,135.44,
elementwise,relu,fp32,0,6291456,62212.200,0.0000,809.0318,2813.5,2813.0,2814.0,134.87,
elementwise,relu,fp16,0,6291456,36749.800,0.0000,684.7881,2813.0,2813.0,2813.0,134.85,
elementwise,relu,fp32,0,8388608,82935.550,0.0000,809.1689,2814.0,2814.0,2814.0,134.54,
elementwise,relu,fp16,0,8388608,48105.400,0.0000,697.5190,2813.0,2813.0,2813.0,133.60,
elementwise,relu,fp32,0,12582912,424863.200,0.0000,236.9311,2814.0,2814.0,2814.0,133.70,
elementwise,relu,fp16,0,12582912,70984.850,0.0000,709.0477,2814.0,2814.0,2814.0,134.31,
elementwise,relu,fp32,0,16777216,561376.600,0.0000,239.0868,2813.5,2813.0,2814.0,134.65,
elementwise,relu,fp16,0,16777216,93966.500,0.0000,714.1786,2814.0,2814.0,2814.0,135.38,
elementwise,relu,fp32,0,33554432,1133397.450,0.0000,236.8414,2814.0,2813.0,2815.0,134.74,
elementwise,relu,fp16,0,33554432,561494.800,0.0000,239.0365,2813.8,2813.0,2814.0,135.16,
elementwise,relu,fp32,0,67108864,2258356.900,0.0000,237.7263,2792.1,2790.0,2794.0,134.24,
elementwise,relu,fp16,0,67108864,1133499.650,0.0000,236.8201,2786.8,2786.0,2788.0,135.44,
