op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
gemm,naive,fp32,0,256,44440.400,755.0434,0.0000,2813.0,2813.0,2813.0,118.90,
gemm,naive,fp32,0,512,270646.200,991.8316,0.0000,2813.0,2813.0,2813.0,119.13,
gemm,naive,fp32,0,1024,2269317.700,946.3125,0.0000,2813.7,2813.0,2815.0,119.05,
gemm,naive,fp32,0,2048,18316164.900,937.9621,0.0000,2828.7,2815.0,2841.0,118.29,
gemm,naive,fp32,0,4096,259837574.000,528.9418,0.0000,2845.2,2838.0,2852.0,110.43,
gemm,naive,fp16,0,256,43731.050,767.2908,0.0000,2853.0,2853.0,2853.0,112.31,
gemm,naive,fp16,0,512,263386.400,1019.1698,0.0000,2850.0,2850.0,2850.0,112.57,
gemm,naive,fp16,0,1024,2243162.000,957.3467,0.0000,2816.2,2814.0,2818.0,112.45,
gemm,naive,fp16,0,2048,18020889.900,953.3308,0.0000,2830.7,2818.0,2843.0,120.75,
gemm,naive,fp16,0,4096,167703178.000,819.5370,0.0000,2853.6,2845.0,2861.0,111.36,
gemm,tiled,fp32,0,256,14389.300,2331.9016,0.0000,2862.0,2862.0,2862.0,111.27,
gemm,tiled,fp32,0,512,107105.500,2506.2714,0.0000,2863.0,2863.0,2863.0,111.66,
gemm,tiled,fp32,0,1024,759879.750,2826.0835,0.0000,2855.0,2855.0,2855.0,112.35,
gemm,tiled,fp32,0,2048,6104913.400,2814.1053,0.0000,2819.1,2815.0,2823.0,117.53,
gemm,tiled,fp32,0,4096,84582876.400,1624.9028,0.0000,2840.4,2827.0,2852.0,121.21,
gemm,tiled,fp16,0,256,14898.300,2252.2323,0.0000,2851.0,2851.0,2851.0,120.10,
gemm,tiled,fp16,0,512,115180.800,2330.5573,0.0000,2826.0,2826.0,2826.0,118.97,
gemm,tiled,fp16,0,1024,799430.900,2686.2655,0.0000,2813.0,2813.0,2813.0,120.57,
gemm,tiled,fp16,0,2048,6501266.450,2642.5419,0.0000,2808.6,2803.0,2813.0,121.27,
gemm,tiled,fp16,0,4096,53115132.667,2587.5668,0.0000,2781.5,2767.0,2798.0,120.96,
gemm,naive,q8,32,256,69600.200,482.1025,0.0000,2735.0,2735.0,2735.0,119.85,
gemm,naive,q8,32,512,527951.100,508.4476,0.0000,2813.0,2813.0,2813.0,120.08,
