op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
gemm,wmma_reg32,fp16,0,256,6380.100,5259.2329,0.0000,2814.0,2814.0,2814.0,138.70,tile=32x32x16 waves=64 ai=16 strideA=512B strideB=512B
gemm,wmma_reg32,fp16,0,512,20206.350,13284.7078,0.0000,2813.0,2813.0,2813.0,138.65,tile=32x32x16 waves=256 ai=16 strideA=1024B strideB=1024B
gemm,wmma_reg32,fp16,0,1024,289397.850,7420.5238,0.0000,2814.0,2814.0,2814.0,137.23,tile=32x32x16 waves=1024 ai=16 strideA=2048B strideB=2048B
gemm,wmma_reg32,fp16,0,2048,1330546.050,12911.8937,0.0000,2739.8,2739.0,2741.0,135.63,tile=32x32x16 waves=4096 ai=16 strideA=4096B strideB=4096B
gemm,wmma_reg32,fp16,0,4096,11118671.600,12361.0948,0.0000,2747.3,2745.0,2750.0,138.63,tile=32x32x16 waves=16384 ai=16 strideA=8192B strideB=8192B
gemm,wmma_reg64,fp16,0,256,10814.500,3102.7262,0.0000,2722.0,2722.0,2722.0,135.66,tile=64x64x16 waves=16 ai=32 strideA=512B strideB=512B
gemm,wmma_reg64,fp16,0,512,20601.100,13030.1516,0.0000,2748.0,2748.0,2748.0,135.22,tile=64x64x16 waves=64 ai=32 strideA=1024B strideB=1024B
gemm,wmma_reg64,fp16,0,1024,96896.100,22162.7460,0.0000,2738.0,2738.0,2738.0,136.09,tile=64x64x16 waves=256 ai=32 strideA=2048B strideB=2048B
gemm,wmma_reg64,fp16,0,2048,844486.500,20343.5688,0.0000,2753.7,2753.0,2755.0,137.32,tile=64x64x16 waves=1024 ai=32 strideA=4096B strideB=4096B
gemm,wmma_reg64,fp16,0,4096,5677393.100,24208.1094,0.0000,2802.1,2795.0,2813.0,136.80,tile=64x64x16 waves=4096 ai=32 strideA=8192B strideB=8192B
gemm,wmma_reg64_bt,fp16,0,256,8399.950,3994.5990,0.0000,2813.0,2813.0,2813.0,138.90,tile=64x64x16 waves=16 ai=32 strideA=512B strideB=512B
gemm,wmma_reg64_bt,fp16,0,512,27420.050,9789.7508,0.0000,2813.0,2813.0,2813.0,137.97,tile=64x64x16 waves=64 ai=32 strideA=1024B strideB=1024B
gemm,wmma_reg64_bt,fp16,0,1024,198653.400,10810.2033,0.0000,2814.0,2814.0,2814.0,136.41,tile=64x64x16 waves=256 ai=32 strideA=2048B strideB=2048B
gemm,wmma_reg64_bt,fp16,0,2048,2384973.450,7203.3796,0.0000,2815.9,2814.0,2818.0,134.12,tile=64x64x16 waves=1024 ai=32 strideA=4096B strideB=4096B
gemm,wmma_reg64_bt,fp16,0,4096,16082046.050,8546.1112,0.0000,2830.0,2818.0,2841.0,131.02,tile=64x64x16 waves=4096 ai=32 strideA=8192B strideB=8192B
gemm,wmma_reg64x128,fp16,0,256,20837.550,1610.2868,0.0000,2840.0,2840.0,2840.0,128.66,tile=64x128x16 waves=8 ai=43 strideA=512B strideB=512B
gemm,wmma_reg64x128,fp16,0,512,39090.250,6867.0693,0.0000,2837.0,2837.0,2837.0,128.61,tile=64x128x16 waves=32 ai=43 strideA=1024B strideB=1024B
gemm,wmma_reg64x128,fp16,0,1024,114367.250,18777.0856,0.0000,2814.0,2814.0,2814.0,130.26,tile=64x128x16 waves=128 ai=43 strideA=2048B strideB=2048B
gemm,wmma_reg64x128,fp16,0,2048,868628.400,19778.1574,0.0000,2813.8,2813.0,2815.0,133.72,tile=64x128x16 waves=512 ai=43 strideA=4096B strideB=4096B
gemm,wmma_reg64x128,fp16,0,4096,5416767.900,25372.8711,0.0000,2817.4,2814.0,2820.0,136.43,tile=64x128x16 waves=2048 ai=43 strideA=8192B strideB=8192B
gemm,wmma_reg64_bt_k64,fp16,0,256,8233.600,4075.3051,0.0000,2814.0,2814.0,2814.0,136.98,tile=64x64x64 waves=16 ai=32 strideA=512B strideB=512B
gemm,wmma_reg64_bt_k64,fp16,0,512,18441.000,14556.4479,0.0000,2813.0,2813.0,2813.0,136.74,tile=64x64x64 waves=64 ai=32 strideA=1024B strideB=1024B
gemm,wmma_reg64_bt_k64,fp16,0,1024,163420.500,13140.8461,0.0000,2813.0,2813.0,2813.0,136.15,tile=64x64x64 waves=256 ai=32 strideA=2048B strideB=2048B
gemm,wmma_reg64_bt_k64,fp16,0,2048,2138761.650,8032.6245,0.0000,2815.3,2814.0,2817.0,134.29,tile=64x64x64 waves=1024 ai=32 strideA=4096B strideB=4096B
gemm,wmma_reg64_bt_k64,fp16,0,4096,16056084.750,8559.9295,0.0000,2829.3,2818.0,2840.0,132.62,tile=64x64x64 waves=4096 ai=32 strideA=8192B strideB=8192B
gemm,wmma_wg128,fp16,0,256,11145.150,3010.6757,0.0000,2835.0,2835.0,2835.0,130.18,tile=128x128x16 waves=16 ai=64 strideA=512B strideB=512B
gemm,wmma_wg128,fp16,0,512,20635.200,13008.6191,0.0000,2832.0,2832.0,2832.0,130.09,tile=128x128x16 waves=64 ai=64 strideA=1024B strideB=1024B
gemm,wmma_wg128,fp16,0,1024,100913.700,21280.3975,0.0000,2813.0,2813.0,2813.0,130.77,tile=128x128x16 waves=256 ai=64 strideA=2048B strideB=2048B
gemm,wmma_wg128,fp16,0,2048,848093.350,20257.0498,0.0000,2814.9,2814.0,2816.0,134.97,tile=128x128x16 waves=1024 ai=64 strideA=4096B strideB=4096B
gemm,wmma_wg128,fp16,0,4096,5985362.250,22962.5122,0.0000,2800.2,2795.0,2812.0,137.46,tile=128x128x16 waves=4096 ai=64 strideA=8192B strideB=8192B
gemm,wmma_wg128x256,fp16,0,256,21360.550,1570.8599,0.0000,2814.0,2814.0,2814.0,138.16,tile=128x256x16 waves=8 ai=85 strideA=512B strideB=512B
gemm,wmma_wg128x256,fp16,0,512,40136.250,6688.1050,0.0000,2813.0,2813.0,2813.0,137.77,tile=128x256x16 waves=32 ai=85 strideA=1024B strideB=1024B
gemm,wmma_wg128x256,fp16,0,1024,113609.850,18902.2664,0.0000,2813.0,2813.0,2813.0,136.95,tile=128x256x16 waves=128 ai=85 strideA=2048B strideB=2048B
