op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
gemv,naive,fp32,0,256,17036.350,7.6937,15.3873,2813.0,2813.0,2813.0,136.69,
gemv,naive,fp16,0,256,16547.400,7.9210,7.9210,2815.0,2815.0,2815.0,136.63,
gemv,naive,q8,32,256,25480.400,5.1440,2.7328,2817.0,2817.0,2817.0,136.58,
gemv,naive,q4,32,256,25680.750,5.1039,1.4355,2819.0,2819.0,2819.0,136.52,
gemv,naive,q8,64,256,25149.750,5.2117,2.6873,2820.0,2820.0,2820.0,136.61,
gemv,naive,q4,64,256,25302.050,5.1803,1.3760,2822.0,2822.0,2822.0,136.63,
gemv,naive,q8,128,256,24979.450,5.2472,2.6646,2824.0,2824.0,2824.0,136.60,
gemv,naive,q4,128,256,25143.750,5.2129,1.3440,2825.0,2825.0,2825.0,136.63,
gemv,naive,q8,256,256,24979.450,5.2472,2.6441,2827.0,2827.0,2827.0,136.65,
gemv,naive,q4,256,256,25137.750,5.2142,1.3239,2829.0,2829.0,2829.0,136.55,
gemv,naive,fp32,0,512,32373.500,16.1950,32.3899,2830.0,2830.0,2830.0,136.54,
gemv,naive,fp16,0,512,33770.150,15.5252,15.5252,2830.0,2830.0,2830.0,135.99,
gemv,naive,q8,32,512,63967.500,8.1962,4.3542,2829.0,2829.0,2829.0,135.76,
gemv,naive,q4,32,512,50996.850,10.2808,2.8915,2827.0,2827.0,2827.0,135.47,
gemv,naive,q8,64,512,63608.850,8.2424,4.2500,2826.0,2826.0,2826.0,135.26,
gemv,naive,q4,64,512,50618.150,10.3577,2.7513,2824.0,2824.0,2824.0,134.93,
gemv,naive,q8,128,512,60068.100,8.7282,4.4323,2824.0,2824.0,2824.0,134.49,
gemv,naive,q4,128,512,49962.900,10.4935,2.7054,2823.0,2823.0,2823.0,134.24,
gemv,naive,q8,256,512,59713.450,8.7801,4.4243,2823.0,2823.0,2823.0,134.02,
gemv,naive,q4,256,512,49642.300,10.5613,2.6816,2820.0,2820.0,2820.0,133.74,
gemv,naive,q8,512,512,54748.000,9.5764,4.8069,2820.0,2820.0,2820.0,133.54,
gemv,naive,q4,512,512,49670.350,10.5554,2.6595,2818.0,2818.0,2818.0,133.31,
gemv,naive,fp32,0,1024,65616.650,31.9607,63.9213,2818.0,2818.0,2818.0,133.16,
gemv,naive,fp16,0,1024,63131.950,33.2186,33.2186,2814.0,2814.0,2814.0,133.78,
gemv,naive,q8,32,1024,103204.050,20.3204,10.7952,2814.0,2814.0,2814.0,134.77,
gemv,naive,q4,32,1024,183226.100,11.4457,3.2191,2812.4,2812.0,2814.0,135.01,
gemv,naive,q8,64,1024,103785.150,20.2067,10.4191,2813.0,2813.0,2813.0,135.69,
gemv,naive,q4,64,1024,133331.300,15.7289,4.1780,2813.0,2813.0,2813.0,135.65,
gemv,naive,q8,128,1024,102983.650,20.3639,10.3411,2814.0,2814.0,2814.0,136.02,
gemv,naive,q4,128,1024,130778.450,16.0359,4.1343,2813.0,2813.0,2813.0,135.76,
gemv,naive,q8,256,1024,101681.150,20.6248,10.3930,2813.5,2813.0,2814.0,135.51,
gemv,naive,q4,256,1024,121881.550,17.2065,4.3688,2814.0,2814.0,2814.0,135.31,
gemv,naive,q8,512,1024,100927.750,20.7787,10.4300,2813.0,2813.0,2813.0,134.99,
gemv,naive,q4,512,1024,120949.800,17.3390,4.3686,2813.5,2813.0,2814.0,134.60,
gemv,naive,q8,1024,1024,100997.850,20.7643,10.4024,2814.0,2814.0,2814.0,134.55,
gemv,naive,q4,1024,1024,109135.350,19.2161,4.8228,2814.0,2814.0,2814.0,134.93,
gemv,naive,fp32,0,2048,142188.150,58.9965,117.9931,2813.0,2813.0,2813.0,135.06,
gemv,naive,fp16,0,2048,126838.950,66.1359,66.1359,2813.0,2813.0,2813.0,135.38,
gemv,naive,q8,32,2048,214202.950,39.1620,20.8048,2814.0,2814.0,2814.0,135.63,
gemv,naive,q4,32,2048,212094.950,39.5512,11.1238,2813.0,2813.0,2813.0,135.46,
gemv,naive,q8,64,2048,208684.500,40.1976,20.7269,2813.0,2813.0,2813.0,134.57,
gemv,naive,q4,64,2048,206672.650,40.5889,10.7814,2814.0,2814.0,2814.0,135.42,
gemv,naive,q8,128,2048,210574.050,39.8369,20.2297,2814.4,2814.0,2815.0,135.57,
gemv,naive,q4,128,2048,207414.050,40.4438,10.4269,2813.0,2813.0,2813.0,136.50,
gemv,naive,q8,256,2048,208249.650,40.2815,20.2981,2814.0,2814.0,2814.0,136.08,
gemv,naive,q4,256,2048,206157.700,40.6902,10.3315,2813.0,2813.0,2813.0,136.23,
gemv,naive,q8,512,2048,205865.100,40.7481,20.4536,2813.0,2813.0,2813.0,136.32,
gemv,naive,q4,512,2048,203520.650,41.2175,10.3849,2814.0,2814.0,2814.0,135.80,
gemv,naive,q8,1024,2048,204602.700,40.9995,20.5398,2814.2,2814.0,2815.0,135.98,
gemv,naive,q4,1024,2048,202077.950,41.5117,10.4185,2807.0,2807.0,2807.0,135.25,
gemv,naive,fp32,0,4096,713148.950,47.0511,94.1022,2814.3,2814.0,2815.0,135.01,
gemv,naive,fp16,0,4096,275148.750,121.9502,121.9502,2814.0,2814.0,2814.0,135.39,
gemv,naive,q8,32,4096,457170.600,73.3959,38.9916,2812.0,2812.0,2812.0,134.88,
gemv,naive,q4,32,4096,464592.700,72.2233,20.3128,2813.5,2813.0,2814.0,135.53,
gemv,naive,q8,64,4096,431672.150,77.7313,40.0802,2814.1,2814.0,2815.0,135.53,
gemv,naive,q4,64,4096,437613.450,76.6760,20.3671,2813.0,2813.0,2813.0,134.55,
gemv,naive,q8,128,4096,419392.850,80.0072,40.6286,2813.9,2813.0,2814.0,135.52,
gemv,naive,q4,128,4096,426279.900,78.7146,20.2936,2814.2,2814.0,2815.0,136.19,
gemv,naive,q8,256,4096,421362.550,79.6332,40.1276,2813.4,2813.0,2814.0,136.29,
gemv,naive,q4,256,4096,427430.100,78.5027,19.9323,2814.3,2814.0,2815.0,135.54,
gemv,naive,q8,512,4096,419979.950,79.8953,40.1037,2814.0,2814.0,2814.0,135.32,
gemv,naive,q4,512,4096,424586.700,79.0285,19.9115,2814.8,2814.0,2815.0,136.54,
gemv,naive,q8,1024,4096,415521.450,80.7526,40.4552,2814.0,2814.0,2814.0,135.44,
gemv,naive,q4,1024,4096,421066.000,79.6892,20.0001,2813.8,2813.0,2814.0,135.39,
gemv,subgroup,fp32,0,256,1709.200,76.6862,153.3723,2816.0,2816.0,2816.0,135.18,
gemv,subgroup,fp16,0,256,1360.550,96.3375,96.3375,2818.0,2818.0,2818.0,135.26,
gemv,subgroup,q8,32,256,1494.800,87.6853,46.5828,2819.0,2819.0,2819.0,135.32,
gemv,subgroup,q4,32,256,1498.800,87.4513,24.5957,2821.0,2821.0,2821.0,135.37,
gemv,subgroup,q8,64,256,1490.800,87.9206,45.3340,2823.0,2823.0,2823.0,135.36,
gemv,subgroup,q4,64,256,1498.800,87.4513,23.2293,2825.0,2825.0,2825.0,135.29,
gemv,subgroup,q8,128,256,1490.800,87.9206,44.6472,2826.0,2826.0,2826.0,135.31,
gemv,subgroup,q4,128,256,1456.750,89.9756,23.1968,2828.0,2828.0,2828.0,135.49,
gemv,subgroup,q8,256,256,1448.750,90.4725,45.5896,2829.0,2829.0,2829.0,135.71,
gemv,subgroup,q4,256,256,1498.800,87.4513,22.2044,2831.0,2831.0,2831.0,135.74,
gemv,subgroup,fp32,0,512,5312.050,98.6979,197.3957,2833.0,2833.0,2833.0,135.78,
gemv,subgroup,fp16,0,512,2915.500,179.8278,179.8278,2832.0,2832.0,2832.0,135.50,
gemv,subgroup,q8,32,512,2775.250,188.9156,100.3614,2831.0,2831.0,2831.0,135.31,
gemv,subgroup,q4,32,512,2628.950,199.4287,56.0893,2828.0,2828.0,2828.0,135.06,
gemv,subgroup,q8,64,512,2773.250,189.0518,97.4799,2828.0,2828.0,2828.0,134.84,
gemv,subgroup,q4,64,512,2643.000,198.3685,52.6916,2827.0,2827.0,2827.0,134.78,
gemv,subgroup,q8,128,512,2779.250,188.6437,95.7956,2827.0,2827.0,2827.0,134.67,
gemv,subgroup,q4,128,512,2639.000,198.6692,51.2194,2826.0,2826.0,2826.0,134.56,
gemv,subgroup,q8,256,512,2771.250,189.1883,95.3332,2826.0,2826.0,2826.0,134.42,
gemv,subgroup,q4,256,512,2641.000,198.5187,50.4051,2825.0,2825.0,2825.0,134.35,
gemv,subgroup,q8,512,512,2765.250,189.5988,95.1697,2825.0,2825.0,2825.0,134.24,
gemv,subgroup,q4,512,512,2639.000,198.6692,50.0553,2824.0,2824.0,2824.0,134.19,
gemv,subgroup,fp32,0,1024,10880.650,192.7414,385.4829,2821.0,2821.0,2821.0,134.40,
gemv,subgroup,fp16,0,1024,10894.700,192.4929,192.4929,2814.0,2814.0,2814.0,134.53,
gemv,subgroup,q8,32,1024,6275.900,334.1596,177.5223,2814.0,2814.0,2814.0,135.02,
gemv,subgroup,q4,32,1024,5564.550,376.8772,105.9967,2814.0,2814.0,2814.0,135.26,
gemv,subgroup,q8,64,1024,6233.800,336.4163,173.4647,2813.0,2813.0,2813.0,135.03,
gemv,subgroup,q4,64,1024,5586.600,375.3897,99.7129,2813.0,2813.0,2813.0,135.21,
gemv,subgroup,q8,128,1024,6233.800,336.4163,170.8364,2813.0,2813.0,2813.0,135.42,
gemv,subgroup,q4,128,1024,5554.550,377.5557,97.3386,2814.0,2814.0,2814.0,135.61,
