op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
gemv_cold,subgroup,fp16,0,2048,39456.950,425.2031,425.2031,2783.0,2783.0,2783.0,138.86,N=4096;weightMB=16.0
gemv_cold,subgroup,q8,32,2048,51972.700,322.8082,171.4919,2814.0,2814.0,2814.0,140.89,N=4096;weightMB=8.5
gemv_cold,subgroup,q4,32,2048,45989.350,364.8065,102.6018,2816.0,2816.0,2816.0,140.74,N=4096;weightMB=4.5
gemv_cold,subgroup,w8a8,32,2048,20871.650,803.8280,427.0336,2818.0,2818.0,2818.0,140.53,N=4096;weightMB=8.5
gemv_cold,subgroup,w4a8,32,2048,14663.850,1144.1208,321.7840,2820.0,2820.0,2820.0,140.43,N=4096;weightMB=4.5
gemv_cold,subgroup_vec4,w4a8,32,2048,10838.550,1547.9207,435.3527,2822.0,2822.0,2822.0,140.30,N=4096;weightMB=4.5
gemv_cold,subgroup_vec4_r2,w4a8,32,2048,11505.850,1458.1466,410.1037,2824.0,2824.0,2824.0,140.31,N=4096;weightMB=4.5
gemv_cold,subgroup_w32,w4a8,32,2048,18182.500,922.7123,259.5128,2826.0,2826.0,2826.0,140.31,N=4096;weightMB=4.5
gemv_cold,subgroup_vec4_w32,w4a8,32,2048,11602.000,1446.0624,406.7051,2827.0,2827.0,2827.0,140.22,N=4096;weightMB=4.5
gemv_cold,subgroup_vec4_w32_r2,w4a8,32,2048,11836.450,1417.4196,398.6493,2829.0,2829.0,2829.0,140.01,N=4096;weightMB=4.5
gemv_cold,subgroup,q8,64,2048,51203.250,327.6592,168.9493,2828.0,2828.0,2828.0,139.80,N=4096;weightMB=8.2
gemv_cold,subgroup,q4,64,2048,47099.450,356.2083,94.6178,2830.0,2830.0,2830.0,139.86,N=4096;weightMB=4.2
gemv_cold,subgroup,w8a8,64,2048,21520.850,779.5796,401.9707,2830.0,2830.0,2830.0,139.61,N=4096;weightMB=8.2
gemv_cold,subgroup,w4a8,64,2048,14477.500,1158.8476,307.8189,2831.0,2831.0,2831.0,139.60,N=4096;weightMB=4.2
gemv_cold,subgroup_vec4,w4a8,64,2048,9696.400,1730.2521,459.5982,2833.0,2833.0,2833.0,139.57,N=4096;weightMB=4.2
gemv_cold,subgroup_vec8,w4a8,64,2048,6698.700,2504.5480,665.2706,2834.0,2834.0,2834.0,139.59,N=4096;weightMB=4.2
gemv_cold,subgroup_vec4_r2,w4a8,64,2048,9954.900,1685.3224,447.6638,2836.0,2836.0,2836.0,139.59,N=4096;weightMB=4.2
gemv_cold,subgroup_vec8_r2,w4a8,64,2048,7055.400,2377.9256,631.6365,2837.0,2837.0,2837.0,139.60,N=4096;weightMB=4.2
gemv_cold,subgroup_w32,w4a8,64,2048,18140.450,924.8511,245.6636,2839.0,2839.0,2839.0,139.61,N=4096;weightMB=4.2
gemv_cold,subgroup_vec4_w32,w4a8,64,2048,11672.150,1437.3715,381.8018,2840.0,2840.0,2840.0,139.58,N=4096;weightMB=4.2
gemv_cold,subgroup_vec8_w32,w4a8,64,2048,9748.500,1721.0049,457.1419,2841.0,2841.0,2841.0,139.45,N=4096;weightMB=4.2
gemv_cold,subgroup_vec4_w32_r2,w4a8,64,2048,11087.050,1513.2263,401.9507,2843.0,2843.0,2843.0,139.40,N=4096;weightMB=4.2
gemv_cold,subgroup_vec8_w32_r2,w4a8,64,2048,10381.700,1616.0375,429.2599,2844.0,2844.0,2844.0,139.36,N=4096;weightMB=4.2
