tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
64,down_m1,up_m1,norm,9.894,1.0,0.0,397.4
64,down_m1,up_m1,down,247.619,24.0,1778.5,33.1
64,down_m1,up_m1,up,44.371,4.3,9452.8,177.2
64,down_m1,up_m1,combine,9.782,0.9,0.0,603.0
64,down_m1,up_m1,block,311.666,30.2,,
64,down_m1,up_m2,norm,9.365,0.9,0.0,419.9
64,down_m1,up_m2,down,235.845,22.9,1867.3,34.7
64,down_m1,up_m2,up,40.039,3.9,10475.5,196.4
64,down_m1,up_m2,combine,9.741,0.9,0.0,605.5
64,down_m1,up_m2,block,294.990,28.6,,
64,down_m1,up_m4,norm,9.364,0.9,0.0,419.9
64,down_m1,up_m4,down,235.687,22.9,1868.6,34.8
64,down_m1,up_m4,up,45.296,4.4,9259.8,173.6
64,down_m1,up_m4,combine,9.777,0.9,0.0,603.3
64,down_m1,up_m4,block,300.124,29.1,,
64,down_m2,up_m1,norm,9.367,0.9,0.0,419.8
64,down_m2,up_m1,down,253.040,24.5,1740.4,32.4
64,down_m2,up_m1,up,44.365,4.3,9454.1,177.3
64,down_m2,up_m1,combine,9.780,0.9,0.0,603.1
64,down_m2,up_m1,block,316.552,30.7,,
64,down_m2,up_m2,norm,9.364,0.9,0.0,419.9
64,down_m2,up_m2,down,252.812,24.5,1742.0,32.4
64,down_m2,up_m2,up,40.159,3.9,10444.2,195.8
64,down_m2,up_m2,combine,9.801,1.0,0.0,601.8
64,down_m2,up_m2,block,312.136,30.3,,
64,down_m2,up_m4,norm,9.365,0.9,0.0,419.9
64,down_m2,up_m4,down,253.208,24.6,1739.3,32.4
64,down_m2,up_m4,up,45.284,4.4,9262.2,173.7
64,down_m2,up_m4,combine,9.771,0.9,0.0,603.6
64,down_m2,up_m4,block,317.628,30.8,,
64,down_m4,up_m1,norm,9.360,0.9,0.0,420.1
64,down_m4,up_m1,down,304.008,29.5,1448.7,26.9
64,down_m4,up_m1,up,44.231,4.3,9482.7,177.8
64,down_m4,up_m1,combine,9.765,0.9,0.0,604.0
64,down_m4,up_m1,block,367.364,35.6,,
64,down_m4,up_m2,norm,9.382,0.9,0.0,419.1
64,down_m4,up_m2,down,303.644,29.5,1450.4,27.0
64,down_m4,up_m2,up,40.425,3.9,10375.5,194.5
64,down_m4,up_m2,combine,9.748,0.9,0.0,605.1
64,down_m4,up_m2,block,363.199,35.2,,
64,down_m4,up_m4,norm,9.385,0.9,0.0,419.0
64,down_m4,up_m4,down,303.908,29.5,1449.1,27.0
64,down_m4,up_m4,up,45.536,4.4,9211.0,172.7
64,down_m4,up_m4,combine,9.765,0.9,0.0,604.0
64,down_m4,up_m4,block,368.594,35.8,,
128,down_m1,up_m1,norm,21.759,2.1,0.0,361.4
128,down_m1,up_m1,down,238.004,23.1,3700.8,39.9
128,down_m1,up_m1,up,69.893,6.8,12002.1,131.3
128,down_m1,up_m1,combine,21.184,2.1,0.0,556.9
128,down_m1,up_m1,block,350.840,34.0,,
128,down_m1,up_m2,norm,14.926,1.4,0.0,526.9
128,down_m1,up_m2,down,236.704,23.0,3721.1,40.1
128,down_m1,up_m2,up,60.050,5.8,13969.4,152.8
128,down_m1,up_m2,combine,21.163,2.1,0.0,557.4
128,down_m1,up_m2,block,332.843,32.3,,
128,down_m1,up_m4,norm,16.901,1.6,0.0,465.3
128,down_m1,up_m4,down,237.711,23.1,3705.4,40.0
128,down_m1,up_m4,up,69.545,6.7,12062.1,131.9
128,down_m1,up_m4,combine,21.177,2.1,0.0,557.0
128,down_m1,up_m4,block,345.334,33.5,,
128,down_m2,up_m1,norm,17.267,1.7,0.0,455.5
128,down_m2,up_m1,down,251.863,24.4,3497.2,37.7
128,down_m2,up_m1,up,69.355,6.7,12095.2,132.3
128,down_m2,up_m1,combine,21.186,2.1,0.0,556.8
128,down_m2,up_m1,block,359.671,34.9,,
128,down_m2,up_m2,norm,16.470,1.6,0.0,477.5
128,down_m2,up_m2,down,251.396,24.4,3503.7,37.8
128,down_m2,up_m2,up,59.947,5.8,13993.4,153.1
128,down_m2,up_m2,combine,21.156,2.1,0.0,557.6
128,down_m2,up_m2,block,348.969,33.8,,
