tokens,dispatch,kernel,us,scheduled
64,kv,kv_m2,426.520,false
64,kv,kv_m4,390.439,true
64,gate,kv_m4,26.422,true
64,conv,kv_m4,14.126,true
64,kv,kv_m8,437.222,false
64,block,kv_m4,430.987,true
128,kv,kv_m2,742.618,false
128,kv,kv_m4,423.206,true
128,gate,kv_m4,44.831,true
128,conv,kv_m4,24.242,true
128,kv,kv_m8,433.321,false
128,block,kv_m4,492.279,true
256,kv,kv_m2,1239.575,false
256,kv,kv_m4,806.334,false
256,kv,kv_m8,731.233,true
256,gate,kv_m8,226.738,true
256,conv,kv_m8,49.045,true
256,block,kv_m8,1007.016,true
512,kv,kv_m2,2536.681,false
512,kv,kv_m4,1594.784,false
512,kv,kv_m8,1378.599,true
512,gate,kv_m8,487.874,true
512,conv,kv_m8,367.794,true
512,block,kv_m8,2234.267,true
1024,kv,kv_m2,7174.197,false
1024,kv,kv_m4,3236.479,false
1024,kv,kv_m8,2589.910,true
1024,gate,kv_m8,929.169,true
1024,conv,kv_m8,732.607,true
1024,block,kv_m8,4251.686,true
2048,kv,kv_m2,17154.662,false
2048,kv,kv_m4,7623.841,false
2048,kv,kv_m8,5131.556,true
2048,gate,kv_m8,1790.720,true
2048,conv,kv_m8,1464.218,true
2048,block,kv_m8,8386.494,true
