tokens,cells,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
64,2048,qt1_kt2,gemm_m2,gemm_m2,qkv,507.422,6.1,9009.8,141.4
64,2048,qt1_kt2,gemm_m2,gemm_m2,pack,10.466,0.1,0.0,263.0
64,2048,qt1_kt2,gemm_m2,gemm_m2,idx,4.336,0.1,0.0,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m2,score,14.790,0.2,2268.7,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m2,attn,12.103,0.1,4158.6,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m2,out,165.321,2.0,12177.9,195.0
64,2048,qt1_kt2,gemm_m2,gemm_m2,layer,714.438,8.6,,
64,2048,qt1_kt2,gemm_m2,gemm_m4,qkv,500.321,6.0,9137.7,143.4
64,2048,qt1_kt2,gemm_m2,gemm_m4,pack,8.769,0.1,0.0,313.9
64,2048,qt1_kt2,gemm_m2,gemm_m4,idx,4.037,0.0,0.0,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m4,score,12.399,0.1,2706.2,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m4,attn,11.197,0.1,4495.1,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m4,out,195.518,2.3,10297.1,164.9
64,2048,qt1_kt2,gemm_m2,gemm_m4,layer,732.241,8.8,,
64,2048,qt1_kt2,gemm_m2,gemm_m8,qkv,505.058,6.1,9052.0,142.1
64,2048,qt1_kt2,gemm_m2,gemm_m8,pack,8.101,0.1,0.0,339.8
64,2048,qt1_kt2,gemm_m2,gemm_m8,idx,3.529,0.0,0.0,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m8,score,11.159,0.1,3006.9,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m8,attn,11.177,0.1,4503.1,0.0
64,2048,qt1_kt2,gemm_m2,gemm_m8,out,282.577,3.4,7124.7,114.1
64,2048,qt1_kt2,gemm_m2,gemm_m8,layer,821.601,9.9,,
64,2048,qt1_kt2,gemm_m4,gemm_m2,qkv,417.362,5.0,10954.0,171.9
64,2048,qt1_kt2,gemm_m4,gemm_m2,pack,8.678,0.1,0.0,317.2
64,2048,qt1_kt2,gemm_m4,gemm_m2,idx,3.608,0.0,0.0,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m2,score,11.353,0.1,2955.6,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m2,attn,12.113,0.1,4155.2,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m2,out,164.427,2.0,12244.1,196.1
64,2048,qt1_kt2,gemm_m4,gemm_m2,layer,617.541,7.4,,
64,2048,qt1_kt2,gemm_m4,gemm_m4,qkv,412.662,5.0,11078.8,173.9
64,2048,qt1_kt2,gemm_m4,gemm_m4,pack,8.051,0.1,0.0,341.9
64,2048,qt1_kt2,gemm_m4,gemm_m4,idx,3.750,0.0,0.0,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m4,score,11.184,0.1,3000.2,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m4,attn,11.205,0.1,4491.9,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m4,out,197.046,2.4,10217.2,163.6
64,2048,qt1_kt2,gemm_m4,gemm_m4,layer,643.898,7.7,,
64,2048,qt1_kt2,gemm_m4,gemm_m8,qkv,416.703,5.0,10971.3,172.2
64,2048,qt1_kt2,gemm_m4,gemm_m8,pack,8.256,0.1,0.0,333.4
64,2048,qt1_kt2,gemm_m4,gemm_m8,idx,3.545,0.0,0.0,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m8,score,11.186,0.1,2999.7,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m8,attn,11.458,0.1,4392.7,0.0
64,2048,qt1_kt2,gemm_m4,gemm_m8,out,284.047,3.4,7087.8,113.5
64,2048,qt1_kt2,gemm_m4,gemm_m8,layer,735.195,8.8,,
64,2048,qt1_kt2,gemm_m8,gemm_m2,qkv,452.076,5.4,10112.9,158.7
64,2048,qt1_kt2,gemm_m8,gemm_m2,pack,8.637,0.1,0.0,318.7
64,2048,qt1_kt2,gemm_m8,gemm_m2,idx,3.658,0.0,0.0,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m2,score,11.347,0.1,2957.1,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m2,attn,12.085,0.1,4164.8,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m2,out,163.627,2.0,12304.0,197.1
64,2048,qt1_kt2,gemm_m8,gemm_m2,layer,651.430,7.8,,
64,2048,qt1_kt2,gemm_m8,gemm_m4,qkv,455.504,5.5,10036.8,157.5
64,2048,qt1_kt2,gemm_m8,gemm_m4,pack,8.698,0.1,0.0,316.5
64,2048,qt1_kt2,gemm_m8,gemm_m4,idx,3.623,0.0,0.0,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m4,score,11.346,0.1,2957.4,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m4,attn,12.247,0.1,4109.7,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m4,out,198.464,2.4,10144.2,162.5
64,2048,qt1_kt2,gemm_m8,gemm_m4,layer,689.882,8.3,,
64,2048,qt1_kt2,gemm_m8,gemm_m8,qkv,451.649,5.4,10122.4,158.9
64,2048,qt1_kt2,gemm_m8,gemm_m8,pack,8.458,0.1,0.0,325.4
64,2048,qt1_kt2,gemm_m8,gemm_m8,idx,3.628,0.0,0.0,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m8,score,11.386,0.1,2947.0,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m8,attn,12.099,0.1,4160.0,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m8,out,286.196,3.4,7034.6,112.7
