tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
64,l64,reg,6,6144,128,gemm_m4,gemm_m2,qkv,522.574,18.8,10333.8,162.1
64,l64,reg,6,6144,128,gemm_m4,gemm_m2,conv,12.464,0.4,0.0,420.6
64,l64,reg,6,6144,128,gemm_m4,gemm_m2,scan,236.435,8.5,1703.0,1742.9
64,l64,reg,6,6144,128,gemm_m4,gemm_m2,norm,5.692,0.2,0.0,690.8
64,l64,reg,6,6144,128,gemm_m4,gemm_m2,out,161.787,5.8,12443.9,199.3
64,l64,reg,6,6144,128,gemm_m4,gemm_m2,layer,938.952,33.8,,
64,l32,reg,12,3072,64,gemm_m4,gemm_m2,qkv,523.706,18.9,10311.4,161.7
64,l32,reg,12,3072,64,gemm_m4,gemm_m2,conv,11.897,0.4,0.0,440.7
64,l32,reg,12,3072,64,gemm_m4,gemm_m2,scan,110.931,4.0,3629.8,1900.0
64,l32,reg,12,3072,64,gemm_m4,gemm_m2,norm,5.739,0.2,0.0,685.2
64,l32,reg,12,3072,64,gemm_m4,gemm_m2,out,161.185,5.8,12490.4,200.0
64,l32,reg,12,3072,64,gemm_m4,gemm_m2,layer,813.458,29.3,,
64,l16,reg,24,1536,32,gemm_m4,gemm_m2,qkv,527.377,19.0,10239.7,160.6
64,l16,reg,24,1536,32,gemm_m4,gemm_m2,conv,11.921,0.4,0.0,439.8
64,l16,reg,24,1536,32,gemm_m4,gemm_m2,scan,67.611,2.4,5955.4,1628.4
64,l16,reg,24,1536,32,gemm_m4,gemm_m2,norm,5.698,0.2,0.0,690.1
64,l16,reg,24,1536,32,gemm_m4,gemm_m2,out,165.288,6.0,12180.4,195.1
64,l16,reg,24,1536,32,gemm_m4,gemm_m2,layer,777.895,28.0,,
64,l8,reg,48,768,16,gemm_m4,gemm_m2,qkv,520.296,18.7,10379.0,162.8
64,l8,reg,48,768,16,gemm_m4,gemm_m2,conv,11.485,0.4,0.0,456.5
