tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
512,2048,sparse,qt1_kt2,gemm_m8,gemm_m4,qkv,1529.987,18.4,23905.0,48.4
512,2048,sparse,qt1_kt2,gemm_m8,gemm_m4,pack,62.507,0.8,0.0,352.3
512,2048,sparse,qt1_kt2,gemm_m8,gemm_m4,idx,6.374,0.1,0.0,0.0
512,2048,sparse,qt1_kt2,gemm_m8,gemm_m4,score,68.375,0.8,3925.9,0.0
512,2048,sparse,qt1_kt2,gemm_m8,gemm_m4,select,103.191,1.2,0.0,41.9
512,2048,sparse,qt1_kt2,gemm_m8,gemm_m4,attn,238.629,2.9,13498.9,0.0
512,2048,sparse,qt1_kt2,gemm_m8,gemm_m4,out,455.398,5.5,35367.1,82.9
512,2048,sparse,qt1_kt2,gemm_m8,gemm_m4,layer,2464.461,29.6,,
2048,2048,sparse,qt1_kt2,gemm_m8,gemm_m8,qkv,6047.356,72.6,24191.9,13.5
2048,2048,sparse,qt1_kt2,gemm_m8,gemm_m8,pack,500.740,6.0,0.0,175.9
2048,2048,sparse,qt1_kt2,gemm_m8,gemm_m8,idx,19.917,0.2,0.0,0.0
2048,2048,sparse,qt1_kt2,gemm_m8,gemm_m8,score,222.762,2.7,4820.1,0.0
2048,2048,sparse,qt1_kt2,gemm_m8,gemm_m8,select,284.819,3.4,0.0,60.7
2048,2048,sparse,qt1_kt2,gemm_m8,gemm_m8,attn,3040.462,36.5,16951.2,0.0
2048,2048,sparse,qt1_kt2,gemm_m8,gemm_m8,out,1600.375,19.2,40255.9,35.4
2048,2048,sparse,qt1_kt2,gemm_m8,gemm_m8,layer,11716.431,140.6,,
512,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,qkv,1531.882,18.4,23875.4,48.3
512,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,pack,63.076,0.8,0.0,349.1
512,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,idx,8.516,0.1,0.0,0.0
512,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,score,120.292,1.4,4463.1,0.0
512,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,select,214.748,2.6,0.0,40.3
512,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,attn,238.251,2.9,13520.3,0.0
512,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,out,452.319,5.4,35607.9,83.5
512,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,layer,2629.084,31.5,,
2048,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,qkv,6047.178,72.6,24192.7,13.5
2048,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,pack,508.360,6.1,0.0,173.3
2048,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,idx,21.135,0.3,0.0,0.0
2048,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,score,451.154,5.4,4760.0,0.0
2048,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,select,801.819,9.6,0.0,43.2
2048,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,attn,3084.415,37.0,16709.7,0.0
2048,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,out,1709.359,20.5,37689.3,33.1
2048,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,layer,12623.420,151.5,,
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,qkv,12166.173,146.0,24049.9,7.6
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,pack,958.766,11.5,0.0,183.7
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,idx,38.724,0.5,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,score,909.914,10.9,4720.2,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,select,1307.031,15.7,0.0,52.9
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,attn,12047.664,144.6,17111.9,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,out,3377.826,40.5,38145.5,24.2
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,layer,30806.098,369.7,,
512,4096,dense,qt1_kt2,gemm_m8,gemm_m4,qkv,1530.269,18.4,23900.6,48.4
512,4096,dense,qt1_kt2,gemm_m8,gemm_m4,pack,62.870,0.8,0.0,350.2
512,4096,dense,qt1_kt2,gemm_m8,gemm_m4,idx,8.630,0.1,0.0,0.0
512,4096,dense,qt1_kt2,gemm_m8,gemm_m4,score,122.703,1.5,4375.4,0.0
512,4096,dense,qt1_kt2,gemm_m8,gemm_m4,attn,197.726,2.4,16291.4,0.0
512,4096,dense,qt1_kt2,gemm_m8,gemm_m4,out,463.376,5.6,34758.2,81.5
512,4096,dense,qt1_kt2,gemm_m8,gemm_m4,layer,2385.574,28.6,,
2048,4096,dense,qt1_kt2,gemm_m8,gemm_m8,qkv,6045.689,72.5,24198.6,13.6
2048,4096,dense,qt1_kt2,gemm_m8,gemm_m8,pack,502.965,6.0,0.0,175.1
2048,4096,dense,qt1_kt2,gemm_m8,gemm_m8,idx,21.148,0.3,0.0,0.0
2048,4096,dense,qt1_kt2,gemm_m8,gemm_m8,score,453.434,5.4,4736.0,0.0
2048,4096,dense,qt1_kt2,gemm_m8,gemm_m8,attn,2536.397,30.4,20320.0,0.0
2048,4096,dense,qt1_kt2,gemm_m8,gemm_m8,out,1638.168,19.7,39327.2,34.6
2048,4096,dense,qt1_kt2,gemm_m8,gemm_m8,layer,11197.801,134.4,,
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,qkv,12119.554,145.4,24142.4,7.6
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,pack,966.365,11.6,0.0,182.3
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,idx,39.155,0.5,0.0,0.0
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,score,916.950,11.0,4684.0,0.0
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,attn,9833.947,118.0,20964.0,0.0
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,out,3384.600,40.6,38069.2,24.2
