tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
64,m2,m2,123,125,4000,125,4000,router,62.643,3.0,2683.5,47.2
64,m2,m2,123,125,4000,125,4000,route,5.558,0.3,0.0,0.0
64,m2,m2,123,125,4000,125,4000,perm.up,5.099,0.2,0.0,0.0
64,m2,m2,123,125,4000,125,4000,perm.down,5.051,0.2,0.0,0.0
64,m2,m2,123,125,4000,125,4000,up,2702.947,129.7,9698.5,83.9
64,m2,m2,123,125,4000,125,4000,down,1129.838,54.2,11601.0,133.8
64,m2,m2,123,125,4000,125,4000,shexp.up,154.239,7.4,2719.4,22.6
64,m2,m2,123,125,4000,125,4000,shexp.down,15.421,0.7,13599.3,112.9
64,m2,m2,123,125,4000,125,4000,combine,24.542,1.2,0.0,320.4
64,m2,m2,123,125,4000,125,4000,block,4105.338,197.1,,
128,m2,m2,179,193,6176,193,6176,router,99.779,4.8,3369.4,32.9
128,m2,m2,179,193,6176,193,6176,route,6.171,0.3,0.0,0.0
128,m2,m2,179,193,6176,193,6176,perm.up,7.097,0.3,0.0,0.0
128,m2,m2,179,193,6176,193,6176,perm.down,7.065,0.3,0.0,0.0
128,m2,m2,179,193,6176,193,6176,up,4099.915,196.8,9872.2,80.5
128,m2,m2,179,193,6176,193,6176,down,1660.276,79.7,12189.2,132.5
128,m2,m2,179,193,6176,193,6176,shexp.up,154.124,7.4,5442.8,22.6
128,m2,m2,179,193,6176,193,6176,shexp.down,21.663,1.0,19361.6,80.4
128,m2,m2,179,193,6176,193,6176,combine,37.928,1.8,0.0,414.7
128,m2,m2,179,193,6176,193,6176,block,6094.018,292.5,,
256,m2,m2,226,264,8448,264,8448,router,99.374,4.8,6766.4,39.6
256,m2,m2,226,264,8448,264,8448,route,7.694,0.4,0.0,0.0
256,m2,m2,226,264,8448,264,8448,perm.up,10.870,0.5,0.0,0.0
256,m2,m2,226,264,8448,264,8448,perm.down,10.874,0.5,0.0,0.0
256,m2,m2,226,264,8448,264,8448,up,5359.294,257.2,10330.6,77.7
256,m2,m2,226,264,8448,264,8448,down,2137.144,102.6,12953.0,129.9
256,m2,m2,226,264,8448,264,8448,shexp.up,154.830,7.4,10835.9,22.5
256,m2,m2,226,264,8448,264,8448,shexp.down,36.679,1.8,22870.3,47.5
256,m2,m2,226,264,8448,264,8448,combine,105.660,5.1,0.0,297.7
256,m2,m2,226,264,8448,264,8448,block,7922.419,380.3,,
512,m2,m2,274,372,11904,372,11904,router,98.230,4.7,13690.3,53.4
512,m2,m2,274,372,11904,372,11904,route,14.888,0.7,0.0,0.0
512,m2,m2,274,372,11904,372,11904,perm.up,18.366,0.9,0.0,0.0
512,m2,m2,274,372,11904,372,11904,perm.down,18.334,0.9,0.0,0.0
512,m2,m2,274,372,11904,372,11904,up,7195.445,345.4,10842.1,70.2
