tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
512,m1,m1,274,504,8064,504,8064,router,102.306,4.9,13144.9,51.3
512,m1,m1,274,504,8064,504,8064,route,14.972,0.7,0.0,0.0
512,m1,m1,274,504,8064,504,8064,perm.up,18.170,0.9,0.0,0.0
512,m1,m1,274,504,8064,504,8064,perm.down,18.090,0.9,0.0,0.0
512,m1,m1,274,504,8064,504,8064,up,7693.129,369.3,6869.5,65.6
512,m1,m1,274,504,8064,504,8064,down,2761.478,132.6,9568.8,121.9
512,m1,m1,274,504,8064,504,8064,shexp.up,343.067,16.5,9780.7,10.1
512,m1,m1,274,504,8064,504,8064,shexp.down,103.388,5.0,16227.4,16.8
512,m1,m1,274,504,8064,504,8064,combine,455.088,21.8,0.0,138.2
512,m1,m1,274,504,8064,504,8064,block,11509.688,552.5,,
512,m1,m2,274,744,11904,372,11904,router,103.460,5.0,12998.2,50.7
512,m1,m2,274,744,11904,372,11904,route,15.052,0.7,0.0,0.0
512,m1,m2,274,744,11904,372,11904,perm.up,19.068,0.9,0.0,0.0
512,m1,m2,274,744,11904,372,11904,perm.down,18.138,0.9,0.0,0.0
512,m1,m2,274,744,11904,372,11904,up,9642.761,462.9,8090.4,52.4
512,m1,m2,274,744,11904,372,11904,down,2789.668,133.9,13982.7,120.7
512,m1,m2,274,744,11904,372,11904,shexp.up,356.629,17.1,9408.8,9.8
512,m1,m2,274,744,11904,372,11904,shexp.down,66.181,3.2,25350.5,26.3
512,m1,m2,274,744,11904,372,11904,combine,483.182,23.2,0.0,130.2
512,m1,m2,274,744,11904,372,11904,block,13494.139,647.7,,
512,m1,m4,274,1248,19968,312,19968,router,103.564,5.0,12985.2,50.7
512,m1,m4,274,1248,19968,312,19968,route,15.188,0.7,0.0,0.0
512,m1,m4,274,1248,19968,312,19968,perm.up,21.801,1.0,0.0,0.0
512,m1,m4,274,1248,19968,312,19968,perm.down,19.404,0.9,0.0,0.0
512,m1,m4,274,1248,19968,312,19968,up,14509.552,696.5,9019.0,34.8
512,m1,m4,274,1248,19968,312,19968,down,3466.786,166.4,18873.7,97.1
512,m1,m4,274,1248,19968,312,19968,shexp.up,357.511,17.2,9385.6,9.7
512,m1,m4,274,1248,19968,312,19968,shexp.down,58.342,2.8,28756.7,29.8
512,m1,m4,274,1248,19968,312,19968,combine,470.045,22.6,0.0,133.8
512,m1,m4,274,1248,19968,312,19968,block,19022.193,913.1,,
512,m1,w2m1,274,744,11904,372,11904,router,103.941,5.0,12938.1,50.5
512,m1,w2m1,274,744,11904,372,11904,route,15.164,0.7,0.0,0.0
512,m1,w2m1,274,744,11904,372,11904,perm.up,18.883,0.9,0.0,0.0
512,m1,w2m1,274,744,11904,372,11904,perm.down,18.282,0.9,0.0,0.0
512,m1,w2m1,274,744,11904,372,11904,up,9576.194,459.7,8146.7,52.7
512,m1,w2m1,274,744,11904,372,11904,down,2913.375,139.8,13388.9,115.6
512,m1,w2m1,274,744,11904,372,11904,shexp.up,351.147,16.9,9555.7,9.9
512,m1,w2m1,274,744,11904,372,11904,shexp.down,93.978,4.5,17852.3,18.5
512,m1,w2m1,274,744,11904,372,11904,combine,473.443,22.7,0.0,132.9
512,m1,w2m1,274,744,11904,372,11904,block,13564.407,651.1,,
512,m1,w4m1,274,1248,19968,312,19968,router,102.538,4.9,13115.1,51.2
512,m1,w4m1,274,1248,19968,312,19968,route,14.964,0.7,0.0,0.0
512,m1,w4m1,274,1248,19968,312,19968,perm.up,20.478,1.0,0.0,0.0
512,m1,w4m1,274,1248,19968,312,19968,perm.down,19.485,0.9,0.0,0.0
512,m1,w4m1,274,1248,19968,312,19968,up,14454.006,693.8,9053.7,34.9
512,m1,w4m1,274,1248,19968,312,19968,down,3486.384,167.3,18767.6,96.6
512,m1,w4m1,274,1248,19968,312,19968,shexp.up,351.395,16.9,9548.9,9.9
512,m1,w4m1,274,1248,19968,312,19968,shexp.down,82.901,4.0,20237.7,21.0
512,m1,w4m1,274,1248,19968,312,19968,combine,463.127,22.2,0.0,135.8
512,m1,w4m1,274,1248,19968,312,19968,block,18995.278,911.8,,
512,m2,m1,274,372,11904,744,11904,router,102.354,4.9,13138.7,51.3
512,m2,m1,274,372,11904,744,11904,route,15.260,0.7,0.0,0.0
512,m2,m1,274,372,11904,744,11904,perm.up,18.394,0.9,0.0,0.0
512,m2,m1,274,372,11904,744,11904,perm.down,18.923,0.9,0.0,0.0
512,m2,m1,274,372,11904,744,11904,up,7173.670,344.3,10875.1,70.4
512,m2,m1,274,372,11904,744,11904,down,3266.085,156.8,11943.1,103.1
512,m2,m1,274,372,11904,744,11904,shexp.up,218.935,10.5,15326.2,15.9
512,m2,m1,274,372,11904,744,11904,shexp.down,98.835,4.7,16975.0,17.6
512,m2,m1,274,372,11904,744,11904,combine,479.326,23.0,0.0,131.3
512,m2,m1,274,372,11904,744,11904,block,11391.782,546.8,,
512,m2,m2,274,372,11904,372,11904,router,102.154,4.9,13164.4,51.4
512,m2,m2,274,372,11904,372,11904,route,15.012,0.7,0.0,0.0
512,m2,m2,274,372,11904,372,11904,perm.up,18.154,0.9,0.0,0.0
512,m2,m2,274,372,11904,372,11904,perm.down,18.330,0.9,0.0,0.0
512,m2,m2,274,372,11904,372,11904,up,7186.430,344.9,10855.7,70.3
512,m2,m2,274,372,11904,372,11904,down,2778.270,133.4,14040.0,121.2
512,m2,m2,274,372,11904,372,11904,shexp.up,220.290,10.6,15231.9,15.8
512,m2,m2,274,372,11904,372,11904,shexp.down,66.406,3.2,25264.6,26.2
512,m2,m2,274,372,11904,372,11904,combine,469.219,22.5,0.0,134.1
512,m2,m2,274,372,11904,372,11904,block,10874.265,522.0,,
512,m2,m4,274,624,19968,312,19968,router,103.123,4.9,13040.7,50.9
512,m2,m4,274,624,19968,312,19968,route,15.132,0.7,0.0,0.0
512,m2,m4,274,624,19968,312,19968,perm.up,20.102,1.0,0.0,0.0
512,m2,m4,274,624,19968,312,19968,perm.down,19.356,0.9,0.0,0.0
512,m2,m4,274,624,19968,312,19968,up,10528.796,505.4,12429.0,48.0
512,m2,m4,274,624,19968,312,19968,down,3457.457,166.0,18924.6,97.4
512,m2,m4,274,624,19968,312,19968,shexp.up,221.124,10.6,15174.5,15.7
512,m2,m4,274,624,19968,312,19968,shexp.down,58.302,2.8,28776.4,29.9
512,m2,m4,274,624,19968,312,19968,combine,457.228,21.9,0.0,137.6
512,m2,m4,274,624,19968,312,19968,block,14880.620,714.3,,
512,m2,w2m1,274,372,11904,372,11904,router,102.875,4.9,13072.2,51.0
512,m2,w2m1,274,372,11904,372,11904,route,15.164,0.7,0.0,0.0
512,m2,w2m1,274,372,11904,372,11904,perm.up,18.226,0.9,0.0,0.0
512,m2,w2m1,274,372,11904,372,11904,perm.down,18.346,0.9,0.0,0.0
512,m2,w2m1,274,372,11904,372,11904,up,7200.809,345.6,10834.1,70.1
512,m2,w2m1,274,372,11904,372,11904,down,2915.499,139.9,13379.2,115.5
512,m2,w2m1,274,372,11904,372,11904,shexp.up,220.563,10.6,15213.1,15.8
512,m2,w2m1,274,372,11904,372,11904,shexp.down,95.854,4.6,17502.9,18.2
512,m2,w2m1,274,372,11904,372,11904,combine,464.755,22.3,0.0,135.4
512,m2,w2m1,274,372,11904,372,11904,block,11052.091,530.5,,
512,m2,w4m1,274,624,19968,312,19968,router,102.138,4.9,13166.5,51.4
512,m2,w4m1,274,624,19968,312,19968,route,15.132,0.7,0.0,0.0
512,m2,w4m1,274,624,19968,312,19968,perm.up,19.869,1.0,0.0,0.0
512,m2,w4m1,274,624,19968,312,19968,perm.down,19.468,0.9,0.0,0.0
512,m2,w4m1,274,624,19968,312,19968,up,10546.101,506.2,12408.6,47.9
512,m2,w4m1,274,624,19968,312,19968,down,3470.954,166.6,18851.1,97.0
512,m2,w4m1,274,624,19968,312,19968,shexp.up,217.300,10.4,15441.5,16.0
512,m2,w4m1,274,624,19968,312,19968,shexp.down,81.899,3.9,20485.3,21.3
512,m2,w4m1,274,624,19968,312,19968,combine,468.241,22.5,0.0,134.4
512,m2,w4m1,274,624,19968,312,19968,block,14941.102,717.2,,
512,m4,m1,274,312,19968,1248,19968,router,103.717,5.0,12966.0,50.6
512,m4,m1,274,312,19968,1248,19968,route,15.172,0.7,0.0,0.0
512,m4,m1,274,312,19968,1248,19968,perm.up,19.621,0.9,0.0,0.0
512,m4,m1,274,312,19968,1248,19968,perm.down,20.406,1.0,0.0,0.0
