banks,resident_gb,block,layers,buffers,weight_gb,arena_mb,staged_s,moe_layer3_us
48,84.200,hyper-conn,97,4,1.3072,42.6,1.696,11242.0
48,84.200,ple n-gram,1,4,0.0658,91.9,0.109,11242.0
48,84.200,deltanet,36,4,4.1819,216.4,4.402,11242.0
48,84.200,attention,12,4,1.2353,56.4,1.388,11242.0
48,84.200,moe,48,52,77.4101,462.0,29.263,11242.0
24,45.469,hyper-conn,97,4,1.3072,42.6,1.696,11067.0
24,45.469,ple n-gram,1,4,0.0658,91.9,0.109,11067.0
24,45.469,deltanet,36,4,4.1819,216.4,4.402,11067.0
24,45.469,attention,12,4,1.2353,56.4,1.388,11067.0
24,45.469,moe,24,28,38.6789,462.0,11.757,11067.0
12,26.497,hyper-conn,97,4,1.3072,42.6,1.696,11162.0
12,26.497,ple n-gram,1,4,0.0658,91.9,0.109,11162.0
12,26.497,deltanet,36,4,4.1819,216.4,4.402,11162.0
12,26.497,attention,12,4,1.2353,56.4,1.388,11162.0
12,26.497,moe,12,16,19.7064,462.0,2.577,11162.0
4,13.586,hyper-conn,97,4,1.3072,42.6,1.696,11062.0
4,13.586,ple n-gram,1,4,0.0658,91.9,0.109,11062.0
4,13.586,deltanet,36,4,4.1819,216.4,4.402,11062.0
4,13.586,attention,12,4,1.2353,56.4,1.388,11062.0
4,13.586,moe,4,8,6.7960,462.0,0.912,11062.0
2,10.424,hyper-conn,97,4,1.3072,42.6,1.696,11134.0
2,10.424,ple n-gram,1,4,0.0658,91.9,0.109,11134.0
2,10.424,deltanet,36,4,4.1819,216.4,4.402,11134.0
2,10.424,attention,12,4,1.2353,56.4,1.388,11134.0
2,10.424,moe,2,6,3.6339,462.0,0.508,11134.0
