tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_m1,up_m1,norm,5.396,0.5,0.0,11.4
1,down_m1,up_m1,down,270.669,26.3,25.4,25.5
1,down_m1,up_m1,up,41.657,4.0,157.3,157.8
1,down_m1,up_m1,combine,2.611,0.3,0.0,35.3
1,down_m1,up_m1,block,320.333,31.1,,
1,down_m1,up_m2,norm,4.583,0.4,0.0,13.4
1,down_m1,up_m2,down,248.895,24.1,27.6,27.7
1,down_m1,up_m2,up,39.131,3.8,167.5,168.0
1,down_m1,up_m2,combine,2.614,0.3,0.0,35.3
1,down_m1,up_m2,block,295.223,28.6,,
1,down_m1,up_m4,norm,4.582,0.4,0.0,13.4
1,down_m1,up_m4,down,267.000,25.9,25.8,25.8
1,down_m1,up_m4,up,45.818,4.4,143.0,143.5
1,down_m1,up_m4,combine,2.579,0.3,0.0,35.7
1,down_m1,up_m4,block,319.979,31.0,,
1,down_m2,up_m1,norm,4.588,0.4,0.0,13.4
1,down_m2,up_m1,down,291.346,28.3,23.6,23.7
1,down_m2,up_m1,up,41.768,4.1,156.9,157.4
1,down_m2,up_m1,combine,2.582,0.3,0.0,35.7
1,down_m2,up_m1,block,340.284,33.0,,
1,down_m2,up_m2,norm,4.610,0.4,0.0,13.3
1,down_m2,up_m2,down,263.552,25.6,26.1,26.2
1,down_m2,up_m2,up,39.185,3.8,167.2,167.8
1,down_m2,up_m2,combine,2.585,0.3,0.0,35.7
1,down_m2,up_m2,block,309.932,30.1,,
1,down_m2,up_m4,norm,4.586,0.4,0.0,13.4
1,down_m2,up_m4,down,267.076,25.9,25.8,25.8
1,down_m2,up_m4,up,45.869,4.4,142.9,143.3
1,down_m2,up_m4,combine,2.573,0.2,0.0,35.8
1,down_m2,up_m4,block,320.104,31.1,,
1,down_m4,up_m1,norm,4.582,0.4,0.0,13.4
1,down_m4,up_m1,down,312.215,30.3,22.0,22.1
1,down_m4,up_m1,up,41.812,4.1,156.7,157.2
1,down_m4,up_m1,combine,2.590,0.3,0.0,35.6
1,down_m4,up_m1,block,361.199,35.0,,
1,down_m4,up_m2,norm,4.585,0.4,0.0,13.4
1,down_m4,up_m2,down,320.302,31.1,21.5,21.5
1,down_m4,up_m2,up,39.249,3.8,167.0,167.5
1,down_m4,up_m2,combine,2.590,0.3,0.0,35.6
1,down_m4,up_m2,block,366.726,35.6,,
1,down_m4,up_m4,norm,4.610,0.4,0.0,13.3
1,down_m4,up_m4,down,303.784,29.5,22.7,22.7
1,down_m4,up_m4,up,45.856,4.4,142.9,143.4
1,down_m4,up_m4,combine,2.569,0.2,0.0,35.9
1,down_m4,up_m4,block,356.819,34.6,,
