tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1,10,10,160,10,160,router,69.284,3.3,37.9,38.0
1,m1,m1,10,10,160,10,160,route,5.819,0.3,0.0,0.0
1,m1,m1,10,10,160,10,160,perm.up,2.918,0.1,0.0,0.0
1,m1,m1,10,10,160,10,160,perm.down,2.898,0.1,0.0,0.0
1,m1,m1,10,10,160,10,160,up,217.415,10.4,4822.9,84.8
1,m1,m1,10,10,160,10,160,down,100.526,4.8,5215.4,122.2
1,m1,m1,10,10,160,10,160,shexp.up,122.364,5.9,53.6,28.5
1,m1,m1,10,10,160,10,160,shexp.down,11.909,0.6,275.2,146.2
1,m1,m1,10,10,160,10,160,combine,20.957,1.0,0.0,5.9
1,m1,m1,10,10,160,10,160,block,554.090,26.6,,
1,m1,m2,10,20,320,10,320,router,67.392,3.2,39.0,39.1
1,m1,m2,10,20,320,10,320,route,5.802,0.3,0.0,0.0
1,m1,m2,10,20,320,10,320,perm.up,3.008,0.1,0.0,0.0
1,m1,m2,10,20,320,10,320,perm.down,2.937,0.1,0.0,0.0
1,m1,m2,10,20,320,10,320,up,259.671,12.5,8076.2,71.0
1,m1,m2,10,20,320,10,320,down,87.735,4.2,11951.6,140.1
1,m1,m2,10,20,320,10,320,shexp.up,122.571,5.9,53.5,28.4
1,m1,m2,10,20,320,10,320,shexp.down,14.191,0.7,230.9,122.7
1,m1,m2,10,20,320,10,320,combine,21.198,1.0,0.0,5.8
1,m1,m2,10,20,320,10,320,block,584.505,28.1,,
1,m1,m4,10,40,640,10,640,router,66.614,3.2,39.4,39.5
1,m1,m4,10,40,640,10,640,route,5.803,0.3,0.0,0.0
1,m1,m4,10,40,640,10,640,perm.up,3.174,0.2,0.0,0.0
1,m1,m4,10,40,640,10,640,perm.down,2.986,0.1,0.0,0.0
1,m1,m4,10,40,640,10,640,up,441.148,21.2,9507.7,41.8
1,m1,m4,10,40,640,10,640,down,99.100,4.8,21162.0,124.0
