bank,rung,rows,us,gb_s,bank_bytes
fp16,gemm_m2,1,6454.4,197.0,1271398400
fp16,gemm_m4,1,6527.2,194.8,1271398400
fp16,gemm_m8,1,6915.9,183.8,1271398400
fp16,gemm_m2,8,6449.5,197.1,1271398400
fp16,gemm_m4,8,6519.7,195.0,1271398400
fp16,gemm_m8,8,6905.5,184.1,1271398400
fp16,gemm_m2,64,12575.2,101.1,1271398400
fp16,gemm_m4,64,6522.7,194.9,1271398400
fp16,gemm_m8,64,6907.6,184.1,1271398400
fp16,gemm_m2,512,98827.5,12.9,1271398400
fp16,gemm_m4,512,50739.0,25.1,1271398400
fp16,gemm_m8,512,26916.5,47.2,1271398400
q8,gemm_m2,1,3585.7,188.4,675430400
q8,gemm_m4,1,3732.7,180.9,675430400
q8,gemm_m8,1,4714.7,143.3,675430400
q8,gemm_m2,8,3546.4,190.5,675430400
q8,gemm_m4,8,3735.6,180.8,675430400
q8,gemm_m8,8,4720.1,143.1,675430400
q8,gemm_m2,64,6885.6,98.1,675430400
q8,gemm_m4,64,3725.1,181.3,675430400
q8,gemm_m8,64,4728.0,142.9,675430400
q8,gemm_m2,512,53686.0,12.6,675430400
q8,gemm_m4,512,28422.7,23.8,675430400
q8,gemm_m8,512,18763.7,36.0,675430400
