tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_m1,up_m1,norm,6.928,0.7,0.0,8.9
1,down_m1,up_m1,down,230.226,22.3,29.9,18.1
1,down_m1,up_m1,up,18.545,1.8,353.4,188.8
1,down_m1,up_m1,combine,2.990,0.3,0.0,30.8
1,down_m1,up_m1,block,258.689,25.1,,
1,down_m1,up_m2,norm,4.614,0.4,0.0,13.3
1,down_m1,up_m2,down,229.513,22.3,30.0,18.2
1,down_m1,up_m2,up,21.388,2.1,306.4,163.7
1,down_m1,up_m2,combine,2.925,0.3,0.0,31.5
1,down_m1,up_m2,block,258.440,25.1,,
1,down_m1,up_m4,norm,4.616,0.4,0.0,13.3
1,down_m1,up_m4,down,230.258,22.3,29.9,18.1
1,down_m1,up_m4,up,30.931,3.0,211.9,113.2
1,down_m1,up_m4,combine,2.977,0.3,0.0,31.0
1,down_m1,up_m4,block,268.782,26.1,,
1,down_m1,up_m8,norm,4.609,0.4,0.0,13.3
1,down_m1,up_m8,down,229.904,22.3,29.9,18.1
1,down_m1,up_m8,up,50.324,4.9,130.2,69.6
1,down_m1,up_m8,combine,2.926,0.3,0.0,31.5
1,down_m1,up_m8,block,287.763,27.9,,
1,down_m2,up_m1,norm,4.622,0.4,0.0,13.3
1,down_m2,up_m1,down,257.548,25.0,26.7,16.2
1,down_m2,up_m1,up,33.903,3.3,193.3,103.3
1,down_m2,up_m1,combine,2.888,0.3,0.0,31.9
1,down_m2,up_m1,block,298.961,29.0,,
1,down_m2,up_m2,norm,4.618,0.4,0.0,13.3
1,down_m2,up_m2,down,240.464,23.3,28.6,17.3
1,down_m2,up_m2,up,21.534,2.1,304.3,162.6
1,down_m2,up_m2,combine,2.874,0.3,0.0,32.1
1,down_m2,up_m2,block,269.490,26.1,,
1,down_m2,up_m4,norm,4.629,0.4,0.0,13.3
1,down_m2,up_m4,down,250.885,24.3,27.4,16.6
1,down_m2,up_m4,up,30.896,3.0,212.1,113.4
1,down_m2,up_m4,combine,2.799,0.3,0.0,32.9
1,down_m2,up_m4,block,289.209,28.1,,
1,down_m2,up_m8,norm,4.647,0.5,0.0,13.2
1,down_m2,up_m8,down,238.947,23.2,28.8,17.4
1,down_m2,up_m8,up,50.728,4.9,129.2,69.0
1,down_m2,up_m8,combine,2.605,0.3,0.0,35.4
1,down_m2,up_m8,block,296.927,28.8,,
1,down_m4,up_m1,norm,4.625,0.4,0.0,13.3
1,down_m4,up_m1,down,324.020,31.4,21.2,12.9
1,down_m4,up_m1,up,16.317,1.6,401.6,214.6
1,down_m4,up_m1,combine,2.623,0.3,0.0,35.1
1,down_m4,up_m1,block,347.585,33.7,,
1,down_m4,up_m2,norm,4.625,0.4,0.0,13.3
1,down_m4,up_m2,down,315.507,30.6,21.8,13.2
1,down_m4,up_m2,up,21.396,2.1,306.3,163.7
1,down_m4,up_m2,combine,2.617,0.3,0.0,35.2
1,down_m4,up_m2,block,344.145,33.4,,
1,down_m4,up_m4,norm,4.615,0.4,0.0,13.3
1,down_m4,up_m4,down,316.256,30.7,21.8,13.2
1,down_m4,up_m4,up,31.118,3.0,210.6,112.5
1,down_m4,up_m4,combine,2.601,0.3,0.0,35.4
1,down_m4,up_m4,block,354.590,34.4,,
1,down_m4,up_m8,norm,4.624,0.4,0.0,13.3
1,down_m4,up_m8,down,316.864,30.7,21.7,13.2
1,down_m4,up_m8,up,50.509,4.9,129.8,69.3
1,down_m4,up_m8,combine,2.609,0.3,0.0,35.3
1,down_m4,up_m8,block,374.606,36.3,,
1,down_m8,up_m1,norm,4.625,0.4,0.0,13.3
1,down_m8,up_m1,down,430.076,41.7,16.0,9.7
1,down_m8,up_m1,up,16.502,1.6,397.1,212.2
1,down_m8,up_m1,combine,2.605,0.3,0.0,35.4
1,down_m8,up_m1,block,453.808,44.0,,
1,down_m8,up_m2,norm,4.631,0.4,0.0,13.3
1,down_m8,up_m2,down,430.273,41.7,16.0,9.7
1,down_m8,up_m2,up,21.438,2.1,305.7,163.4
1,down_m8,up_m2,combine,2.604,0.3,0.0,35.4
1,down_m8,up_m2,block,458.946,44.5,,
1,down_m8,up_m4,norm,4.603,0.4,0.0,13.3
1,down_m8,up_m4,down,429.450,41.7,16.0,9.7
1,down_m8,up_m4,up,30.608,3.0,214.1,114.4
1,down_m8,up_m4,combine,2.616,0.3,0.0,35.2
1,down_m8,up_m4,block,467.277,45.3,,
1,down_m8,up_m8,norm,4.637,0.4,0.0,13.2
1,down_m8,up_m8,down,430.510,41.8,16.0,9.7
1,down_m8,up_m8,up,50.594,4.9,129.5,69.2
1,down_m8,up_m8,combine,2.604,0.3,0.0,35.4
1,down_m8,up_m8,block,488.345,47.4,,
1,down_gemv8,up_m1,norm,4.620,0.4,0.0,13.3
1,down_gemv8,up_m1,down,18.262,1.8,376.8,228.2
1,down_gemv8,up_m1,down_reduce,0.744,0.1,0.0,0.0
1,down_gemv8,up_m1,up,16.314,1.6,401.7,214.7
1,down_gemv8,up_m1,combine,2.611,0.3,0.0,35.3
1,down_gemv8,up_m1,block,42.551,4.1,,
1,down_gemv8,up_m2,norm,4.615,0.4,0.0,13.3
1,down_gemv8,up_m2,down,18.190,1.8,378.3,229.1
1,down_gemv8,up_m2,down_reduce,0.737,0.1,0.0,0.0
1,down_gemv8,up_m2,up,21.266,2.1,308.2,164.7
1,down_gemv8,up_m2,combine,2.606,0.3,0.0,35.4
