tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_m1,up_m1,norm,6.661,0.6,0.0,9.2
1,down_m1,up_m1,down,237.675,23.1,29.0,29.0
1,down_m1,up_m1,up,42.128,4.1,155.6,156.1
1,down_m1,up_m1,combine,3.003,0.3,0.0,30.7
1,down_m1,up_m1,block,289.467,28.1,,
1,down_m1,up_m2,norm,4.602,0.4,0.0,13.4
1,down_m1,up_m2,down,237.837,23.1,28.9,29.0
1,down_m1,up_m2,up,40.451,3.9,162.0,162.5
1,down_m1,up_m2,combine,3.001,0.3,0.0,30.7
1,down_m1,up_m2,block,285.891,27.7,,
1,down_m1,up_m4,norm,4.614,0.4,0.0,13.3
1,down_m1,up_m4,down,238.371,23.1,28.9,29.0
1,down_m1,up_m4,up,47.179,4.6,138.9,139.3
1,down_m1,up_m4,combine,2.993,0.3,0.0,30.8
1,down_m1,up_m4,block,293.157,28.4,,
1,down_m1,up_m8,norm,4.597,0.4,0.0,13.4
1,down_m1,up_m8,down,238.155,23.1,28.9,29.0
1,down_m1,up_m8,up,59.836,5.8,109.5,109.9
1,down_m1,up_m8,combine,2.996,0.3,0.0,30.8
1,down_m1,up_m8,block,305.584,29.6,,
1,down_m2,up_m1,norm,4.611,0.4,0.0,13.3
1,down_m2,up_m1,down,255.368,24.8,26.9,27.0
1,down_m2,up_m1,up,42.219,4.1,155.2,155.7
1,down_m2,up_m1,combine,2.987,0.3,0.0,30.9
1,down_m2,up_m1,block,305.185,29.6,,
1,down_m2,up_m2,norm,4.617,0.4,0.0,13.3
1,down_m2,up_m2,down,255.290,24.8,27.0,27.0
1,down_m2,up_m2,up,40.421,3.9,162.1,162.6
1,down_m2,up_m2,combine,2.982,0.3,0.0,30.9
1,down_m2,up_m2,block,303.310,29.4,,
1,down_m2,up_m4,norm,4.647,0.5,0.0,13.2
1,down_m2,up_m4,down,255.674,24.8,26.9,27.0
1,down_m2,up_m4,up,47.018,4.6,139.4,139.8
1,down_m2,up_m4,combine,2.981,0.3,0.0,30.9
1,down_m2,up_m4,block,310.320,30.1,,
1,down_m2,up_m8,norm,4.603,0.4,0.0,13.3
1,down_m2,up_m8,down,255.887,24.8,26.9,27.0
1,down_m2,up_m8,up,60.182,5.8,108.9,109.2
1,down_m2,up_m8,combine,2.907,0.3,0.0,31.7
1,down_m2,up_m8,block,323.579,31.4,,
1,down_m4,up_m1,norm,4.644,0.5,0.0,13.2
1,down_m4,up_m1,down,303.732,29.5,22.7,22.7
1,down_m4,up_m1,up,42.015,4.1,156.0,156.5
1,down_m4,up_m1,combine,2.842,0.3,0.0,32.4
1,down_m4,up_m1,block,353.233,34.3,,
1,down_m4,up_m2,norm,4.615,0.4,0.0,13.3
1,down_m4,up_m2,down,314.385,30.5,21.9,22.0
1,down_m4,up_m2,up,40.634,3.9,161.3,161.8
1,down_m4,up_m2,combine,2.791,0.3,0.0,33.0
1,down_m4,up_m2,block,362.425,35.2,,
1,down_m4,up_m4,norm,4.615,0.4,0.0,13.3
1,down_m4,up_m4,down,303.555,29.4,22.7,22.7
1,down_m4,up_m4,up,46.926,4.6,139.7,140.1
1,down_m4,up_m4,combine,2.792,0.3,0.0,33.0
1,down_m4,up_m4,block,357.888,34.7,,
1,down_m4,up_m8,norm,4.608,0.4,0.0,13.3
1,down_m4,up_m8,down,304.234,29.5,22.6,22.7
1,down_m4,up_m8,up,60.263,5.8,108.7,109.1
1,down_m4,up_m8,combine,2.627,0.3,0.0,35.1
1,down_m4,up_m8,block,371.732,36.1,,
1,down_m8,up_m1,norm,4.610,0.4,0.0,13.3
1,down_m8,up_m1,down,380.898,36.9,18.1,18.1
1,down_m8,up_m1,up,41.987,4.1,156.1,156.6
1,down_m8,up_m1,combine,2.629,0.3,0.0,35.1
1,down_m8,up_m1,block,430.124,41.7,,
1,down_m8,up_m2,norm,4.607,0.4,0.0,13.3
1,down_m8,up_m2,down,381.342,37.0,18.0,18.1
1,down_m8,up_m2,up,40.540,3.9,161.7,162.2
1,down_m8,up_m2,combine,2.635,0.3,0.0,35.0
1,down_m8,up_m2,block,429.124,41.6,,
1,down_m8,up_m4,norm,4.616,0.4,0.0,13.3
1,down_m8,up_m4,down,389.501,37.8,17.7,17.7
1,down_m8,up_m4,up,47.468,4.6,138.1,138.5
1,down_m8,up_m4,combine,2.621,0.3,0.0,35.2
1,down_m8,up_m4,block,444.206,43.1,,
1,down_m8,up_m8,norm,4.617,0.4,0.0,13.3
1,down_m8,up_m8,down,381.181,37.0,18.1,18.1
1,down_m8,up_m8,up,60.221,5.8,108.8,109.2
1,down_m8,up_m8,combine,2.627,0.3,0.0,35.1
1,down_m8,up_m8,block,448.646,43.5,,
1,down_gemv8,up_m1,norm,4.644,0.5,0.0,13.2
1,down_gemv8,up_m1,down,38.804,3.8,177.3,177.9
1,down_gemv8,up_m1,down_reduce,0.742,0.1,0.0,0.0
1,down_gemv8,up_m1,up,41.598,4.0,157.5,158.0
1,down_gemv8,up_m1,combine,2.621,0.3,0.0,35.2
1,down_gemv8,up_m1,block,88.409,8.6,,
1,down_gemv8,up_m2,norm,4.607,0.4,0.0,13.3
1,down_gemv8,up_m2,down,38.198,3.7,180.1,180.7
1,down_gemv8,up_m2,down_reduce,0.745,0.1,0.0,0.0
1,down_gemv8,up_m2,up,39.990,3.9,163.9,164.4
1,down_gemv8,up_m2,combine,2.620,0.3,0.0,35.2
1,down_gemv8,up_m2,block,86.160,8.4,,
1,down_gemv8,up_m4,norm,4.605,0.4,0.0,13.3
1,down_gemv8,up_m4,down,37.673,3.7,182.7,183.2
1,down_gemv8,up_m4,down_reduce,0.742,0.1,0.0,0.0
1,down_gemv8,up_m4,up,46.588,4.5,140.7,141.1
1,down_gemv8,up_m4,combine,2.626,0.3,0.0,35.1
1,down_gemv8,up_m4,block,92.234,8.9,,
1,down_gemv8,up_m8,norm,4.608,0.4,0.0,13.3
1,down_gemv8,up_m8,down,38.156,3.7,180.3,180.9
1,down_gemv8,up_m8,down_reduce,0.749,0.1,0.0,0.0
1,down_gemv8,up_m8,up,59.509,5.8,110.1,110.5
1,down_gemv8,up_m8,combine,2.621,0.3,0.0,35.2
1,down_gemv8,up_m8,block,105.643,10.2,,
1,down_gemv16,up_m1,norm,4.611,0.4,0.0,13.3
1,down_gemv16,up_m1,down,44.878,4.4,153.3,153.8
1,down_gemv16,up_m1,down_reduce,0.771,0.1,0.0,0.0
1,down_gemv16,up_m1,up,41.703,4.0,157.1,157.6
1,down_gemv16,up_m1,combine,2.632,0.3,0.0,35.0
1,down_gemv16,up_m1,block,94.595,9.2,,
1,down_gemv16,up_m2,norm,4.604,0.4,0.0,13.3
1,down_gemv16,up_m2,down,44.593,4.3,154.3,154.8
1,down_gemv16,up_m2,down_reduce,0.776,0.1,0.0,0.0
1,down_gemv16,up_m2,up,40.111,3.9,163.4,163.9
1,down_gemv16,up_m2,combine,2.617,0.3,0.0,35.2
1,down_gemv16,up_m2,block,92.701,9.0,,
1,down_gemv16,up_m4,norm,4.613,0.4,0.0,13.3
1,down_gemv16,up_m4,down,44.896,4.4,153.3,153.7
1,down_gemv16,up_m4,down_reduce,0.770,0.1,0.0,0.0
1,down_gemv16,up_m4,up,46.513,4.5,140.9,141.3
1,down_gemv16,up_m4,combine,2.621,0.3,0.0,35.2
1,down_gemv16,up_m4,block,99.413,9.6,,
1,down_gemv16,up_m8,norm,4.596,0.4,0.0,13.4
1,down_gemv16,up_m8,down,44.665,4.3,154.1,154.5
1,down_gemv16,up_m8,down_reduce,0.769,0.1,0.0,0.0
1,down_gemv16,up_m8,up,59.845,5.8,109.5,109.9
1,down_gemv16,up_m8,combine,2.616,0.3,0.0,35.2
1,down_gemv16,up_m8,block,112.491,10.9,,
1,down_gemv32,up_m1,norm,4.611,0.4,0.0,13.3
1,down_gemv32,up_m1,down,31.602,3.1,217.7,218.4
1,down_gemv32,up_m1,down_reduce,0.825,0.1,0.0,0.0
1,down_gemv32,up_m1,up,41.643,4.0,157.4,157.9
1,down_gemv32,up_m1,combine,2.622,0.3,0.0,35.1
1,down_gemv32,up_m1,block,81.303,7.9,,
1,down_gemv32,up_m2,norm,4.596,0.4,0.0,13.4
1,down_gemv32,up_m2,down,31.550,3.1,218.1,218.8
1,down_gemv32,up_m2,down_reduce,0.825,0.1,0.0,0.0
1,down_gemv32,up_m2,up,40.119,3.9,163.4,163.9
1,down_gemv32,up_m2,combine,2.633,0.3,0.0,35.0
1,down_gemv32,up_m2,block,79.723,7.7,,
1,down_gemv32,up_m4,norm,4.618,0.4,0.0,13.3
1,down_gemv32,up_m4,down,31.600,3.1,217.8,218.4
1,down_gemv32,up_m4,down_reduce,0.826,0.1,0.0,0.0
1,down_gemv32,up_m4,up,46.549,4.5,140.8,141.2
1,down_gemv32,up_m4,combine,2.622,0.3,0.0,35.1
1,down_gemv32,up_m4,block,86.215,8.4,,
1,down_gemv32,up_m8,norm,4.612,0.4,0.0,13.3
1,down_gemv32,up_m8,down,31.239,3.0,220.3,220.9
1,down_gemv32,up_m8,down_reduce,0.825,0.1,0.0,0.0
1,down_gemv32,up_m8,up,59.803,5.8,109.6,109.9
1,down_gemv32,up_m8,combine,2.632,0.3,0.0,35.0
1,down_gemv32,up_m8,block,99.111,9.6,,
1,down_gemv40,up_m1,norm,4.614,0.4,0.0,13.3
1,down_gemv40,up_m1,down,53.248,5.2,129.2,129.6
1,down_gemv40,up_m1,down_reduce,0.841,0.1,0.0,0.0
1,down_gemv40,up_m1,up,41.576,4.0,157.6,158.1
1,down_gemv40,up_m1,combine,2.618,0.3,0.0,35.2
1,down_gemv40,up_m1,block,102.897,10.0,,
1,down_gemv40,up_m2,norm,4.621,0.4,0.0,13.3
1,down_gemv40,up_m2,down,54.077,5.2,127.2,127.6
1,down_gemv40,up_m2,down_reduce,0.840,0.1,0.0,0.0
1,down_gemv40,up_m2,up,40.233,3.9,162.9,163.4
1,down_gemv40,up_m2,combine,2.629,0.3,0.0,35.1
1,down_gemv40,up_m2,block,102.400,9.9,,
1,down_gemv40,up_m4,norm,4.613,0.4,0.0,13.3
1,down_gemv40,up_m4,down,53.208,5.2,129.3,129.7
1,down_gemv40,up_m4,down_reduce,0.842,0.1,0.0,0.0
1,down_gemv40,up_m4,up,46.612,4.5,140.6,141.0
1,down_gemv40,up_m4,combine,2.633,0.3,0.0,35.0
1,down_gemv40,up_m4,block,107.908,10.5,,
