tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,qkv_gemv,out_gemv,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,164.887,2.0,433.2,433.3
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,5.754,0.1,0.0,7.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.197,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,9.293,0.1,56.4,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,7.513,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,121.577,1.5,258.7,258.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,312.221,3.7,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,qkv,48.374,0.6,1476.7,1476.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,pack,5.752,0.1,0.0,7.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,idx,3.204,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,score,9.239,0.1,56.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,attn,7.516,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,out,17.607,0.2,1786.6,1787.3
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,out.sum,1.171,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,layer,92.863,1.1,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,qkv,52.681,0.6,1356.0,1356.1
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,qkv.sum,0.892,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,pack,5.803,0.1,0.0,7.4
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,idx,3.150,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,score,9.238,0.1,56.8,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,attn,7.499,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,out,17.563,0.2,1791.1,1791.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,out.sum,1.161,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,layer,97.987,1.2,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,qkv,41.451,0.5,1723.3,1723.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,qkv.sum,1.028,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,pack,5.831,0.1,0.0,7.4
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,idx,3.138,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,score,9.270,0.1,56.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,attn,7.493,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,out,17.565,0.2,1790.9,1791.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,out.sum,1.160,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k4,k32,layer,86.936,1.0,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv,40.176,0.5,1778.0,1778.2
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv.sum,1.304,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,pack,5.851,0.1,0.0,7.4
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,idx,3.126,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,score,9.223,0.1,56.8,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,attn,7.484,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out,17.706,0.2,1776.6,1777.3
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out.sum,1.057,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,layer,85.927,1.0,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,qkv,42.502,0.5,1680.7,1680.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,qkv.sum,1.849,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,pack,5.629,0.1,0.0,7.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,idx,3.107,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,score,9.141,0.1,57.4,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,attn,7.437,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,out,17.752,0.2,1772.0,1772.7
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,out.sum,1.050,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k20,k32,layer,88.467,1.1,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,qkv,42.652,0.5,1674.8,1674.9
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,qkv.sum,2.963,0.0,0.0,0.0
