tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,qkv,73.312,2.6,1150.9,1151.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,qkv.sum,1.392,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,conv,1.842,0.1,0.0,44.5
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,scan,10.265,0.4,612.9,694.3
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,norm,1.148,0.0,0.0,53.5
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,out,17.849,0.6,1762.4,1763.1
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,out.sum,1.169,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,hist,0.844,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,layer,107.821,3.9,,
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,qkv,47.423,1.7,1779.3,1779.4
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,qkv.sum,1.391,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,conv,1.839,0.1,0.0,44.5
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,scan,10.223,0.4,615.4,697.2
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,norm,1.139,0.0,0.0,53.9
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,out,17.797,0.6,1767.6,1768.3
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,out.sum,1.166,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,hist,0.837,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,layer,81.815,2.9,,
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,qkv,47.456,1.7,1778.0,1778.1
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,qkv.sum,1.393,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,conv,1.830,0.1,0.0,44.8
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,scan,10.242,0.4,614.3,695.9
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,norm,1.142,0.0,0.0,53.8
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,out,17.778,0.6,1769.4,1770.1
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,out.sum,1.167,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,hist,0.834,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,layer,81.842,2.9,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv,47.703,1.7,1768.8,1768.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv.sum,1.258,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,conv,1.749,0.1,0.0,46.8
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,scan,9.250,0.3,680.2,770.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,norm,1.138,0.0,0.0,54.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out,17.879,0.6,1759.5,1760.1
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out.sum,1.107,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,hist,0.923,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,layer,81.007,2.9,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,qkv,47.229,1.7,1786.6,1786.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,qkv.sum,1.288,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,conv,1.792,0.1,0.0,45.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,scan,9.415,0.3,668.2,757.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,norm,1.136,0.0,0.0,54.1
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,out,18.131,0.7,1735.0,1735.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,out.sum,1.099,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,hist,0.800,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m4/k32,layer,80.890,2.9,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,qkv,47.816,1.7,1764.6,1764.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,qkv.sum,1.262,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,conv,1.811,0.1,0.0,45.2
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,scan,9.481,0.3,663.6,751.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,norm,1.137,0.0,0.0,54.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,out,17.943,0.6,1753.2,1753.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,out.sum,1.102,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,hist,0.798,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m8/k32,layer,81.350,2.9,,
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,qkv,47.718,1.7,1768.3,1768.4
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,qkv.sum,1.234,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,conv,2.194,0.1,0.0,37.3
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,scan,9.500,0.3,662.3,750.2
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,norm,1.131,0.0,0.0,54.3
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,out,17.905,0.6,1756.9,1757.6
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,out.sum,1.108,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,hist,0.797,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,layer,81.587,2.9,,
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,qkv,47.753,1.7,1767.0,1767.1
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,qkv.sum,1.295,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,conv,1.799,0.1,0.0,45.5
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,scan,9.472,0.3,664.2,752.4
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,norm,1.135,0.0,0.0,54.1
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,out,18.360,0.7,1713.4,1714.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,out.sum,1.097,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,hist,0.797,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,layer,81.708,2.9,,
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,qkv,47.578,1.7,1773.5,1773.6
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,qkv.sum,1.251,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,conv,2.159,0.1,0.0,37.9
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,scan,9.470,0.3,664.4,752.6
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,norm,1.127,0.0,0.0,54.5
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,out,18.060,0.7,1741.8,1742.5
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,out.sum,1.117,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,hist,0.807,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,layer,81.569,2.9,,
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,179.956,6.5,468.9,468.9
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,1.741,0.1,0.0,47.1
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,9.019,0.3,697.6,790.2
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.098,0.0,0.0,56.0
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,120.620,4.3,260.8,260.9
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,0.800,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,313.234,11.3,,
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,qkv,52.547,1.9,1605.8,1605.9
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,conv,2.165,0.1,0.0,37.8
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,scan,9.407,0.3,668.8,757.6
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,norm,1.122,0.0,0.0,54.8
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,out,17.797,0.6,1767.6,1768.3
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,out.sum,1.101,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,hist,0.804,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,layer,84.943,3.1,,
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,qkv,55.290,2.0,1526.1,1526.2
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,qkv.sum,0.860,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,conv,1.785,0.1,0.0,45.9
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,scan,9.448,0.3,665.9,754.3
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,norm,1.121,0.0,0.0,54.8
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,out,17.865,0.6,1760.8,1761.5
