tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_m1,up_m1,norm,5.484,0.5,0.0,11.2
1,down_m1,up_m1,down,181.265,17.6,38.0,14.9
1,down_m1,up_m1,up,14.327,1.4,457.4,130.1
1,down_m1,up_m1,combine,3.245,0.3,0.0,28.4
1,down_m1,up_m1,block,204.321,19.8,,
1,down_m1,up_m2,norm,4.632,0.4,0.0,13.3
1,down_m1,up_m2,down,173.004,16.8,39.8,15.6
1,down_m1,up_m2,up,15.363,1.5,426.6,121.3
1,down_m1,up_m2,combine,3.007,0.3,0.0,30.6
1,down_m1,up_m2,block,196.006,19.0,,
1,down_m1,up_m4,norm,4.623,0.4,0.0,13.3
1,down_m1,up_m4,down,174.702,16.9,39.4,15.4
1,down_m1,up_m4,up,24.565,2.4,266.8,75.9
1,down_m1,up_m4,combine,3.006,0.3,0.0,30.7
1,down_m1,up_m4,block,206.896,20.1,,
1,down_m1,up_m8,norm,4.624,0.4,0.0,13.3
1,down_m1,up_m8,down,171.759,16.7,40.1,15.7
1,down_m1,up_m8,up,42.614,4.1,153.8,43.7
1,down_m1,up_m8,combine,3.011,0.3,0.0,30.6
1,down_m1,up_m8,block,222.008,21.5,,
1,down_m2,up_m1,norm,4.627,0.4,0.0,13.3
1,down_m2,up_m1,down,202.129,19.6,34.0,13.3
1,down_m2,up_m1,up,14.772,1.4,443.7,126.2
1,down_m2,up_m1,combine,2.965,0.3,0.0,31.1
1,down_m2,up_m1,block,224.493,21.8,,
1,down_m2,up_m2,norm,4.619,0.4,0.0,13.3
1,down_m2,up_m2,down,206.562,20.0,33.3,13.0
1,down_m2,up_m2,up,15.284,1.5,428.8,121.9
1,down_m2,up_m2,combine,2.964,0.3,0.0,31.1
1,down_m2,up_m2,block,229.429,22.3,,
1,down_m2,up_m4,norm,4.624,0.4,0.0,13.3
1,down_m2,up_m4,down,203.909,19.8,33.7,13.2
1,down_m2,up_m4,up,24.783,2.4,264.4,75.2
1,down_m2,up_m4,combine,2.966,0.3,0.0,31.1
1,down_m2,up_m4,block,236.282,22.9,,
1,down_m2,up_m8,norm,4.617,0.4,0.0,13.3
1,down_m2,up_m8,down,202.804,19.7,33.9,13.3
1,down_m2,up_m8,up,42.754,4.1,153.3,43.6
1,down_m2,up_m8,combine,2.966,0.3,0.0,31.1
1,down_m2,up_m8,block,253.141,24.6,,
1,down_m4,up_m1,norm,4.621,0.4,0.0,13.3
1,down_m4,up_m1,down,266.533,25.9,25.8,10.1
1,down_m4,up_m1,up,10.896,1.1,601.5,171.0
1,down_m4,up_m1,combine,2.966,0.3,0.0,31.1
1,down_m4,up_m1,block,285.016,27.6,,
1,down_m4,up_m2,norm,4.631,0.4,0.0,13.3
1,down_m4,up_m2,down,270.733,26.3,25.4,9.9
1,down_m4,up_m2,up,15.346,1.5,427.1,121.4
1,down_m4,up_m2,combine,2.828,0.3,0.0,32.6
1,down_m4,up_m2,block,293.538,28.5,,
1,down_m4,up_m4,norm,4.621,0.4,0.0,13.3
1,down_m4,up_m4,down,262.927,25.5,26.2,10.2
1,down_m4,up_m4,up,24.573,2.4,266.7,75.8
1,down_m4,up_m4,combine,2.824,0.3,0.0,32.6
1,down_m4,up_m4,block,294.945,28.6,,
1,down_m4,up_m8,norm,4.621,0.4,0.0,13.3
1,down_m4,up_m8,down,263.450,25.6,26.1,10.2
1,down_m4,up_m8,up,42.810,4.2,153.1,43.5
1,down_m4,up_m8,combine,2.836,0.3,0.0,32.5
1,down_m4,up_m8,block,313.717,30.4,,
1,down_m8,up_m1,norm,4.622,0.4,0.0,13.3
1,down_m8,up_m1,down,358.984,34.8,19.2,7.5
1,down_m8,up_m1,up,11.142,1.1,588.2,167.3
1,down_m8,up_m1,combine,2.836,0.3,0.0,32.5
1,down_m8,up_m1,block,377.584,36.6,,
1,down_m8,up_m2,norm,4.620,0.4,0.0,13.3
1,down_m8,up_m2,down,361.040,35.0,19.1,7.5
1,down_m8,up_m2,up,15.305,1.5,428.2,121.8
1,down_m8,up_m2,combine,2.831,0.3,0.0,32.6
1,down_m8,up_m2,block,383.796,37.2,,
1,down_m8,up_m4,norm,4.631,0.4,0.0,13.3
1,down_m8,up_m4,down,356.136,34.5,19.3,7.6
1,down_m8,up_m4,up,24.642,2.4,266.0,75.6
1,down_m8,up_m4,combine,2.838,0.3,0.0,32.5
1,down_m8,up_m4,block,388.247,37.7,,
1,down_m8,up_m8,norm,4.624,0.4,0.0,13.3
1,down_m8,up_m8,down,360.912,35.0,19.1,7.5
1,down_m8,up_m8,up,42.570,4.1,153.9,43.8
1,down_m8,up_m8,combine,2.820,0.3,0.0,32.7
1,down_m8,up_m8,block,410.926,39.9,,
1,down_gemv8,up_m1,norm,4.624,0.4,0.0,13.3
1,down_gemv8,up_m1,down,9.255,0.9,743.5,291.0
1,down_gemv8,up_m1,down_reduce,0.736,0.1,0.0,0.0
1,down_gemv8,up_m1,up,10.885,1.1,602.1,171.2
1,down_gemv8,up_m1,combine,2.836,0.3,0.0,32.5
1,down_gemv8,up_m1,block,28.336,2.7,,
1,down_gemv8,up_m2,norm,4.618,0.4,0.0,13.3
1,down_gemv8,up_m2,down,9.211,0.9,747.1,292.4
1,down_gemv8,up_m2,down_reduce,0.736,0.1,0.0,0.0
1,down_gemv8,up_m2,up,15.397,1.5,425.6,121.0
1,down_gemv8,up_m2,combine,2.835,0.3,0.0,32.5
1,down_gemv8,up_m2,block,32.797,3.2,,
1,down_gemv8,up_m4,norm,4.617,0.4,0.0,13.3
1,down_gemv8,up_m4,down,9.212,0.9,747.0,292.3
1,down_gemv8,up_m4,down_reduce,0.738,0.1,0.0,0.0
1,down_gemv8,up_m4,up,24.785,2.4,264.4,75.2
1,down_gemv8,up_m4,combine,2.851,0.3,0.0,32.3
1,down_gemv8,up_m4,block,42.203,4.1,,
1,down_gemv8,up_m8,norm,4.624,0.4,0.0,13.3
1,down_gemv8,up_m8,down,9.257,0.9,743.4,290.9
1,down_gemv8,up_m8,down_reduce,0.736,0.1,0.0,0.0
1,down_gemv8,up_m8,up,42.865,4.2,152.9,43.5
1,down_gemv8,up_m8,combine,2.837,0.3,0.0,32.5
1,down_gemv8,up_m8,block,60.319,5.9,,
1,down_gemv16,up_m1,norm,4.618,0.4,0.0,13.3
1,down_gemv16,up_m1,down,6.481,0.6,1061.8,415.5
1,down_gemv16,up_m1,down_reduce,0.765,0.1,0.0,0.0
1,down_gemv16,up_m1,up,10.910,1.1,600.7,170.8
1,down_gemv16,up_m1,combine,2.865,0.3,0.0,32.2
1,down_gemv16,up_m1,block,25.639,2.5,,
1,down_gemv16,up_m2,norm,4.622,0.4,0.0,13.3
1,down_gemv16,up_m2,down,6.480,0.6,1061.9,415.6
1,down_gemv16,up_m2,down_reduce,0.772,0.1,0.0,0.0
1,down_gemv16,up_m2,up,15.305,1.5,428.2,121.8
1,down_gemv16,up_m2,combine,2.839,0.3,0.0,32.5
1,down_gemv16,up_m2,block,30.018,2.9,,
1,down_gemv16,up_m4,norm,4.622,0.4,0.0,13.3
1,down_gemv16,up_m4,down,6.490,0.6,1060.3,415.0
1,down_gemv16,up_m4,down_reduce,0.768,0.1,0.0,0.0
1,down_gemv16,up_m4,up,24.791,2.4,264.4,75.2
1,down_gemv16,up_m4,combine,2.839,0.3,0.0,32.5
1,down_gemv16,up_m4,block,39.510,3.8,,
1,down_gemv16,up_m8,norm,4.626,0.4,0.0,13.3
1,down_gemv16,up_m8,down,6.520,0.6,1055.4,413.1
1,down_gemv16,up_m8,down_reduce,0.766,0.1,0.0,0.0
1,down_gemv16,up_m8,up,42.736,4.1,153.4,43.6
1,down_gemv16,up_m8,combine,2.782,0.3,0.0,33.1
1,down_gemv16,up_m8,block,57.430,5.6,,
1,down_gemv32,up_m1,norm,4.637,0.4,0.0,13.2
1,down_gemv32,up_m1,down,5.600,0.5,1228.8,480.9
1,down_gemv32,up_m1,down_reduce,0.819,0.1,0.0,0.0
1,down_gemv32,up_m1,up,10.831,1.1,605.1,172.1
1,down_gemv32,up_m1,combine,2.757,0.3,0.0,33.4
1,down_gemv32,up_m1,block,24.644,2.4,,
1,down_gemv32,up_m2,norm,4.625,0.4,0.0,13.3
1,down_gemv32,up_m2,down,5.528,0.5,1244.8,487.2
1,down_gemv32,up_m2,down_reduce,0.821,0.1,0.0,0.0
1,down_gemv32,up_m2,up,15.319,1.5,427.8,121.7
1,down_gemv32,up_m2,combine,2.764,0.3,0.0,33.3
1,down_gemv32,up_m2,block,29.057,2.8,,
1,down_gemv32,up_m4,norm,4.643,0.5,0.0,13.2
1,down_gemv32,up_m4,down,5.511,0.5,1248.6,488.7
1,down_gemv32,up_m4,down_reduce,0.820,0.1,0.0,0.0
1,down_gemv32,up_m4,up,24.230,2.4,270.5,76.9
1,down_gemv32,up_m4,combine,2.607,0.3,0.0,35.4
1,down_gemv32,up_m4,block,37.811,3.7,,
1,down_gemv32,up_m8,norm,4.482,0.4,0.0,13.7
1,down_gemv32,up_m8,down,5.369,0.5,1281.7,501.6
1,down_gemv32,up_m8,down_reduce,0.821,0.1,0.0,0.0
1,down_gemv32,up_m8,up,42.203,4.1,155.3,44.2
1,down_gemv32,up_m8,combine,2.756,0.3,0.0,33.4
1,down_gemv32,up_m8,block,55.631,5.4,,
1,down_gemv40,up_m1,norm,4.628,0.4,0.0,13.3
1,down_gemv40,up_m1,down,7.572,0.7,908.8,355.7
1,down_gemv40,up_m1,down_reduce,0.834,0.1,0.0,0.0
1,down_gemv40,up_m1,up,10.873,1.1,602.7,171.4
1,down_gemv40,up_m1,combine,2.760,0.3,0.0,33.4
1,down_gemv40,up_m1,block,26.667,2.6,,
1,down_gemv40,up_m2,norm,4.636,0.4,0.0,13.3
1,down_gemv40,up_m2,down,7.526,0.7,914.3,357.8
1,down_gemv40,up_m2,down_reduce,0.836,0.1,0.0,0.0
1,down_gemv40,up_m2,up,15.402,1.5,425.5,121.0
1,down_gemv40,up_m2,combine,2.707,0.3,0.0,34.0
1,down_gemv40,up_m2,block,31.107,3.0,,
1,down_gemv40,up_m4,norm,4.635,0.4,0.0,13.3
1,down_gemv40,up_m4,down,7.616,0.7,903.5,353.6
1,down_gemv40,up_m4,down_reduce,0.836,0.1,0.0,0.0
1,down_gemv40,up_m4,up,24.754,2.4,264.7,75.3
1,down_gemv40,up_m4,combine,2.714,0.3,0.0,34.0
1,down_gemv40,up_m4,block,40.555,3.9,,
1,down_gemv40,up_m8,norm,4.625,0.4,0.0,13.3
1,down_gemv40,up_m8,down,7.652,0.7,899.3,351.9
1,down_gemv40,up_m8,down_reduce,0.833,0.1,0.0,0.0
1,down_gemv40,up_m8,up,42.870,4.2,152.9,43.5
1,down_gemv40,up_m8,combine,2.708,0.3,0.0,34.0
1,down_gemv40,up_m8,block,58.688,5.7,,
1,down_gemv80,up_m1,norm,4.649,0.5,0.0,13.2
1,down_gemv80,up_m1,down,6.042,0.6,1138.9,445.7
1,down_gemv80,up_m1,down_reduce,1.113,0.1,0.0,0.0
1,down_gemv80,up_m1,up,10.828,1.1,605.2,172.1
1,down_gemv80,up_m1,combine,2.705,0.3,0.0,34.1
1,down_gemv80,up_m1,block,25.337,2.5,,
1,down_gemv80,up_m2,norm,4.649,0.5,0.0,13.2
1,down_gemv80,up_m2,down,6.038,0.6,1139.7,446.0
1,down_gemv80,up_m2,down_reduce,1.108,0.1,0.0,0.0
1,down_gemv80,up_m2,up,15.421,1.5,425.0,120.9
1,down_gemv80,up_m2,combine,2.712,0.3,0.0,34.0
1,down_gemv80,up_m2,block,29.928,2.9,,
1,down_gemv80,up_m4,norm,4.639,0.4,0.0,13.2
1,down_gemv80,up_m4,down,6.020,0.6,1143.1,447.4
1,down_gemv80,up_m4,down_reduce,1.115,0.1,0.0,0.0
1,down_gemv80,up_m4,up,23.936,2.3,273.8,77.9
1,down_gemv80,up_m4,combine,2.557,0.2,0.0,36.0
1,down_gemv80,up_m4,block,38.267,3.7,,
1,down_gemv80,up_m8,norm,4.500,0.4,0.0,13.7
1,down_gemv80,up_m8,down,5.943,0.6,1157.9,453.2
1,down_gemv80,up_m8,down_reduce,1.117,0.1,0.0,0.0
1,down_gemv80,up_m8,up,42.148,4.1,155.5,44.2
1,down_gemv80,up_m8,combine,2.649,0.3,0.0,34.8
1,down_gemv80,up_m8,block,56.357,5.5,,
1,down_gemv160,up_m1,norm,4.653,0.5,0.0,13.2
1,down_gemv160,up_m1,down,5.868,0.6,1172.7,459.0
1,down_gemv160,up_m1,down_reduce,1.724,0.2,0.0,0.0
1,down_gemv160,up_m1,up,10.805,1.0,606.5,172.5
1,down_gemv160,up_m1,combine,2.657,0.3,0.0,34.7
1,down_gemv160,up_m1,block,25.707,2.5,,
1,down_gemv160,up_m2,norm,4.649,0.5,0.0,13.2
1,down_gemv160,up_m2,down,5.820,0.6,1182.4,462.7
1,down_gemv160,up_m2,down_reduce,1.726,0.2,0.0,0.0
1,down_gemv160,up_m2,up,15.163,1.5,432.2,122.9
1,down_gemv160,up_m2,combine,2.502,0.2,0.0,36.8
1,down_gemv160,up_m2,block,29.860,2.9,,
1,down_gemv160,up_m4,norm,4.463,0.4,0.0,13.8
1,down_gemv160,up_m4,down,5.491,0.5,1253.2,490.5
1,down_gemv160,up_m4,down_reduce,1.664,0.2,0.0,0.0
1,down_gemv160,up_m4,up,23.889,2.3,274.3,78.0
1,down_gemv160,up_m4,combine,2.511,0.2,0.0,36.7
1,down_gemv160,up_m4,block,38.018,3.7,,
1,down_gemv160,up_m8,norm,4.547,0.4,0.0,13.5
1,down_gemv160,up_m8,down,5.819,0.6,1182.6,462.8
1,down_gemv160,up_m8,down_reduce,1.723,0.2,0.0,0.0
1,down_gemv160,up_m8,up,42.480,4.1,154.3,43.9
1,down_gemv160,up_m8,combine,2.662,0.3,0.0,34.6
1,down_gemv160,up_m8,block,57.231,5.6,,
