tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_m1,up_m1,norm,5.441,0.5,0.0,11.3
1,down_m1,up_m1,down,224.442,21.8,30.7,18.6
1,down_m1,up_m1,up,16.568,1.6,395.6,211.4
1,down_m1,up_m1,combine,2.653,0.3,0.0,34.7
1,down_m1,up_m1,block,249.104,24.2,,
1,down_m1,up_m2,norm,4.607,0.4,0.0,13.3
1,down_m1,up_m2,down,225.811,21.9,30.5,18.5
1,down_m1,up_m2,up,20.985,2.0,312.3,166.9
1,down_m1,up_m2,combine,2.611,0.3,0.0,35.3
1,down_m1,up_m2,block,254.014,24.6,,
1,down_m1,up_m4,norm,4.614,0.4,0.0,13.3
1,down_m1,up_m4,down,224.690,21.8,30.6,18.5
1,down_m1,up_m4,up,30.254,2.9,216.6,115.8
1,down_m1,up_m4,combine,2.612,0.3,0.0,35.3
1,down_m1,up_m4,block,262.170,25.4,,
1,down_m1,up_m8,norm,4.626,0.4,0.0,13.3
1,down_m1,up_m8,down,223.203,21.7,30.8,18.7
1,down_m1,up_m8,up,52.040,5.0,125.9,67.3
1,down_m1,up_m8,combine,2.860,0.3,0.0,32.2
1,down_m1,up_m8,block,282.729,27.4,,
1,down_m2,up_m1,norm,5.010,0.5,0.0,12.3
1,down_m2,up_m1,down,242.483,23.5,28.4,17.2
1,down_m2,up_m1,up,16.356,1.6,400.7,214.1
1,down_m2,up_m1,combine,2.611,0.3,0.0,35.3
1,down_m2,up_m1,block,266.460,25.8,,
1,down_m2,up_m2,norm,4.608,0.4,0.0,13.3
1,down_m2,up_m2,down,240.515,23.3,28.6,17.3
1,down_m2,up_m2,up,20.945,2.0,312.9,167.2
1,down_m2,up_m2,combine,2.612,0.3,0.0,35.3
1,down_m2,up_m2,block,268.680,26.1,,
1,down_m2,up_m4,norm,4.626,0.4,0.0,13.3
1,down_m2,up_m4,down,242.272,23.5,28.4,17.2
1,down_m2,up_m4,up,30.305,2.9,216.3,115.6
1,down_m2,up_m4,combine,3.745,0.4,0.0,24.6
1,down_m2,up_m4,block,280.948,27.3,,
1,down_m2,up_m8,norm,6.301,0.6,0.0,9.8
1,down_m2,up_m8,down,240.773,23.4,28.6,17.3
1,down_m2,up_m8,up,53.192,5.2,123.2,65.8
1,down_m2,up_m8,combine,2.611,0.3,0.0,35.3
1,down_m2,up_m8,block,302.877,29.4,,
1,down_m4,up_m1,norm,4.612,0.4,0.0,13.3
1,down_m4,up_m1,down,312.983,30.4,22.0,13.3
1,down_m4,up_m1,up,17.457,1.7,375.4,200.6
1,down_m4,up_m1,combine,2.714,0.3,0.0,34.0
1,down_m4,up_m1,block,337.766,32.8,,
1,down_m4,up_m2,norm,6.317,0.6,0.0,9.7
1,down_m4,up_m2,down,313.225,30.4,22.0,13.3
1,down_m4,up_m2,up,24.066,2.3,272.3,145.5
1,down_m4,up_m2,combine,3.223,0.3,0.0,28.6
1,down_m4,up_m2,block,346.831,33.6,,
1,down_m4,up_m4,norm,5.413,0.5,0.0,11.4
1,down_m4,up_m4,down,315.415,30.6,21.8,13.2
1,down_m4,up_m4,up,32.625,3.2,200.9,107.3
1,down_m4,up_m4,combine,3.304,0.3,0.0,27.9
1,down_m4,up_m4,block,356.757,34.6,,
1,down_m4,up_m8,norm,5.646,0.5,0.0,10.9
1,down_m4,up_m8,down,316.804,30.7,21.7,13.2
1,down_m4,up_m8,up,56.608,5.5,115.8,61.9
1,down_m4,up_m8,combine,4.043,0.4,0.0,22.8
1,down_m4,up_m8,block,383.101,37.2,,
1,down_m8,up_m1,norm,4.709,0.5,0.0,13.0
1,down_m8,up_m1,down,429.179,41.6,16.0,9.7
1,down_m8,up_m1,up,16.568,1.6,395.6,211.4
1,down_m8,up_m1,combine,2.609,0.3,0.0,35.3
1,down_m8,up_m1,block,453.065,43.9,,
1,down_m8,up_m2,norm,4.603,0.4,0.0,13.3
1,down_m8,up_m2,down,433.789,42.1,15.9,9.6
1,down_m8,up_m2,up,20.889,2.0,313.7,167.7
1,down_m8,up_m2,combine,2.616,0.3,0.0,35.2
1,down_m8,up_m2,block,461.897,44.8,,
1,down_m8,up_m4,norm,4.617,0.4,0.0,13.3
1,down_m8,up_m4,down,435.948,42.3,15.8,9.6
1,down_m8,up_m4,up,30.222,2.9,216.8,115.9
1,down_m8,up_m4,combine,2.613,0.3,0.0,35.3
1,down_m8,up_m4,block,473.400,45.9,,
1,down_m8,up_m8,norm,4.612,0.4,0.0,13.3
1,down_m8,up_m8,down,419.089,40.7,16.4,9.9
1,down_m8,up_m8,up,49.157,4.8,133.3,71.2
1,down_m8,up_m8,combine,2.485,0.2,0.0,37.1
1,down_m8,up_m8,block,475.343,46.1,,
1,down_gemv8,up_m1,norm,4.449,0.4,0.0,13.8
1,down_gemv8,up_m1,down,17.751,1.7,387.7,234.8
1,down_gemv8,up_m1,down_reduce,0.706,0.1,0.0,0.0
1,down_gemv8,up_m1,up,16.288,1.6,402.4,215.0
1,down_gemv8,up_m1,combine,2.488,0.2,0.0,37.0
1,down_gemv8,up_m1,block,41.682,4.0,,
1,down_gemv8,up_m2,norm,4.466,0.4,0.0,13.8
1,down_gemv8,up_m2,down,17.727,1.7,388.2,235.1
1,down_gemv8,up_m2,down_reduce,0.704,0.1,0.0,0.0
1,down_gemv8,up_m2,up,20.747,2.0,315.9,168.8
1,down_gemv8,up_m2,combine,2.486,0.2,0.0,37.1
1,down_gemv8,up_m2,block,46.130,4.5,,
1,down_gemv8,up_m4,norm,4.433,0.4,0.0,13.9
1,down_gemv8,up_m4,down,17.906,1.7,384.3,232.8
1,down_gemv8,up_m4,down_reduce,0.707,0.1,0.0,0.0
1,down_gemv8,up_m4,up,30.179,2.9,217.2,116.0
1,down_gemv8,up_m4,combine,2.484,0.2,0.0,37.1
1,down_gemv8,up_m4,block,55.709,5.4,,
1,down_gemv8,up_m8,norm,4.433,0.4,0.0,13.9
1,down_gemv8,up_m8,down,17.591,1.7,391.2,236.9
1,down_gemv8,up_m8,down_reduce,0.704,0.1,0.0,0.0
1,down_gemv8,up_m8,up,48.974,4.8,133.8,71.5
1,down_gemv8,up_m8,combine,2.486,0.2,0.0,37.1
1,down_gemv8,up_m8,block,74.188,7.2,,
1,down_gemv16,up_m1,norm,4.443,0.4,0.0,13.8
1,down_gemv16,up_m1,down,14.911,1.4,461.5,279.5
1,down_gemv16,up_m1,down_reduce,0.727,0.1,0.0,0.0
1,down_gemv16,up_m1,up,16.267,1.6,402.9,215.3
1,down_gemv16,up_m1,combine,2.487,0.2,0.0,37.1
1,down_gemv16,up_m1,block,38.835,3.8,,
1,down_gemv16,up_m2,norm,4.435,0.4,0.0,13.9
1,down_gemv16,up_m2,down,15.118,1.5,455.2,275.7
1,down_gemv16,up_m2,down_reduce,0.731,0.1,0.0,0.0
1,down_gemv16,up_m2,up,20.777,2.0,315.4,168.6
1,down_gemv16,up_m2,combine,2.479,0.2,0.0,37.2
1,down_gemv16,up_m2,block,43.540,4.2,,
1,down_gemv16,up_m4,norm,4.439,0.4,0.0,13.8
1,down_gemv16,up_m4,down,15.449,1.5,445.4,269.8
1,down_gemv16,up_m4,down_reduce,0.734,0.1,0.0,0.0
1,down_gemv16,up_m4,up,29.856,2.9,219.5,117.3
1,down_gemv16,up_m4,combine,2.481,0.2,0.0,37.1
1,down_gemv16,up_m4,block,52.959,5.1,,
1,down_gemv16,up_m8,norm,4.443,0.4,0.0,13.8
1,down_gemv16,up_m8,down,15.219,1.5,452.2,273.8
1,down_gemv16,up_m8,down_reduce,0.731,0.1,0.0,0.0
1,down_gemv16,up_m8,up,48.859,4.7,134.1,71.7
1,down_gemv16,up_m8,combine,2.480,0.2,0.0,37.2
1,down_gemv16,up_m8,block,71.732,7.0,,
1,down_gemv32,up_m1,norm,4.442,0.4,0.0,13.8
1,down_gemv32,up_m1,down,12.976,1.3,530.3,321.2
1,down_gemv32,up_m1,down_reduce,0.780,0.1,0.0,0.0
1,down_gemv32,up_m1,up,16.249,1.6,403.3,215.5
1,down_gemv32,up_m1,combine,2.482,0.2,0.0,37.1
1,down_gemv32,up_m1,block,36.929,3.6,,
1,down_gemv32,up_m2,norm,4.444,0.4,0.0,13.8
1,down_gemv32,up_m2,down,12.941,1.3,531.7,322.1
1,down_gemv32,up_m2,down_reduce,0.779,0.1,0.0,0.0
1,down_gemv32,up_m2,up,20.825,2.0,314.7,168.2
1,down_gemv32,up_m2,combine,2.481,0.2,0.0,37.1
1,down_gemv32,up_m2,block,41.470,4.0,,
1,down_gemv32,up_m4,norm,4.442,0.4,0.0,13.8
1,down_gemv32,up_m4,down,13.028,1.3,528.2,319.9
1,down_gemv32,up_m4,down_reduce,0.779,0.1,0.0,0.0
1,down_gemv32,up_m4,up,29.746,2.9,220.3,117.7
1,down_gemv32,up_m4,combine,2.477,0.2,0.0,37.2
1,down_gemv32,up_m4,block,50.472,4.9,,
1,down_gemv32,up_m8,norm,4.441,0.4,0.0,13.8
