tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
64,down_m1,up_m1,norm,9.858,1.0,0.0,398.9
64,down_m1,up_m1,down,159.330,15.5,2764.1,25.0
64,down_m1,up_m1,up,36.591,3.5,11462.7,86.2
64,down_m1,up_m1,combine,12.307,1.2,0.0,479.3
64,down_m1,up_m1,block,218.086,21.2,,
64,down_m1,up_m2,norm,8.814,0.9,0.0,446.1
64,down_m1,up_m2,down,158.285,15.4,2782.3,25.2
64,down_m1,up_m2,up,33.111,3.2,12667.4,95.3
64,down_m1,up_m2,combine,9.895,1.0,0.0,596.1
64,down_m1,up_m2,block,210.105,20.4,,
64,down_m1,up_m4,norm,9.030,0.9,0.0,435.5
64,down_m1,up_m4,down,158.657,15.4,2775.8,25.1
64,down_m1,up_m4,up,24.835,2.4,16888.7,127.0
64,down_m1,up_m4,combine,9.877,1.0,0.0,597.2
64,down_m1,up_m4,block,202.399,19.6,,
64,down_m1,up_m8,norm,9.331,0.9,0.0,421.4
64,down_m1,up_m8,down,158.968,15.4,2770.4,25.1
64,down_m1,up_m8,up,43.020,4.2,9749.7,73.3
64,down_m1,up_m8,combine,9.885,1.0,0.0,596.7
64,down_m1,up_m8,block,221.204,21.5,,
64,down_m2,up_m1,norm,9.289,0.9,0.0,423.3
64,down_m2,up_m1,down,185.175,18.0,2378.3,21.5
64,down_m2,up_m1,up,36.553,3.5,11474.6,86.3
64,down_m2,up_m1,combine,9.903,1.0,0.0,595.6
64,down_m2,up_m1,block,240.920,23.4,,
64,down_m2,up_m2,norm,8.707,0.8,0.0,451.6
64,down_m2,up_m2,down,185.503,18.0,2374.1,21.5
64,down_m2,up_m2,up,33.181,3.2,12640.7,95.1
64,down_m2,up_m2,combine,9.882,1.0,0.0,596.9
64,down_m2,up_m2,block,237.273,23.0,,
64,down_m2,up_m4,norm,9.205,0.9,0.0,427.2
64,down_m2,up_m4,down,187.858,18.2,2344.3,21.2
64,down_m2,up_m4,up,25.054,2.4,16741.1,125.9
64,down_m2,up_m4,combine,9.904,1.0,0.0,595.5
64,down_m2,up_m4,block,232.021,22.5,,
64,down_m2,up_m8,norm,9.202,0.9,0.0,427.3
64,down_m2,up_m8,down,185.081,18.0,2379.5,21.5
64,down_m2,up_m8,up,43.437,4.2,9656.1,72.6
64,down_m2,up_m8,combine,9.910,1.0,0.0,595.2
64,down_m2,up_m8,block,247.630,24.0,,
64,down_m4,up_m1,norm,9.014,0.9,0.0,436.2
64,down_m4,up_m1,down,262.577,25.5,1677.2,15.2
64,down_m4,up_m1,up,38.233,3.7,10970.4,82.5
64,down_m4,up_m1,combine,9.745,0.9,0.0,605.3
