tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
64,down_m1,up_m1,norm,11.067,1.1,0.0,355.3
64,down_m1,up_m1,down,202.839,19.7,2171.2,26.9
64,down_m1,up_m1,up,38.074,3.7,11016.2,125.9
64,down_m1,up_m1,combine,14.248,1.4,0.0,414.0
64,down_m1,up_m1,block,266.228,25.8,,
64,down_m1,up_m2,norm,7.840,0.8,0.0,501.6
64,down_m1,up_m2,down,202.621,19.7,2173.5,26.9
64,down_m1,up_m2,up,34.307,3.3,12225.8,139.7
64,down_m1,up_m2,combine,14.318,1.4,0.0,411.9
64,down_m1,up_m2,block,259.086,25.1,,
64,down_m1,up_m4,norm,8.647,0.8,0.0,454.7
64,down_m1,up_m4,down,202.419,19.6,2175.7,27.0
64,down_m1,up_m4,up,30.681,3.0,13670.7,156.2
64,down_m1,up_m4,combine,13.326,1.3,0.0,442.6
64,down_m1,up_m4,block,255.073,24.7,,
64,down_m1,up_m8,norm,8.857,0.9,0.0,444.0
64,down_m1,up_m8,down,202.781,19.7,2171.8,26.9
64,down_m1,up_m8,up,50.214,4.9,8352.9,95.4
64,down_m1,up_m8,combine,12.273,1.2,0.0,480.6
64,down_m1,up_m8,block,274.125,26.6,,
64,down_m2,up_m1,norm,8.861,0.9,0.0,443.8
64,down_m2,up_m1,down,233.332,22.6,1887.4,23.4
64,down_m2,up_m1,up,38.158,3.7,10991.9,125.6
64,down_m2,up_m1,combine,9.689,0.9,0.0,608.8
64,down_m2,up_m1,block,290.040,28.1,,
64,down_m2,up_m2,norm,7.839,0.8,0.0,501.6
64,down_m2,up_m2,down,237.399,23.0,1855.1,23.0
64,down_m2,up_m2,up,34.264,3.3,12241.1,139.9
64,down_m2,up_m2,combine,10.172,1.0,0.0,579.9
64,down_m2,up_m2,block,289.674,28.1,,
64,down_m2,up_m4,norm,8.580,0.8,0.0,458.3
64,down_m2,up_m4,down,236.581,22.9,1861.5,23.1
64,down_m2,up_m4,up,30.528,3.0,13739.2,157.0
64,down_m2,up_m4,combine,10.068,1.0,0.0,585.8
64,down_m2,up_m4,block,285.757,27.7,,
64,down_m2,up_m8,norm,8.657,0.8,0.0,454.2
64,down_m2,up_m8,down,233.530,22.7,1885.8,23.4
64,down_m2,up_m8,up,53.509,5.2,7838.5,89.6
64,down_m2,up_m8,combine,9.968,1.0,0.0,591.7
64,down_m2,up_m8,block,305.664,29.6,,
64,down_m4,up_m1,norm,8.670,0.8,0.0,453.5
64,down_m4,up_m1,down,315.011,30.6,1398.1,17.3
64,down_m4,up_m1,up,37.984,3.7,11042.3,126.2
64,down_m4,up_m1,combine,9.166,0.9,0.0,643.5
64,down_m4,up_m1,block,370.831,36.0,,
64,down_m4,up_m2,norm,7.839,0.8,0.0,501.6
64,down_m4,up_m2,down,315.825,30.6,1394.4,17.3
64,down_m4,up_m2,up,34.374,3.3,12202.0,139.4
64,down_m4,up_m2,combine,9.838,1.0,0.0,599.5
64,down_m4,up_m2,block,367.876,35.7,,
64,down_m4,up_m4,norm,8.732,0.8,0.0,450.3
64,down_m4,up_m4,down,315.415,30.6,1396.3,17.3
64,down_m4,up_m4,up,30.366,2.9,13812.5,157.8
64,down_m4,up_m4,combine,9.805,1.0,0.0,601.6
64,down_m4,up_m4,block,364.318,35.3,,
64,down_m4,up_m8,norm,8.642,0.8,0.0,455.0
64,down_m4,up_m8,down,313.522,30.4,1404.7,17.4
64,down_m4,up_m8,up,50.011,4.9,8386.8,95.8
64,down_m4,up_m8,combine,9.834,1.0,0.0,599.8
64,down_m4,up_m8,block,382.009,37.1,,
64,down_m8,up_m1,norm,8.927,0.9,0.0,440.5
64,down_m8,up_m1,down,428.249,41.5,1028.4,12.7
64,down_m8,up_m1,up,37.847,3.7,11082.3,126.6
64,down_m8,up_m1,combine,9.033,0.9,0.0,653.0
64,down_m8,up_m1,block,484.056,47.0,,
64,down_m8,up_m2,norm,7.829,0.8,0.0,502.3
64,down_m8,up_m2,down,438.441,42.5,1004.5,12.4
64,down_m8,up_m2,up,34.280,3.3,12235.4,139.8
64,down_m8,up_m2,combine,9.849,1.0,0.0,598.9
64,down_m8,up_m2,block,490.399,47.6,,
64,down_m8,up_m4,norm,8.668,0.8,0.0,453.6
64,down_m8,up_m4,down,430.409,41.7,1023.2,12.7
64,down_m8,up_m4,up,30.644,3.0,13687.2,156.4
64,down_m8,up_m4,combine,9.787,0.9,0.0,602.7
64,down_m8,up_m4,block,479.508,46.5,,
64,down_m8,up_m8,norm,8.712,0.8,0.0,451.3
64,down_m8,up_m8,down,435.807,42.3,1010.5,12.5
64,down_m8,up_m8,up,50.173,4.9,8359.7,95.5
64,down_m8,up_m8,combine,9.822,1.0,0.0,600.5
64,down_m8,up_m8,block,504.514,48.9,,
128,down_m1,up_m1,norm,16.719,1.6,0.0,470.4
128,down_m1,up_m1,down,209.586,20.3,4202.6,32.3
128,down_m1,up_m1,up,64.116,6.2,13083.5,95.2
128,down_m1,up_m1,combine,17.181,1.7,0.0,686.6
128,down_m1,up_m1,block,307.602,29.8,,
128,down_m1,up_m2,norm,14.607,1.4,0.0,538.4
128,down_m1,up_m2,down,204.915,19.9,4298.4,33.0
128,down_m1,up_m2,up,52.594,5.1,15949.7,116.0
128,down_m1,up_m2,combine,17.211,1.7,0.0,685.4
128,down_m1,up_m2,block,289.327,28.1,,
128,down_m1,up_m4,norm,14.587,1.4,0.0,539.1
128,down_m1,up_m4,down,205.310,19.9,4290.1,33.0
128,down_m1,up_m4,up,55.873,5.4,15013.7,109.2
128,down_m1,up_m4,combine,20.090,1.9,0.0,587.2
128,down_m1,up_m4,block,295.860,28.7,,
128,down_m1,up_m8,norm,14.594,1.4,0.0,538.9
128,down_m1,up_m8,down,205.323,19.9,4289.8,33.0
128,down_m1,up_m8,up,50.086,4.9,16748.4,121.9
128,down_m1,up_m8,combine,20.026,1.9,0.0,589.1
128,down_m1,up_m8,block,290.029,28.1,,
128,down_m2,up_m1,norm,14.583,1.4,0.0,539.3
128,down_m2,up_m1,down,239.042,23.2,3684.7,28.3
128,down_m2,up_m1,up,63.893,6.2,13129.2,95.5
128,down_m2,up_m1,combine,17.174,1.7,0.0,686.9
128,down_m2,up_m1,block,334.692,32.5,,
128,down_m2,up_m2,norm,14.583,1.4,0.0,539.3
128,down_m2,up_m2,down,234.635,22.8,3753.9,28.8
128,down_m2,up_m2,up,52.699,5.1,15918.0,115.8
128,down_m2,up_m2,combine,17.234,1.7,0.0,684.5
128,down_m2,up_m2,block,319.151,31.0,,
128,down_m2,up_m4,norm,14.574,1.4,0.0,539.6
128,down_m2,up_m4,down,231.534,22.5,3804.2,29.2
