bank,rung,rows,us,gb_s,bank_bytes
fp16,gemm_m2,1,6457.0,196.9,1271398400
fp16,gemm_m4,1,6518.2,195.1,1271398400
fp16,gemm_m8,1,6897.6,184.3,1271398400
fp16,gemm_m2,8,6453.0,197.0,1271398400
fp16,gemm_m4,8,6526.7,194.8,1271398400
fp16,gemm_m8,8,6897.5,184.3,1271398400
fp16,gemm_m2,64,12572.4,101.1,1271398400
fp16,gemm_m4,64,6540.1,194.4,1271398400
fp16,gemm_m8,64,6917.3,183.8,1271398400
fp16,gemm_m2,512,98887.5,12.9,1271398400
fp16,gemm_m4,512,50728.6,25.1,1271398400
fp16,gemm_m8,512,26864.6,47.3,1271398400
q8,gemm_m2,1,3621.1,186.5,675430400
q8,gemm_m4,1,3720.2,181.6,675430400
q8,gemm_m8,1,4734.6,142.7,675430400
q8,gemv_k1,1,3214.4,210.1,675430400
q8,gemm_m2,8,3543.1,190.6,675430400
q8,gemm_m4,8,3719.2,181.6,675430400
q8,gemm_m8,8,4734.8,142.7,675430400
q8,gemm_m2,64,6905.1,97.8,675430400
q8,gemm_m4,64,3724.1,181.4,675430400
q8,gemm_m8,64,4746.0,142.3,675430400
q8,gemm_m2,512,53658.3,12.6,675430400
q8,gemm_m4,512,28451.1,23.7,675430400
q8,gemm_m8,512,18839.0,35.9,675430400
q4_k,gemm_m2,1,2049.9,174.4,357580800
q4_k,gemm_m4,1,2542.1,140.7,357580800
q4_k,gemm_m8,1,4354.0,82.1,357580800
q4_k,gemv_k1,1,1699.8,210.4,357580800
q4_k,gemm_m2,8,2002.7,178.6,357580800
q4_k,gemm_m4,8,2527.5,141.5,357580800
q4_k,gemm_m8,8,4129.1,86.6,357580800
q4_k,gemm_m2,64,3857.2,92.7,357580800
q4_k,gemm_m4,64,2587.3,138.2,357580800
q4_k,gemm_m8,64,4177.5,85.6,357580800
q4_k,gemm_m2,512,28969.5,12.3,357580800
q4_k,gemm_m4,512,19697.4,18.2,357580800
q4_k,gemm_m8,512,17461.0,20.5,357580800
sim,gemm_m2,1,6441.1,197.4,1271398400
sim,gemm_m4,1,6628.5,191.8,1271398400
sim,gemm_m8,1,6904.3,184.1,1271398400
sim,gemm_m2,8,6423.5,197.9,1271398400
sim,gemm_m4,8,6518.5,195.0,1271398400
sim,gemm_m8,8,6893.0,184.4,1271398400
sim,gemm_m2,64,12582.5,101.0,1271398400
sim,gemm_m4,64,6543.4,194.3,1271398400
sim,gemm_m8,64,6899.6,184.3,1271398400
sim,gemm_m2,512,98813.4,12.9,1271398400
sim,gemm_m4,512,50695.9,25.1,1271398400
sim,gemm_m8,512,26846.4,47.4,1271398400
