chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.329517,1.3903,0.0526,3.81
2,2046,0.298249,1.3475,0.0323,3.79
3,3069,0.357772,1.4301,0.0311,3.77
4,4092,0.664351,1.9432,0.0510,3.76
5,5115,0.755893,2.1295,0.0534,3.43
6,6138,0.711596,2.0372,0.0449,3.36
7,7161,0.655808,1.9267,0.0374,3.14
8,8184,0.702571,2.0189,0.0372,3.35
9,9207,0.776916,2.1748,0.0394,3.46
10,10230,0.859331,2.3616,0.0425,3.52
11,11253,0.916108,2.4995,0.0435,3.55
12,12276,1.003682,2.7283,0.0475,3.46
13,13299,0.980816,2.6666,0.0442,3.41
14,14322,1.025571,2.7887,0.0452,3.35
15,15345,1.056643,2.8767,0.0454,3.26
16,16368,1.113032,3.0436,0.0476,3.31
17,17391,1.155955,3.1771,0.0489,3.27
18,18414,1.184013,3.2675,0.0492,3.21
19,19437,1.195943,3.3067,0.0488,3.46
20,20460,1.160066,3.1901,0.0454,3.38
21,21483,1.130253,3.0964,0.0425,3.43
22,22506,1.106688,3.0243,0.0402,3.50
23,23529,1.085468,2.9608,0.0381,3.36
24,24552,1.070448,2.9167,0.0365,3.43
25,25575,1.062689,2.8941,0.0353,3.41
26,26598,1.051916,2.8631,0.0341,3.42
27,27621,1.100318,3.0051,0.0360,3.63
28,28644,1.133645,3.1070,0.0372,3.65
29,29667,1.148735,3.1542,0.0373,3.63
30,30690,1.157115,3.1807,0.0371,3.53
31,31713,1.164011,3.2028,0.0368,3.42
32,32736,1.160671,3.1921,0.0360,3.36
33,33759,1.167641,3.2144,0.0358,3.30
34,34782,1.178890,3.2508,0.0357,3.39
35,35805,1.190386,3.2883,0.0357,3.53
36,36828,1.203523,3.3318,0.0359,3.35
37,37851,1.200890,3.3231,0.0352,3.38
38,38874,1.202161,3.3273,0.0347,3.32
39,39897,1.202208,3.3275,0.0342,3.26
40,40920,1.199808,3.3195,0.0336,3.12
41,41943,1.203247,3.3309,0.0333,3.22
42,42966,1.215189,3.3709,0.0335,3.42
43,43989,1.245120,3.4734,0.0346,3.58
44,45012,1.272316,3.5691,0.0355,3.50
45,46035,1.260466,3.5271,0.0346,3.52
46,47058,1.251288,3.4948,0.0338,3.50
47,48081,1.260489,3.5271,0.0338,3.45
48,49104,1.271606,3.5666,0.0340,3.36
49,50127,1.286287,3.6193,0.0342,3.37
50,51150,1.288166,3.6261,0.0339,3.32
51,52173,1.303081,3.6806,0.0343,3.48
52,53196,1.301843,3.6761,0.0339,3.20
53,54219,1.305840,3.6908,0.0337,3.33
54,55242,1.309698,3.7051,0.0335,3.17
55,56265,1.307431,3.6967,0.0330,3.10
56,57288,1.308961,3.7023,0.0327,3.11
57,58311,1.305708,3.6903,0.0323,2.99
58,59334,1.306321,3.6926,0.0320,3.01
59,60357,1.301941,3.6764,0.0316,3.22
60,61380,1.307061,3.6953,0.0315,3.34
61,62403,1.312971,3.7172,0.0315,3.45
62,63426,1.321076,3.7474,0.0316,3.34
63,64449,1.331487,3.7867,0.0318,3.32
64,65472,1.342920,3.8302,0.0321,3.37
65,66495,1.339149,3.8158,0.0317,3.27
66,67518,1.347286,3.8470,0.0318,3.32
67,68541,1.349388,3.8551,0.0316,3.26
68,69564,1.348478,3.8516,0.0313,3.19
69,70587,1.351168,3.8619,0.0311,3.24
70,71610,1.353786,3.8721,0.0310,3.24
71,72633,1.350121,3.8579,0.0307,3.23
72,73656,1.352632,3.8676,0.0306,3.38
73,74679,1.360010,3.8962,0.0307,3.40
74,75702,1.367721,3.9264,0.0308,3.35
75,76725,1.370543,3.9375,0.0307,3.23
76,77748,1.374009,3.9512,0.0306,3.25
77,78771,1.377418,3.9647,0.0305,3.21
78,79794,1.377858,3.9664,0.0303,3.20
79,80817,1.384045,3.9910,0.0303,3.29
80,81840,1.376967,3.9629,0.0299,3.42
81,82863,1.369750,3.9344,0.0294,3.33
82,83886,1.361267,3.9011,0.0289,3.08
83,84909,1.354841,3.8761,0.0285,3.02
84,85932,1.346808,3.8451,0.0280,3.02
85,86955,1.343128,3.8310,0.0277,3.19
86,87978,1.347295,3.8470,0.0277,3.30
87,89001,1.345848,3.8414,0.0274,3.12
88,90024,1.346816,3.8452,0.0273,3.18
89,91047,1.351943,3.8649,0.0273,3.33
90,92070,1.353488,3.8709,0.0272,3.35
91,93093,1.361935,3.9037,0.0274,3.46
92,94116,1.369120,3.9319,0.0275,3.40
93,95139,1.374442,3.9529,0.0275,3.38
94,96162,1.377658,3.9656,0.0275,3.32
95,97185,1.384520,3.9929,0.0276,3.28
96,98208,1.393260,4.0280,0.0278,3.32
97,99231,1.401881,4.0628,0.0280,3.22
98,100254,1.401134,4.0598,0.0278,3.29
99,101277,1.404493,4.0735,0.0278,3.32
100,102300,1.406797,4.0829,0.0277,3.33
101,103323,1.398356,4.0485,0.0273,3.30
102,104346,1.391706,4.0217,0.0269,3.27
103,105369,1.384317,3.9921,0.0265,3.31
104,106392,1.381115,3.9793,0.0263,3.26
105,107415,1.374027,3.9512,0.0259,3.20
106,108438,1.371633,3.9418,0.0258,3.27
107,109461,1.374158,3.9517,0.0257,3.27
108,110484,1.373727,3.9500,0.0256,3.24
109,111507,1.375520,3.9571,0.0255,3.27
110,112530,1.375696,3.9578,0.0254,3.24
111,113553,1.376048,3.9592,0.0253,3.15
112,114576,1.374593,3.9535,0.0251,3.18
113,115599,1.373917,3.9508,0.0250,3.21
114,116622,1.380713,3.9777,0.0252,3.31
115,117645,1.383874,3.9903,0.0252,3.26
116,118668,1.388066,4.0071,0.0252,3.23
117,119691,1.392062,4.0231,0.0252,3.20
118,120714,1.393381,4.0284,0.0252,3.14
119,121737,1.390907,4.0185,0.0250,3.15
120,122760,1.393432,4.0287,0.0250,3.24
121,123783,1.396129,4.0395,0.0249,3.17
122,124806,1.397864,4.0465,0.0249,3.08
123,125829,1.399179,4.0519,0.0248,3.08
124,126852,1.400481,4.0572,0.0248,3.17
125,127875,1.404904,4.0751,0.0249,3.17
126,128898,1.406702,4.0825,0.0248,3.18
127,129921,1.410311,4.0972,0.0249,3.21
128,130944,1.410640,4.0986,0.0248,3.04
129,131967,1.412166,4.1048,0.0247,3.04
130,132990,1.411129,4.1006,0.0246,3.06
131,134013,1.413879,4.1119,0.0246,3.19
132,135036,1.409858,4.0954,0.0244,3.16
133,136059,1.410233,4.0969,0.0243,3.14
134,137082,1.409110,4.0923,0.0242,3.14
135,138105,1.407951,4.0876,0.0241,3.24
136,139128,1.406097,4.0800,0.0239,3.13
137,140151,1.403103,4.0678,0.0237,2.96
138,141174,1.400049,4.0554,0.0235,3.03
139,142197,1.403332,4.0687,0.0236,3.12
140,143220,1.407667,4.0864,0.0236,3.17
141,144243,1.404053,4.0717,0.0234,3.14
142,145266,1.397391,4.0446,0.0231,3.12
143,146289,1.392245,4.0239,0.0229,3.18
144,147312,1.393899,4.0305,0.0229,3.22
145,148335,1.393492,4.0289,0.0228,3.17
