chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.403562,1.4971,0.0628,4.00
2,2046,0.364436,1.4397,0.0380,3.96
3,3069,0.414499,1.5136,0.0349,3.94
4,4092,0.691402,1.9965,0.0516,3.91
5,5115,0.788903,2.2010,0.0548,3.64
6,6138,0.745069,2.1066,0.0462,3.58
7,7161,0.688138,1.9900,0.0385,3.28
8,8184,0.741032,2.0981,0.0388,3.52
9,9207,0.817363,2.2645,0.0412,3.64
10,10230,0.900827,2.4616,0.0445,3.70
11,11253,0.958159,2.6069,0.0457,3.73
12,12276,1.043993,2.8405,0.0496,3.63
13,13299,1.023394,2.7826,0.0463,3.58
14,14322,1.070114,2.9157,0.0475,3.52
15,15345,1.102163,3.0107,0.0479,3.43
16,16368,1.162136,3.1968,0.0506,3.47
17,17391,1.202387,3.3281,0.0517,3.43
18,18414,1.230894,3.4243,0.0521,3.38
19,19437,1.242221,3.4633,0.0516,3.60
20,20460,1.205223,3.3375,0.0480,3.54
21,21483,1.176723,3.2437,0.0450,3.58
22,22506,1.155813,3.1766,0.0427,3.63
23,23529,1.134330,3.1091,0.0405,3.49
24,24552,1.121441,3.0693,0.0389,3.55
25,25575,1.113663,3.0455,0.0376,3.50
26,26598,1.102487,3.0116,0.0363,3.54
27,27621,1.149561,3.1568,0.0382,3.74
28,28644,1.182754,3.2634,0.0394,3.75
29,29667,1.198343,3.3146,0.0397,3.72
30,30690,1.205925,3.3398,0.0393,3.61
31,31713,1.211856,3.3597,0.0390,3.49
32,32736,1.207667,3.3457,0.0382,3.44
33,33759,1.213906,3.3666,0.0378,3.37
34,34782,1.225865,3.4071,0.0378,3.82
35,35805,1.237198,3.4459,0.0378,4.52
36,36828,1.250438,3.4919,0.0380,3.99
37,37851,1.247233,3.4807,0.0373,3.81
38,38874,1.247538,3.4818,0.0367,3.62
39,39897,1.246915,3.4796,0.0362,3.52
40,40920,1.243903,3.4691,0.0355,3.35
41,41943,1.247327,3.4810,0.0352,3.44
42,42966,1.259020,3.5220,0.0354,3.68
43,43989,1.288962,3.6290,0.0365,3.91
44,45012,1.316277,3.7295,0.0376,3.82
45,46035,1.303756,3.6831,0.0365,3.85
46,47058,1.294061,3.6476,0.0357,3.80
47,48081,1.302684,3.6792,0.0357,3.74
48,49104,1.313740,3.7201,0.0358,3.64
49,50127,1.327620,3.7721,0.0360,3.65
50,51150,1.329857,3.7805,0.0357,3.55
51,52173,1.344728,3.8371,0.0361,3.75
52,53196,1.343269,3.8315,0.0357,3.42
53,54219,1.347171,3.8465,0.0355,3.58
54,55242,1.350710,3.8602,0.0353,3.43
55,56265,1.348591,3.8520,0.0348,3.32
56,57288,1.349737,3.8564,0.0344,3.33
57,58311,1.345903,3.8417,0.0339,3.18
58,59334,1.346345,3.8434,0.0336,3.19
59,60357,1.342070,3.8270,0.0332,3.41
60,61380,1.346611,3.8444,0.0331,3.53
61,62403,1.352749,3.8680,0.0331,3.69
62,63426,1.361073,3.9004,0.0332,3.59
63,64449,1.371690,3.9420,0.0334,3.56
64,65472,1.383566,3.9891,0.0337,3.60
65,66495,1.379494,3.9729,0.0333,3.46
66,67518,1.387319,4.0041,0.0334,3.53
67,68541,1.389257,4.0119,0.0332,3.44
68,69564,1.388388,4.0084,0.0329,3.37
69,70587,1.390444,4.0166,0.0327,3.43
70,71610,1.393064,4.0272,0.0326,3.43
71,72633,1.388953,4.0106,0.0322,3.41
72,73656,1.391460,4.0207,0.0321,3.58
73,74679,1.399165,4.0518,0.0322,3.62
74,75702,1.406943,4.0835,0.0323,3.55
75,76725,1.409071,4.0922,0.0321,3.44
76,77748,1.412777,4.1073,0.0321,3.49
77,78771,1.416035,4.1208,0.0320,3.42
78,79794,1.415982,4.1205,0.0317,3.42
79,80817,1.422605,4.1479,0.0318,3.50
80,81840,1.415453,4.1183,0.0313,3.63
81,82863,1.408489,4.0898,0.0308,3.54
82,83886,1.400220,4.0561,0.0303,3.25
83,84909,1.393996,4.0309,0.0299,3.19
84,85932,1.386423,4.0005,0.0294,3.18
85,86955,1.382723,3.9857,0.0291,3.37
86,87978,1.386597,4.0012,0.0291,3.48
87,89001,1.385216,3.9957,0.0288,3.27
