chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.341603,1.4072,0.0535,3.99
2,2046,0.328229,1.3885,0.0346,3.96
3,3069,0.383759,1.4678,0.0332,3.95
4,4092,0.670858,1.9559,0.0509,3.89
5,5115,0.766594,2.1524,0.0539,3.63
6,6138,0.722958,2.0605,0.0453,3.58
7,7161,0.667279,1.9489,0.0378,3.32
8,8184,0.720821,2.0561,0.0380,3.53
9,9207,0.798786,2.2228,0.0404,3.65
10,10230,0.882113,2.4160,0.0436,3.72
11,11253,0.940075,2.5602,0.0448,3.72
12,12276,1.027657,2.7945,0.0488,3.65
13,13299,1.006890,2.7371,0.0455,3.59
14,14322,1.055024,2.8720,0.0468,3.61
15,15345,1.086087,2.9627,0.0471,3.46
16,16368,1.142176,3.1336,0.0493,3.51
17,17391,1.183828,3.2669,0.0505,3.45
18,18414,1.213074,3.3638,0.0510,3.39
19,19437,1.224811,3.4035,0.0505,3.63
20,20460,1.188405,3.2818,0.0471,3.56
21,21483,1.159179,3.1873,0.0441,3.61
22,22506,1.136807,3.1168,0.0418,3.68
23,23529,1.116091,3.0529,0.0397,3.52
24,24552,1.101732,3.0094,0.0380,3.60
25,25575,1.093886,2.9859,0.0368,3.57
26,26598,1.082794,2.9529,0.0355,3.58
27,27621,1.130839,3.0983,0.0375,3.78
28,28644,1.164061,3.2029,0.0386,3.80
29,29667,1.179050,3.2513,0.0388,3.76
30,30690,1.187033,3.2773,0.0385,3.64
31,31713,1.193421,3.2983,0.0382,3.55
32,32736,1.190009,3.2871,0.0374,3.48
33,33759,1.196537,3.3086,0.0371,3.42
34,34782,1.208031,3.3469,0.0370,3.56
35,35805,1.219232,3.3846,0.0370,3.66
36,36828,1.232581,3.4301,0.0372,3.48
37,37851,1.229653,3.4200,0.0365,3.52
38,38874,1.230001,3.4212,0.0360,3.46
39,39897,1.229988,3.4212,0.0355,3.39
40,40920,1.227466,3.4126,0.0348,3.27
41,41943,1.230798,3.4240,0.0345,3.35
42,42966,1.242184,3.4632,0.0347,3.55
43,43989,1.272417,3.5695,0.0358,3.72
44,45012,1.299774,3.6685,0.0368,3.65
45,46035,1.288077,3.6258,0.0359,3.65
46,47058,1.279381,3.5944,0.0351,3.63
47,48081,1.287942,3.6253,0.0351,3.58
48,49104,1.298759,3.6647,0.0352,3.49
49,50127,1.312879,3.7169,0.0354,3.50
50,51150,1.314751,3.7238,0.0351,3.46
51,52173,1.329661,3.7798,0.0355,3.62
52,53196,1.328519,3.7754,0.0351,3.36
53,54219,1.332677,3.7912,0.0349,3.48
54,55242,1.336515,3.8058,0.0347,3.31
55,56265,1.334091,3.7965,0.0342,3.24
56,57288,1.335585,3.8022,0.0339,3.25
57,58311,1.331977,3.7885,0.0334,3.13
58,59334,1.332343,3.7899,0.0331,3.14
59,60357,1.328094,3.7738,0.0326,3.37
60,61380,1.332958,3.7922,0.0326,3.48
61,62403,1.339082,3.8155,0.0326,3.58
62,63426,1.347519,3.8479,0.0327,3.47
63,64449,1.357930,3.8881,0.0329,3.45
64,65472,1.369446,3.9332,0.0332,3.52
65,66495,1.365510,3.9177,0.0327,3.40
66,67518,1.373401,3.9488,0.0329,3.45
67,68541,1.375306,3.9563,0.0326,3.40
68,69564,1.374486,3.9530,0.0323,3.32
69,70587,1.377083,3.9633,0.0322,3.36
70,71610,1.379462,3.9728,0.0321,3.37
71,72633,1.375653,3.9577,0.0317,3.36
72,73656,1.378207,3.9678,0.0316,3.51
73,74679,1.386019,3.9989,0.0317,3.52
74,75702,1.393538,4.0291,0.0318,3.48
75,76725,1.395817,4.0383,0.0317,3.35
76,77748,1.399199,4.0520,0.0316,3.37
77,78771,1.402793,4.0665,0.0315,3.34
78,79794,1.402798,4.0666,0.0313,3.33
79,80817,1.409246,4.0929,0.0313,3.44
80,81840,1.402111,4.0638,0.0308,3.55
81,82863,1.395164,4.0356,0.0304,3.49
82,83886,1.386911,4.0025,0.0299,3.21
83,84909,1.380644,3.9775,0.0294,3.15
84,85932,1.372933,3.9469,0.0289,3.14
85,86955,1.369370,3.9329,0.0286,3.32
86,87978,1.373079,3.9475,0.0286,3.43
87,89001,1.371604,3.9417,0.0283,3.26
88,90024,1.372634,3.9457,0.0282,3.32
89,91047,1.377724,3.9659,0.0282,3.47
90,92070,1.379325,3.9722,0.0281,3.53
91,93093,1.387806,4.0061,0.0283,3.59
92,94116,1.394863,4.0344,0.0284,3.53
93,95139,1.400290,4.0564,0.0285,3.54
94,96162,1.403738,4.0704,0.0284,3.46
95,97185,1.410604,4.0984,0.0285,3.42
96,98208,1.419316,4.1343,0.0287,3.46
97,99231,1.427494,4.1682,0.0289,3.37
98,100254,1.426801,4.1654,0.0287,3.42
99,101277,1.430264,4.1798,0.0287,3.46
100,102300,1.432409,4.1888,0.0286,3.43
101,103323,1.423843,4.1530,0.0282,3.42
102,104346,1.417132,4.1253,0.0278,3.42
103,105369,1.409875,4.0954,0.0274,3.42
104,106392,1.406700,4.0825,0.0272,3.39
105,107415,1.399492,4.0531,0.0268,3.33
106,108438,1.397100,4.0435,0.0266,3.41
107,109461,1.399841,4.0546,0.0266,3.40
108,110484,1.399184,4.0519,0.0264,3.37
109,111507,1.401126,4.0598,0.0263,3.40
110,112530,1.401481,4.0612,0.0262,3.37
111,113553,1.401842,4.0627,0.0261,3.28
112,114576,1.400495,4.0572,0.0260,3.41
113,115599,1.399651,4.0538,0.0258,3.38
114,116622,1.406377,4.0811,0.0260,3.44
115,117645,1.409481,4.0938,0.0260,3.39
116,118668,1.413740,4.1113,0.0260,3.35
117,119691,1.417518,4.1269,0.0260,3.34
118,120714,1.418680,4.1317,0.0260,3.25
119,121737,1.416263,4.1217,0.0258,3.28
120,122760,1.418837,4.1323,0.0258,3.37
121,123783,1.421261,4.1423,0.0257,3.30
122,124806,1.422952,4.1493,0.0257,3.21
123,125829,1.424280,4.1549,0.0256,3.22
124,126852,1.425336,4.1593,0.0256,3.31
125,127875,1.429944,4.1785,0.0257,3.33
126,128898,1.431638,4.1856,0.0256,3.32
127,129921,1.435291,4.2009,0.0256,3.35
128,130944,1.435732,4.2027,0.0256,3.23
129,131967,1.436987,4.2080,0.0255,3.18
130,132990,1.436182,4.2046,0.0254,3.21
131,134013,1.438956,4.2163,0.0254,3.34
132,135036,1.435336,4.2011,0.0252,3.30
133,136059,1.435993,4.2038,0.0251,3.29
134,137082,1.434793,4.1988,0.0250,3.32
135,138105,1.433511,4.1934,0.0248,3.38
136,139128,1.431601,4.1854,0.0247,3.27
137,140151,1.428655,4.1731,0.0245,3.11
138,141174,1.426039,4.1622,0.0243,3.17
139,142197,1.429280,4.1757,0.0243,3.26
140,143220,1.433728,4.1943,0.0244,3.32
141,144243,1.430157,4.1794,0.0242,3.28
142,145266,1.423627,4.1522,0.0239,3.26
143,146289,1.418719,4.1318,0.0237,3.31
144,147312,1.420497,4.1392,0.0236,3.35
145,148335,1.420140,4.1377,0.0236,3.31
