chunk,tokens,nll,ppl,stderr,seconds
1,1279,0.248053,1.2815,0.0341,4.65
2,2558,0.313275,1.3679,0.0294,4.61
3,3837,0.574223,1.7758,0.0428,4.55
4,5116,0.756213,2.1302,0.0519,4.26
5,6395,0.681841,1.9775,0.0407,4.07
6,7674,0.700606,2.0150,0.0381,3.95
7,8953,0.768237,2.1560,0.0387,4.05
8,10232,0.866607,2.3788,0.0423,4.35
9,11511,0.919967,2.5092,0.0428,4.29
10,12790,0.918417,2.5053,0.0405,4.20
11,14069,0.986091,2.6807,0.0426,4.09
12,15348,1.027079,2.7929,0.0431,4.00
13,16627,1.106033,3.0223,0.0465,4.06
14,17906,1.138457,3.1219,0.0466,3.84
15,19185,1.162357,3.1975,0.0465,4.12
16,20464,1.128971,3.0925,0.0433,4.09
17,21743,1.092595,2.9820,0.0399,4.13
18,23022,1.069823,2.9149,0.0375,4.07
19,24301,1.049941,2.8575,0.0354,4.11
20,25580,1.036095,2.8182,0.0337,4.06
21,26859,1.038944,2.8262,0.0332,4.13
22,28138,1.097063,2.9954,0.0355,4.34
23,29417,1.148227,3.1526,0.0375,4.26
24,30696,1.160589,3.1918,0.0373,4.25
25,31975,1.167754,3.2148,0.0368,4.00
26,33254,1.162543,3.1981,0.0358,3.90
27,34533,1.179783,3.2537,0.0358,4.07
28,35812,1.196768,3.3094,0.0360,4.12
29,37091,1.207331,3.3445,0.0359,3.94
30,38370,1.203103,3.3304,0.0350,3.93
31,39649,1.208052,3.3470,0.0346,3.93
32,40928,1.205049,3.3369,0.0338,3.68
33,42207,1.212940,3.3634,0.0336,3.81
34,43486,1.230903,3.4243,0.0340,4.12
35,44765,1.262603,3.5346,0.0350,4.19
36,46044,1.253537,3.5027,0.0341,4.19
37,47323,1.241819,3.4619,0.0332,4.10
38,48602,1.263493,3.5378,0.0337,4.08
39,49881,1.286559,3.6203,0.0343,3.96
40,51160,1.290071,3.6330,0.0339,3.92
41,52439,1.302912,3.6800,0.0341,4.07
42,53718,1.307200,3.6958,0.0339,3.84
43,54997,1.310146,3.7067,0.0336,3.81
44,56276,1.307435,3.6967,0.0330,3.66
45,57555,1.308386,3.7002,0.0326,3.65
46,58834,1.303868,3.6835,0.0320,3.48
47,60113,1.300106,3.6697,0.0315,3.62
48,61392,1.304909,3.6874,0.0314,4.00
49,62671,1.314149,3.7216,0.0315,4.05
50,63950,1.323395,3.7562,0.0315,3.97
51,65229,1.338654,3.8139,0.0319,3.96
52,66508,1.332686,3.7912,0.0313,3.88
53,67787,1.342921,3.8302,0.0314,3.93
54,69066,1.342758,3.8296,0.0311,3.76
55,70345,1.348094,3.8501,0.0310,3.80
56,71624,1.352868,3.8685,0.0310,3.81
57,72903,1.348173,3.8504,0.0305,3.84
58,74182,1.360571,3.8984,0.0308,4.02
59,75461,1.370804,3.9385,0.0309,3.95
60,76740,1.373637,3.9497,0.0307,3.82
61,78019,1.377246,3.9640,0.0306,3.80
62,79298,1.383562,3.9891,0.0306,3.80
63,80577,1.383977,3.9907,0.0303,3.78
64,81856,1.379472,3.9728,0.0299,4.05
65,83135,1.369266,3.9325,0.0293,3.93
66,84414,1.359117,3.8928,0.0287,3.53
67,85693,1.349350,3.8549,0.0281,3.54
68,86972,1.344026,3.8344,0.0277,3.72
69,88251,1.345100,3.8386,0.0275,3.81
70,89530,1.347225,3.8467,0.0273,3.75
71,90809,1.358729,3.8912,0.0275,3.89
72,92088,1.359919,3.8959,0.0274,3.91
73,93367,1.371584,3.9416,0.0276,4.10
74,94646,1.383254,3.9879,0.0279,4.03
75,95925,1.389540,4.0130,0.0279,3.95
76,97204,1.398799,4.0503,0.0281,3.91
77,98483,1.405966,4.0795,0.0282,3.89
78,99762,1.416376,4.1222,0.0284,3.85
79,101041,1.419028,4.1331,0.0283,3.89
80,102320,1.421432,4.1430,0.0282,3.89
81,103599,1.415595,4.1189,0.0279,3.91
82,104878,1.407233,4.0846,0.0274,3.89
83,106157,1.399208,4.0520,0.0270,3.88
84,107436,1.389814,4.0141,0.0265,3.79
85,108715,1.390458,4.0167,0.0264,3.87
86,109994,1.389843,4.0142,0.0262,3.84
87,111273,1.390814,4.0181,0.0261,3.79
88,112552,1.392686,4.0256,0.0260,3.84
89,113831,1.392203,4.0237,0.0258,3.73
90,115110,1.392257,4.0239,0.0257,3.76
91,116389,1.398119,4.0476,0.0257,3.82
92,117668,1.401833,4.0626,0.0257,3.84
93,118947,1.408711,4.0907,0.0258,3.80
94,120226,1.410681,4.0987,0.0258,3.74
95,121505,1.412083,4.1045,0.0257,3.67
96,122784,1.416136,4.1212,0.0257,3.78
97,124063,1.418026,4.1290,0.0256,3.69
98,125342,1.418754,4.1320,0.0255,3.64
99,126621,1.423504,4.1516,0.0256,3.66
100,127900,1.426677,4.1648,0.0256,3.77
101,129179,1.429620,4.1771,0.0256,3.76
102,130458,1.430952,4.1827,0.0255,3.69
103,131737,1.429279,4.1757,0.0253,3.48
104,133016,1.427856,4.1697,0.0251,3.63
105,134295,1.426584,4.1645,0.0250,3.74
106,135574,1.423077,4.1499,0.0247,3.71
107,136853,1.420399,4.1388,0.0245,3.69
108,138132,1.419558,4.1353,0.0244,3.78
109,139411,1.415667,4.1192,0.0241,3.60
110,140690,1.410381,4.0975,0.0239,3.43
111,141969,1.413621,4.1108,0.0239,3.70
112,143248,1.418854,4.1324,0.0240,3.73
113,144527,1.411744,4.1031,0.0236,3.70
