chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.357713,1.4301,0.0550,3.82
2,2046,0.332301,1.3942,0.0356,3.79
3,3069,0.379447,1.4615,0.0329,3.77
4,4092,0.663154,1.9409,0.0501,3.76
5,5115,0.760915,2.1402,0.0533,3.48
6,6138,0.718725,2.0518,0.0450,3.41
7,7161,0.662947,1.9405,0.0375,3.16
8,8184,0.713210,2.0405,0.0376,3.38
9,9207,0.789379,2.2020,0.0399,3.47
10,10230,0.872127,2.3920,0.0430,3.55
11,11253,0.930304,2.5353,0.0443,3.54
12,12276,1.016748,2.7642,0.0482,3.50
13,13299,0.995325,2.7056,0.0449,3.45
14,14322,1.041446,2.8333,0.0460,3.41
15,15345,1.073477,2.9255,0.0463,3.30
16,16368,1.132097,3.1022,0.0488,3.37
17,17391,1.173682,3.2339,0.0500,3.32
18,18414,1.202568,3.3287,0.0505,3.26
19,19437,1.214701,3.3693,0.0500,3.53
20,20460,1.177587,3.2465,0.0465,3.44
21,21483,1.148297,3.1528,0.0436,3.49
22,22506,1.124778,3.0795,0.0412,3.57
23,23529,1.103790,3.0156,0.0391,3.40
24,24552,1.089666,2.9733,0.0375,3.47
25,25575,1.081831,2.9501,0.0363,3.42
26,26598,1.070676,2.9174,0.0350,3.46
27,27621,1.118564,3.0605,0.0369,3.65
28,28644,1.151855,3.1641,0.0381,3.66
29,29667,1.167183,3.2129,0.0383,3.64
30,30690,1.175451,3.2396,0.0380,3.55
31,31713,1.181951,3.2607,0.0377,3.40
32,32736,1.178106,3.2482,0.0369,3.33
33,33759,1.184921,3.2704,0.0366,3.29
34,34782,1.196305,3.3079,0.0366,3.42
35,35805,1.207866,3.3463,0.0366,3.50
36,36828,1.220898,3.3902,0.0368,3.33
37,37851,1.218191,3.3811,0.0361,3.38
38,38874,1.219309,3.3848,0.0356,3.32
39,39897,1.219147,3.3843,0.0351,3.25
40,40920,1.216108,3.3740,0.0344,3.12
41,41943,1.219620,3.3859,0.0341,3.21
42,42966,1.231337,3.4258,0.0343,3.41
43,43989,1.261290,3.5300,0.0354,3.58
44,45012,1.288309,3.6266,0.0364,3.50
45,46035,1.275879,3.5818,0.0354,3.52
46,47058,1.266523,3.5485,0.0346,3.50
47,48081,1.275698,3.5812,0.0346,3.45
48,49104,1.286866,3.6214,0.0348,3.36
49,50127,1.301166,3.6736,0.0350,3.36
50,51150,1.303596,3.6825,0.0347,3.31
51,52173,1.318577,3.7381,0.0351,3.49
52,53196,1.317092,3.7326,0.0347,3.20
53,54219,1.321112,3.7476,0.0345,3.34
54,55242,1.324827,3.7615,0.0343,3.18
55,56265,1.322683,3.7535,0.0338,3.11
56,57288,1.323939,3.7582,0.0335,3.11
57,58311,1.320333,3.7447,0.0330,2.98
58,59334,1.320988,3.7471,0.0327,3.00
59,60357,1.316659,3.7309,0.0323,3.23
60,61380,1.321764,3.7500,0.0322,3.35
61,62403,1.327719,3.7724,0.0322,3.45
62,63426,1.335933,3.8035,0.0323,3.34
63,64449,1.346842,3.8453,0.0325,3.31
64,65472,1.358548,3.8905,0.0328,3.36
65,66495,1.354696,3.8756,0.0324,3.25
66,67518,1.362613,3.9064,0.0325,3.33
67,68541,1.364741,3.9147,0.0323,3.25
