chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.390825,1.4782,0.0599,3.74
2,2046,0.351317,1.4209,0.0363,3.70
3,3069,0.400120,1.4920,0.0334,3.67
4,4092,0.678384,1.9707,0.0505,3.61
5,5115,0.777735,2.1765,0.0540,3.35
6,6138,0.736817,2.0893,0.0457,3.31
7,7161,0.681095,1.9760,0.0382,3.06
8,8184,0.733205,2.0817,0.0384,3.27
9,9207,0.809801,2.2475,0.0408,3.39
10,10230,0.893585,2.4439,0.0442,3.44
11,11253,0.950879,2.5880,0.0454,3.43
12,12276,1.036885,2.8204,0.0492,3.37
13,13299,1.015236,2.7600,0.0458,3.32
14,14322,1.060146,2.8868,0.0469,3.27
15,15345,1.092135,2.9806,0.0473,3.17
16,16368,1.151422,3.1627,0.0498,3.22
17,17391,1.192061,3.2939,0.0509,3.17
18,18414,1.220528,3.3890,0.0514,3.11
19,19437,1.232436,3.4296,0.0509,3.34
20,20460,1.195773,3.3061,0.0474,3.27
21,21483,1.166852,3.2119,0.0444,3.31
22,22506,1.144843,3.1419,0.0421,3.35
23,23529,1.123193,3.0747,0.0399,3.23
24,24552,1.109805,3.0338,0.0382,3.29
25,25575,1.101918,3.0099,0.0370,3.26
26,26598,1.090957,2.9771,0.0357,3.29
27,27621,1.138029,3.1206,0.0376,3.51
28,28644,1.172004,3.2285,0.0389,3.53
29,29667,1.187537,3.2790,0.0391,3.50
30,30690,1.195277,3.3045,0.0388,3.39
31,31713,1.201049,3.3236,0.0384,3.28
32,32736,1.197110,3.3105,0.0376,3.22
33,33759,1.203936,3.3332,0.0373,3.17
34,34782,1.215735,3.3728,0.0373,3.32
35,35805,1.227232,3.4118,0.0373,3.42
36,36828,1.240513,3.4574,0.0375,3.26
37,37851,1.237432,3.4468,0.0368,3.28
38,38874,1.238214,3.4494,0.0363,3.24
39,39897,1.237909,3.4484,0.0357,3.17
40,40920,1.235081,3.4387,0.0351,3.05
41,41943,1.238328,3.4498,0.0347,3.14
42,42966,1.249823,3.4897,0.0349,3.34
43,43989,1.279846,3.5961,0.0361,3.51
44,45012,1.307311,3.6962,0.0371,3.43
45,46035,1.294725,3.6500,0.0361,3.45
46,47058,1.285789,3.6175,0.0353,3.42
47,48081,1.294581,3.6495,0.0353,3.37
48,49104,1.305775,3.6905,0.0354,3.28
49,50127,1.319931,3.7432,0.0356,3.29
50,51150,1.322120,3.7514,0.0354,3.24
51,52173,1.337395,3.8091,0.0358,3.41
52,53196,1.336155,3.8044,0.0353,3.14
53,54219,1.340160,3.8197,0.0351,3.25
54,55242,1.343835,3.8337,0.0350,3.11
55,56265,1.341780,3.8258,0.0345,3.05
56,57288,1.343118,3.8310,0.0342,3.04
57,58311,1.339405,3.8168,0.0337,2.91
58,59334,1.339850,3.8185,0.0333,2.93
59,60357,1.335299,3.8011,0.0329,3.15
60,61380,1.340062,3.8193,0.0328,3.28
61,62403,1.346022,3.8421,0.0328,3.37
62,63426,1.354308,3.8741,0.0329,3.26
63,64449,1.365057,3.9159,0.0331,3.26
64,65472,1.376792,3.9622,0.0334,3.30
