chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.348851,1.4174,0.0558,3.67
2,2046,0.304334,1.3557,0.0325,3.75
3,3069,0.364317,1.4395,0.0316,3.74
4,4092,0.646744,1.9093,0.0485,3.71
5,5115,0.742337,2.1008,0.0517,3.44
6,6138,0.701162,2.0161,0.0436,3.36
7,7161,0.646050,1.9080,0.0364,3.11
8,8184,0.698238,2.0102,0.0366,3.32
9,9207,0.774934,2.1704,0.0389,3.44
10,10230,0.857083,2.3563,0.0420,3.51
11,11253,0.916310,2.5000,0.0433,3.50
12,12276,1.003005,2.7265,0.0470,3.45
13,13299,0.984118,2.6755,0.0440,3.39
14,14322,1.029533,2.7998,0.0451,3.35
15,15345,1.061605,2.8910,0.0455,3.25
16,16368,1.118624,3.0606,0.0478,3.28
17,17391,1.161382,3.1943,0.0491,3.26
18,18414,1.189571,3.2857,0.0495,3.18
19,19437,1.201561,3.3253,0.0490,3.43
20,20460,1.165632,3.2079,0.0457,3.34
21,21483,1.136630,3.1163,0.0428,3.37
22,22506,1.113343,3.0445,0.0405,3.46
23,23529,1.092636,2.9821,0.0385,3.34
24,24552,1.077179,2.9364,0.0368,3.36
25,25575,1.069243,2.9132,0.0356,3.34
26,26598,1.058305,2.8815,0.0343,3.37
27,27621,1.106363,3.0233,0.0363,3.58
28,28644,1.140030,3.1269,0.0374,3.60
29,29667,1.155645,3.1761,0.0377,3.59
30,30690,1.163473,3.2010,0.0374,3.47
31,31713,1.170243,3.2228,0.0371,3.35
32,32736,1.166930,3.2121,0.0363,3.30
33,33759,1.173880,3.2345,0.0360,3.24
34,34782,1.185458,3.2722,0.0360,3.38
35,35805,1.196935,3.3100,0.0360,3.49
36,36828,1.210120,3.3539,0.0362,3.30
37,37851,1.207317,3.3445,0.0355,3.33
38,38874,1.208413,3.3482,0.0350,3.28
39,39897,1.208533,3.3486,0.0345,3.21
40,40920,1.206089,3.3404,0.0339,3.08
41,41943,1.209429,3.3516,0.0335,3.18
42,42966,1.221046,3.3907,0.0337,3.38
43,43989,1.250890,3.4935,0.0348,3.56
44,45012,1.278091,3.5898,0.0358,3.48
45,46035,1.266278,3.5476,0.0349,3.49
46,47058,1.257418,3.5163,0.0341,3.47
47,48081,1.266593,3.5487,0.0341,3.42
48,49104,1.277840,3.5889,0.0342,3.32
49,50127,1.292368,3.6414,0.0345,3.35
50,51150,1.294119,3.6478,0.0342,3.29
51,52173,1.309099,3.7028,0.0345,3.46
52,53196,1.308053,3.6990,0.0341,3.18
53,54219,1.312108,3.7140,0.0339,3.30
54,55242,1.316154,3.7291,0.0338,3.16
55,56265,1.313944,3.7208,0.0333,3.06
56,57288,1.315479,3.7265,0.0330,3.07
57,58311,1.312097,3.7140,0.0325,2.95
58,59334,1.312513,3.7155,0.0322,2.97
59,60357,1.308321,3.7000,0.0318,3.19
60,61380,1.313435,3.7189,0.0318,3.30
61,62403,1.319568,3.7418,0.0318,3.41
62,63426,1.327744,3.7725,0.0319,3.30
63,64449,1.338196,3.8122,0.0320,3.29
64,65472,1.349752,3.8565,0.0323,3.35
65,66495,1.345950,3.8418,0.0319,3.23
66,67518,1.354224,3.8738,0.0321,3.28
67,68541,1.356319,3.8819,0.0319,3.22
68,69564,1.355507,3.8787,0.0316,3.15
69,70587,1.357935,3.8882,0.0314,3.19
70,71610,1.360576,3.8984,0.0313,3.20
71,72633,1.356851,3.8839,0.0309,3.18
72,73656,1.359380,3.8938,0.0308,3.34
73,74679,1.366982,3.9235,0.0309,3.38
74,75702,1.374689,3.9538,0.0310,3.31
75,76725,1.377416,3.9646,0.0309,3.18
76,77748,1.380861,3.9783,0.0309,3.20
77,78771,1.384339,3.9922,0.0308,3.16
78,79794,1.384571,3.9931,0.0305,3.15
79,80817,1.390952,4.0187,0.0306,3.25
80,81840,1.383927,3.9905,0.0301,3.37
81,82863,1.376826,3.9623,0.0297,3.30
82,83886,1.368385,3.9290,0.0292,3.04
83,84909,1.361871,3.9035,0.0287,2.98
84,85932,1.353913,3.8725,0.0283,2.96
85,86955,1.350331,3.8587,0.0280,3.14
86,87978,1.354365,3.8743,0.0279,3.25
87,89001,1.353042,3.8692,0.0277,3.06
88,90024,1.353959,3.8727,0.0275,3.13
89,91047,1.359083,3.8926,0.0276,3.28
90,92070,1.360647,3.8987,0.0275,3.30
91,93093,1.369249,3.9324,0.0276,3.42
92,94116,1.376322,3.9603,0.0278,3.34
93,95139,1.381882,3.9824,0.0278,3.34
94,96162,1.385145,3.9954,0.0278,3.27
95,97185,1.392178,4.0236,0.0279,3.23
96,98208,1.400952,4.0591,0.0281,3.27
97,99231,1.409315,4.0932,0.0283,3.17
98,100254,1.408443,4.0896,0.0281,3.23
99,101277,1.411809,4.1034,0.0280,3.26
100,102300,1.414136,4.1129,0.0280,3.25
101,103323,1.405759,4.0786,0.0276,3.24
102,104346,1.399153,4.0518,0.0272,3.22
103,105369,1.391704,4.0217,0.0268,3.24
104,106392,1.388578,4.0091,0.0266,3.19
105,107415,1.381512,3.9809,0.0262,3.14
106,108438,1.379392,3.9725,0.0260,3.22
107,109461,1.382058,3.9831,0.0260,3.22
108,110484,1.381509,3.9809,0.0259,3.18
109,111507,1.383541,3.9890,0.0258,3.20
110,112530,1.383982,3.9908,0.0257,3.18
111,113553,1.384303,3.9920,0.0256,3.09
112,114576,1.382912,3.9865,0.0254,3.12
113,115599,1.382220,3.9837,0.0253,3.14
114,116622,1.388964,4.0107,0.0254,3.24
115,117645,1.392196,4.0237,0.0254,3.20
116,118668,1.396372,4.0405,0.0255,3.15
117,119691,1.400240,4.0562,0.0255,3.14
118,120714,1.401568,4.0616,0.0254,3.06
119,121737,1.399166,4.0518,0.0252,3.09
120,122760,1.401811,4.0626,0.0252,3.18
121,123783,1.404459,4.0733,0.0252,3.11
122,124806,1.406209,4.0805,0.0252,3.02
123,125829,1.407552,4.0859,0.0251,3.02
124,126852,1.408756,4.0909,0.0251,3.12
125,127875,1.413318,4.1096,0.0251,3.13
126,128898,1.415015,4.1166,0.0251,3.13
127,129921,1.418614,4.1314,0.0251,3.16
128,130944,1.418989,4.1329,0.0250,3.00
129,131967,1.420331,4.1385,0.0250,2.99
130,132990,1.419387,4.1346,0.0248,3.01
131,134013,1.422141,4.1460,0.0249,3.14
132,135036,1.418421,4.1306,0.0246,3.11
133,136059,1.418900,4.1326,0.0246,3.10
134,137082,1.417680,4.1275,0.0244,3.09
135,138105,1.416470,4.1225,0.0243,3.17
136,139128,1.414541,4.1146,0.0242,3.06
137,140151,1.411673,4.1028,0.0240,2.90
138,141174,1.408874,4.0913,0.0238,2.99
139,142197,1.412044,4.1043,0.0238,3.07
140,143220,1.416497,4.1227,0.0239,3.12
141,144243,1.413054,4.1085,0.0237,3.09
142,145266,1.406421,4.0813,0.0234,3.07
143,146289,1.401414,4.0609,0.0232,3.13
144,147312,1.403128,4.0679,0.0231,3.17
145,148335,1.402786,4.0665,0.0231,3.13
