chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.347173,1.4151,0.0553,3.73
2,2046,0.303026,1.3539,0.0323,3.75
3,3069,0.364252,1.4394,0.0317,3.68
4,4092,0.649138,1.9139,0.0489,3.66
5,5115,0.747001,2.1107,0.0522,3.40
6,6138,0.705728,2.0253,0.0441,3.33
7,7161,0.650224,1.9160,0.0368,3.08
8,8184,0.702565,2.0189,0.0370,3.29
9,9207,0.779618,2.1806,0.0393,3.38
10,10230,0.863277,2.3709,0.0425,3.45
11,11253,0.922735,2.5162,0.0438,3.46
12,12276,1.009512,2.7443,0.0476,3.35
13,13299,0.990414,2.6923,0.0445,3.39
14,14322,1.036081,2.8182,0.0456,3.31
15,15345,1.068207,2.9102,0.0460,3.20
16,16368,1.125692,3.0823,0.0484,3.25
17,17391,1.168392,3.2168,0.0497,3.20
18,18414,1.196577,3.3088,0.0501,3.11
19,19437,1.208548,3.3486,0.0496,3.38
20,20460,1.172366,3.2296,0.0462,3.30
21,21483,1.143211,3.1368,0.0433,3.34
22,22506,1.119920,3.0646,0.0410,3.44
23,23529,1.099283,3.0020,0.0389,3.25
24,24552,1.083815,2.9559,0.0372,3.33
25,25575,1.076097,2.9332,0.0360,3.28
26,26598,1.064949,2.9007,0.0347,3.31
27,27621,1.113742,3.0457,0.0367,3.53
28,28644,1.147862,3.1514,0.0379,3.59
29,29667,1.163415,3.2008,0.0381,3.51
30,30690,1.171429,3.2266,0.0378,3.39
31,31713,1.178193,3.2485,0.0376,3.29
32,32736,1.174874,3.2377,0.0368,3.24
33,33759,1.181946,3.2607,0.0365,3.18
34,34782,1.193405,3.2983,0.0364,3.33
35,35805,1.204956,3.3366,0.0365,3.41
36,36828,1.218164,3.3810,0.0366,3.25
37,37851,1.215367,3.3715,0.0359,3.28
38,38874,1.216344,3.3748,0.0354,3.22
39,39897,1.216476,3.3753,0.0349,3.16
40,40920,1.214024,3.3670,0.0343,3.04
41,41943,1.217515,3.3788,0.0339,3.12
42,42966,1.229045,3.4180,0.0341,3.34
43,43989,1.259216,3.5227,0.0353,3.50
44,45012,1.286559,3.6203,0.0363,3.42
45,46035,1.274703,3.5776,0.0353,3.45
46,47058,1.265826,3.5460,0.0345,3.40
47,48081,1.274794,3.5780,0.0345,3.36
48,49104,1.286170,3.6189,0.0346,3.27
49,50127,1.300645,3.6717,0.0349,3.28
50,51150,1.302443,3.6783,0.0346,3.24
51,52173,1.317656,3.7347,0.0350,3.41
52,53196,1.316791,3.7314,0.0346,3.11
53,54219,1.320946,3.7470,0.0344,3.25
54,55242,1.324916,3.7619,0.0342,3.11
55,56265,1.322826,3.7540,0.0337,3.03
56,57288,1.324360,3.7598,0.0334,3.02
57,58311,1.320999,3.7472,0.0330,2.89
58,59334,1.321579,3.7493,0.0327,2.92
59,60357,1.317250,3.7331,0.0322,3.14
60,61380,1.322236,3.7518,0.0322,3.25
61,62403,1.328286,3.7746,0.0322,3.36
62,63426,1.336538,3.8058,0.0323,3.25
63,64449,1.347085,3.8462,0.0325,3.23
64,65472,1.358716,3.8912,0.0328,3.29
65,66495,1.354948,3.8766,0.0324,3.17
66,67518,1.363086,3.9082,0.0325,3.23
67,68541,1.365156,3.9163,0.0323,3.17
68,69564,1.364416,3.9134,0.0320,3.10
69,70587,1.366804,3.9228,0.0318,3.14
70,71610,1.369424,3.9331,0.0317,3.15
71,72633,1.365667,3.9183,0.0313,3.12
72,73656,1.368174,3.9282,0.0312,3.28
73,74679,1.375981,3.9590,0.0314,3.30
74,75702,1.383752,3.9898,0.0315,3.26
75,76725,1.386439,4.0006,0.0313,3.12
76,77748,1.389951,4.0147,0.0313,3.14
77,78771,1.393487,4.0289,0.0312,3.10
78,79794,1.393651,4.0295,0.0310,3.11
79,80817,1.400148,4.0558,0.0310,3.20
80,81840,1.393050,4.0271,0.0305,3.32
81,82863,1.385894,3.9984,0.0301,3.25
82,83886,1.377426,3.9647,0.0295,2.98
83,84909,1.370883,3.9388,0.0291,2.93
84,85932,1.362923,3.9076,0.0286,2.92
85,86955,1.359307,3.8935,0.0283,3.10
86,87978,1.363286,3.9090,0.0283,3.18
87,89001,1.361936,3.9037,0.0281,3.02
88,90024,1.362815,3.9072,0.0279,3.08
89,91047,1.367905,3.9271,0.0279,3.23
90,92070,1.369479,3.9333,0.0278,3.26
91,93093,1.378131,3.9675,0.0280,3.37
92,94116,1.385195,3.9956,0.0281,3.29
93,95139,1.390699,4.0177,0.0282,3.30
94,96162,1.393929,4.0307,0.0281,3.23
95,97185,1.401026,4.0594,0.0282,3.19
96,98208,1.409806,4.0952,0.0284,3.21
97,99231,1.418105,4.1293,0.0286,3.12
98,100254,1.417249,4.1258,0.0284,3.18
99,101277,1.420673,4.1399,0.0284,3.22
100,102300,1.422929,4.1493,0.0283,3.19
101,103323,1.414491,4.1144,0.0279,3.20
102,104346,1.407897,4.0873,0.0275,3.18
103,105369,1.400370,4.0567,0.0271,3.20
104,106392,1.397213,4.0439,0.0269,3.16
105,107415,1.390044,4.0150,0.0265,3.10
106,108438,1.387811,4.0061,0.0263,3.17
107,109461,1.390453,4.0167,0.0263,3.16
108,110484,1.389858,4.0143,0.0262,3.15
109,111507,1.391881,4.0224,0.0261,3.17
110,112530,1.392329,4.0242,0.0260,3.13
111,113553,1.392644,4.0255,0.0259,3.05
112,114576,1.391272,4.0200,0.0257,3.09
113,115599,1.390637,4.0174,0.0256,3.10
114,116622,1.397422,4.0448,0.0257,3.21
115,117645,1.400662,4.0579,0.0257,3.16
116,118668,1.404920,4.0752,0.0258,3.13
117,119691,1.408850,4.0912,0.0258,3.12
118,120714,1.410220,4.0969,0.0257,3.02
119,121737,1.407795,4.0869,0.0256,3.06
120,122760,1.410463,4.0979,0.0256,3.15
121,123783,1.413047,4.1085,0.0255,3.08
122,124806,1.414836,4.1158,0.0255,2.98
123,125829,1.416196,4.1214,0.0254,2.99
124,126852,1.417370,4.1263,0.0254,3.08
125,127875,1.422000,4.1454,0.0255,3.10
126,128898,1.423665,4.1523,0.0254,3.09
127,129921,1.427302,4.1674,0.0254,3.12
128,130944,1.427659,4.1689,0.0254,2.96
129,131967,1.428909,4.1741,0.0253,2.94
130,132990,1.427967,4.1702,0.0252,2.98
131,134013,1.430767,4.1819,0.0252,3.09
132,135036,1.427042,4.1664,0.0250,3.06
133,136059,1.427521,4.1684,0.0249,3.06
134,137082,1.426304,4.1633,0.0247,3.04
135,138105,1.425080,4.1582,0.0246,3.14
136,139128,1.423157,4.1502,0.0245,3.03
137,140151,1.420296,4.1383,0.0243,2.86
138,141174,1.417427,4.1265,0.0241,2.93
139,142197,1.420615,4.1397,0.0241,3.02
140,143220,1.425110,4.1583,0.0242,3.07
141,144243,1.421622,4.1438,0.0240,3.04
142,145266,1.414947,4.1163,0.0237,3.03
143,146289,1.409896,4.0955,0.0235,3.08
144,147312,1.411646,4.1027,0.0234,3.11
145,148335,1.411277,4.1012,0.0233,3.08
