chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.342268,1.4081,0.0548,3.82
2,2046,0.296557,1.3452,0.0317,3.80
3,3069,0.367761,1.4445,0.0313,3.73
4,4092,0.675898,1.9658,0.0516,3.71
5,5115,0.760224,2.1388,0.0533,3.48
6,6138,0.716804,2.0479,0.0448,3.41
7,7161,0.663195,1.9410,0.0375,3.17
8,8184,0.710262,2.0345,0.0374,3.38
9,9207,0.784601,2.1915,0.0393,3.53
10,10230,0.866860,2.3794,0.0424,3.57
11,11253,0.922525,2.5156,0.0434,3.59
12,12276,1.010169,2.7461,0.0474,3.52
13,13299,0.986969,2.6831,0.0440,3.47
14,14322,1.032166,2.8071,0.0451,3.41
15,15345,1.063511,2.8965,0.0454,3.32
16,16368,1.118986,3.0617,0.0476,3.37
17,17391,1.162092,3.1966,0.0489,3.33
18,18414,1.190676,3.2893,0.0492,3.27
19,19437,1.202795,3.3294,0.0488,3.54
20,20460,1.166827,3.2118,0.0455,3.46
21,21483,1.137991,3.1205,0.0426,3.50
22,22506,1.114530,3.0481,0.0403,3.60
23,23529,1.092831,2.9827,0.0381,3.42
24,24552,1.078042,2.9389,0.0365,3.49
25,25575,1.069573,2.9141,0.0353,3.44
26,26598,1.058323,2.8815,0.0341,3.56
27,27621,1.106131,3.0226,0.0360,3.67
28,28644,1.139512,3.1252,0.0371,3.73
29,29667,1.154634,3.1729,0.0373,3.67
30,30690,1.162542,3.1981,0.0370,3.60
31,31713,1.169438,3.2202,0.0368,3.43
32,32736,1.165710,3.2082,0.0360,3.35
33,33759,1.172770,3.2309,0.0357,3.30
34,34782,1.184400,3.2687,0.0357,3.44
35,35805,1.195976,3.3068,0.0357,3.54
36,36828,1.209135,3.3506,0.0359,3.36
37,37851,1.206578,3.3420,0.0352,3.39
38,38874,1.207668,3.3457,0.0347,3.43
39,39897,1.207351,3.3446,0.0342,3.29
40,40920,1.205116,3.3371,0.0336,3.13
41,41943,1.208320,3.3479,0.0333,3.22
42,42966,1.219668,3.3861,0.0335,3.42
43,43989,1.249518,3.4887,0.0346,3.59
44,45012,1.276674,3.5847,0.0356,3.52
45,46035,1.264733,3.5421,0.0346,3.54
46,47058,1.255698,3.5103,0.0338,3.51
47,48081,1.264981,3.5430,0.0338,3.46
48,49104,1.275915,3.5820,0.0340,3.36
49,50127,1.290508,3.6346,0.0342,3.38
50,51150,1.292369,3.6414,0.0339,3.33
51,52173,1.307293,3.6962,0.0343,3.50
52,53196,1.306159,3.6920,0.0339,3.22
53,54219,1.310022,3.7063,0.0337,3.35
54,55242,1.313835,3.7204,0.0335,3.20
55,56265,1.311773,3.7127,0.0330,3.15
56,57288,1.313259,3.7183,0.0328,3.13
57,58311,1.309777,3.7053,0.0323,3.07
58,59334,1.310274,3.7072,0.0320,3.01
59,60357,1.306242,3.6923,0.0316,3.24
60,61380,1.311154,3.7105,0.0315,3.36
61,62403,1.317866,3.7354,0.0316,3.47
62,63426,1.326012,3.7660,0.0316,3.36
63,64449,1.336637,3.8062,0.0318,3.32
64,65472,1.347982,3.8496,0.0321,3.39
65,66495,1.343919,3.8340,0.0317,3.27
66,67518,1.351986,3.8651,0.0318,3.32
67,68541,1.354068,3.8731,0.0316,3.27
68,69564,1.353088,3.8694,0.0313,3.21
69,70587,1.355895,3.8802,0.0312,3.25
70,71610,1.358144,3.8890,0.0310,3.25
71,72633,1.354280,3.8740,0.0307,3.23
72,73656,1.356623,3.8831,0.0306,3.39
73,74679,1.364033,3.9119,0.0307,3.41
74,75702,1.371593,3.9416,0.0307,3.37
75,76725,1.374078,3.9514,0.0306,3.23
76,77748,1.377516,3.9650,0.0305,3.25
77,78771,1.380852,3.9783,0.0305,3.20
78,79794,1.381292,3.9800,0.0302,3.21
79,80817,1.387586,4.0052,0.0303,3.30
80,81840,1.380531,3.9770,0.0298,3.43
81,82863,1.373520,3.9492,0.0294,3.36
82,83886,1.365136,3.9163,0.0289,3.10
83,84909,1.358649,3.8909,0.0284,3.04
84,85932,1.350434,3.8591,0.0280,3.03
85,86955,1.346678,3.8446,0.0277,3.20
86,87978,1.350495,3.8593,0.0276,3.30
87,89001,1.349026,3.8537,0.0274,3.13
88,90024,1.349958,3.8573,0.0272,3.19
89,91047,1.355204,3.8776,0.0273,3.33
90,92070,1.356896,3.8841,0.0272,3.35
91,93093,1.365262,3.9167,0.0273,3.47
92,94116,1.372568,3.9455,0.0275,3.40
93,95139,1.377828,3.9663,0.0275,3.40
94,96162,1.381056,3.9791,0.0275,3.33
95,97185,1.387810,4.0061,0.0276,3.29
96,98208,1.396633,4.0416,0.0278,3.32
97,99231,1.405051,4.0757,0.0279,3.22
98,100254,1.404073,4.0718,0.0278,3.28
99,101277,1.407402,4.0853,0.0277,3.32
100,102300,1.409711,4.0948,0.0277,3.31
101,103323,1.401358,4.0607,0.0272,3.31
102,104346,1.394627,4.0335,0.0269,3.29
103,105369,1.387085,4.0032,0.0265,3.31
104,106392,1.384052,3.9910,0.0263,3.26
105,107415,1.377014,3.9630,0.0259,3.21
106,108438,1.374865,3.9545,0.0257,3.27
107,109461,1.377298,3.9642,0.0257,3.28
108,110484,1.376890,3.9626,0.0256,3.26
109,111507,1.378601,3.9693,0.0255,3.26
110,112530,1.378861,3.9704,0.0254,3.26
111,113553,1.379378,3.9724,0.0253,3.17
112,114576,1.377969,3.9668,0.0251,3.18
113,115599,1.377258,3.9640,0.0250,3.20
114,116622,1.384127,3.9913,0.0251,3.31
115,117645,1.387329,4.0041,0.0251,3.26
116,118668,1.391519,4.0210,0.0252,3.23
117,119691,1.395421,4.0367,0.0252,3.17
118,120714,1.396782,4.0422,0.0251,3.02
119,121737,1.394358,4.0324,0.0250,3.05
120,122760,1.396826,4.0423,0.0249,3.14
121,123783,1.399448,4.0530,0.0249,3.07
122,124806,1.401165,4.0599,0.0249,2.99
123,125829,1.402403,4.0650,0.0248,2.99
124,126852,1.403714,4.0703,0.0248,3.08
125,127875,1.408083,4.0881,0.0248,3.09
126,128898,1.409824,4.0952,0.0248,3.09
127,129921,1.413366,4.1098,0.0248,3.13
128,130944,1.413786,4.1115,0.0247,2.96
129,131967,1.415267,4.1176,0.0247,2.94
130,132990,1.414364,4.1139,0.0246,2.98
131,134013,1.417146,4.1253,0.0246,3.10
132,135036,1.413126,4.1088,0.0244,3.06
133,136059,1.413251,4.1093,0.0243,3.06
134,137082,1.412151,4.1048,0.0241,3.05
135,138105,1.410868,4.0995,0.0240,3.13
136,139128,1.408920,4.0915,0.0239,3.03
137,140151,1.406097,4.0800,0.0237,2.86
138,141174,1.403061,4.0676,0.0235,2.93
139,142197,1.406201,4.0804,0.0235,3.02
140,143220,1.410467,4.0979,0.0236,3.08
141,144243,1.406902,4.0833,0.0234,3.06
142,145266,1.400362,4.0567,0.0231,3.03
143,146289,1.395361,4.0364,0.0229,3.08
144,147312,1.397074,4.0434,0.0228,3.12
145,148335,1.396635,4.0416,0.0227,3.08
