chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.373690,1.4531,0.0585,3.78
2,2046,0.317907,1.3742,0.0336,3.73
3,3069,0.380409,1.4629,0.0324,3.70
4,4092,0.666896,1.9482,0.0500,3.67
5,5115,0.759545,2.1373,0.0527,3.40
6,6138,0.717123,2.0485,0.0445,3.32
7,7161,0.664488,1.9435,0.0373,3.07
8,8184,0.713611,2.0413,0.0373,3.29
9,9207,0.791732,2.2072,0.0397,3.39
10,10230,0.874945,2.3987,0.0429,3.45
11,11253,0.931900,2.5393,0.0440,3.44
12,12276,1.019422,2.7716,0.0479,3.41
13,13299,0.998362,2.7138,0.0447,3.39
14,14322,1.043906,2.8403,0.0458,3.30
15,15345,1.075204,2.9306,0.0461,3.19
16,16368,1.132591,3.1037,0.0485,3.22
17,17391,1.174951,3.2380,0.0497,3.18
18,18414,1.203259,3.3310,0.0501,3.12
19,19437,1.215645,3.3725,0.0497,3.37
20,20460,1.179067,3.2513,0.0463,3.28
21,21483,1.150163,3.1587,0.0433,3.33
22,22506,1.126896,3.0861,0.0410,3.41
23,23529,1.106079,3.0225,0.0389,3.23
24,24552,1.091379,2.9784,0.0372,3.32
25,25575,1.083126,2.9539,0.0360,3.28
26,26598,1.071683,2.9203,0.0347,3.29
27,27621,1.119596,3.0636,0.0366,3.51
28,28644,1.153916,3.1706,0.0379,3.52
29,29667,1.169396,3.2200,0.0381,3.48
30,30690,1.177376,3.2458,0.0378,3.37
31,31713,1.183743,3.2666,0.0375,3.27
32,32736,1.180308,3.2554,0.0367,3.20
33,33759,1.187459,3.2787,0.0365,3.15
34,34782,1.199047,3.3170,0.0364,3.30
35,35805,1.210746,3.3560,0.0364,3.39
36,36828,1.224107,3.4011,0.0366,3.21
37,37851,1.221321,3.3917,0.0359,3.25
38,38874,1.222235,3.3948,0.0354,3.18
39,39897,1.222135,3.3944,0.0349,3.12
40,40920,1.219861,3.3867,0.0343,2.97
41,41943,1.223085,3.3977,0.0340,3.07
42,42966,1.234454,3.4365,0.0341,3.27
43,43989,1.264573,3.5416,0.0353,3.45
44,45012,1.291785,3.6393,0.0363,3.36
45,46035,1.279609,3.5952,0.0353,3.38
46,47058,1.270674,3.5633,0.0345,3.36
47,48081,1.279485,3.5948,0.0345,3.32
48,49104,1.290592,3.6349,0.0346,3.22
49,50127,1.305000,3.6877,0.0349,3.27
50,51150,1.306914,3.6948,0.0346,3.21
51,52173,1.321875,3.7504,0.0350,3.38
52,53196,1.321072,3.7474,0.0346,3.12
53,54219,1.324957,3.7620,0.0344,3.24
54,55242,1.328865,3.7768,0.0342,3.10
55,56265,1.326862,3.7692,0.0337,3.16
56,57288,1.328375,3.7749,0.0334,3.07
57,58311,1.324897,3.7618,0.0329,2.91
58,59334,1.325442,3.7638,0.0326,2.92
59,60357,1.321329,3.7484,0.0322,3.16
60,61380,1.326012,3.7660,0.0322,3.26
61,62403,1.332196,3.7894,0.0322,3.38
62,63426,1.340502,3.8210,0.0323,3.27
63,64449,1.351014,3.8613,0.0324,3.25
64,65472,1.362544,3.9061,0.0328,3.31
65,66495,1.358554,3.8906,0.0323,3.20
66,67518,1.366584,3.9219,0.0324,3.26
67,68541,1.368659,3.9301,0.0322,3.17
68,69564,1.367786,3.9266,0.0319,3.12
69,70587,1.370095,3.9357,0.0318,3.18
70,71610,1.372476,3.9451,0.0317,3.18
71,72633,1.368620,3.9299,0.0313,3.16
72,73656,1.370971,3.9392,0.0312,3.31
73,74679,1.378674,3.9696,0.0313,3.33
74,75702,1.386367,4.0003,0.0314,3.28
75,76725,1.388779,4.0100,0.0313,3.16
76,77748,1.392452,4.0247,0.0312,3.18
77,78771,1.395915,4.0387,0.0311,3.13
78,79794,1.396037,4.0392,0.0309,3.13
79,80817,1.402715,4.0662,0.0309,3.24
80,81840,1.395678,4.0377,0.0305,3.35
81,82863,1.388639,4.0094,0.0300,3.27
82,83886,1.380196,3.9757,0.0295,3.00
83,84909,1.373681,3.9499,0.0290,2.95
84,85932,1.365608,3.9181,0.0286,2.94
85,86955,1.361826,3.9033,0.0282,3.11
86,87978,1.365805,3.9189,0.0282,3.24
87,89001,1.364468,3.9136,0.0280,3.06
88,90024,1.365301,3.9169,0.0278,3.13
89,91047,1.370340,3.9367,0.0279,3.27
90,92070,1.371917,3.9429,0.0277,3.29
91,93093,1.380589,3.9772,0.0279,3.39
92,94116,1.387778,4.0059,0.0281,3.34
93,95139,1.393255,4.0279,0.0281,3.33
94,96162,1.396477,4.0409,0.0281,3.27
95,97185,1.403375,4.0689,0.0282,3.23
96,98208,1.412151,4.1048,0.0284,3.25
97,99231,1.420447,4.1390,0.0285,3.15
98,100254,1.419692,4.1358,0.0284,3.22
99,101277,1.423101,4.1500,0.0283,3.25
100,102300,1.425321,4.1592,0.0283,3.23
101,103323,1.417010,4.1248,0.0278,3.24
102,104346,1.410346,4.0974,0.0275,3.20
103,105369,1.402773,4.0665,0.0271,3.23
104,106392,1.399769,4.0543,0.0268,3.18
105,107415,1.392704,4.0257,0.0265,3.13
106,108438,1.390574,4.0172,0.0263,3.21
107,109461,1.393176,4.0276,0.0263,3.20
108,110484,1.392575,4.0252,0.0261,3.17
109,111507,1.394431,4.0327,0.0260,3.19
110,112530,1.394666,4.0336,0.0259,3.17
111,113553,1.394973,4.0349,0.0258,3.08
112,114576,1.393618,4.0294,0.0256,3.10
113,115599,1.392908,4.0265,0.0255,3.12
114,116622,1.399582,4.0535,0.0257,3.22
115,117645,1.402768,4.0664,0.0257,3.19
116,118668,1.407018,4.0838,0.0257,3.27
117,119691,1.410919,4.0997,0.0257,3.26
118,120714,1.412513,4.1063,0.0257,3.94
119,121737,1.410073,4.0963,0.0255,3.16
120,122760,1.412544,4.1064,0.0255,3.33
121,123783,1.415086,4.1168,0.0255,3.12
122,124806,1.416870,4.1242,0.0254,2.92
123,125829,1.418259,4.1299,0.0254,2.92
124,126852,1.419457,4.1349,0.0253,3.01
125,127875,1.423898,4.1533,0.0254,3.04
126,128898,1.425617,4.1604,0.0253,3.02
127,129921,1.429210,4.1754,0.0254,3.05
128,130944,1.429492,4.1766,0.0253,3.09
129,131967,1.430743,4.1818,0.0252,2.88
130,132990,1.429942,4.1785,0.0251,2.89
131,134013,1.432763,4.1903,0.0251,3.04
132,135036,1.429064,4.1748,0.0249,2.99
133,136059,1.429541,4.1768,0.0248,2.99
134,137082,1.428394,4.1720,0.0247,2.98
135,138105,1.427033,4.1663,0.0245,3.06
136,139128,1.425091,4.1582,0.0244,2.96
137,140151,1.422376,4.1470,0.0242,2.79
138,141174,1.419554,4.1353,0.0240,2.86
139,142197,1.422729,4.1484,0.0240,2.95
140,143220,1.427206,4.1670,0.0241,3.02
141,144243,1.423672,4.1523,0.0239,2.98
142,145266,1.417155,4.1254,0.0236,2.96
143,146289,1.412113,4.1046,0.0234,3.02
144,147312,1.413929,4.1121,0.0234,3.05
145,148335,1.413523,4.1104,0.0233,3.02
