chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.326681,1.3864,0.0520,3.77
2,2046,0.296454,1.3451,0.0321,3.76
3,3069,0.358292,1.4309,0.0312,3.67
4,4092,0.666862,1.9481,0.0514,3.70
5,5115,0.760483,2.1393,0.0539,3.42
6,6138,0.715926,2.0461,0.0453,3.35
7,7161,0.659466,1.9338,0.0377,3.10
8,8184,0.706514,2.0269,0.0376,3.31
9,9207,0.781144,2.1840,0.0398,3.42
10,10230,0.864920,2.3748,0.0429,3.50
11,11253,0.921994,2.5143,0.0440,3.48
12,12276,1.009567,2.7444,0.0480,3.43
13,13299,0.986556,2.6820,0.0446,3.38
14,14322,1.031631,2.8056,0.0456,3.36
15,15345,1.062775,2.8944,0.0459,3.21
16,16368,1.119803,3.0643,0.0482,3.26
17,17391,1.162641,3.1984,0.0494,3.26
18,18414,1.190559,3.2889,0.0498,3.19
19,19437,1.202524,3.3285,0.0493,3.40
20,20460,1.166429,3.2105,0.0459,3.32
21,21483,1.136490,3.1158,0.0429,3.36
22,22506,1.112963,3.0434,0.0406,3.45
23,23529,1.091759,2.9795,0.0385,3.28
24,24552,1.076792,2.9352,0.0369,3.38
25,25575,1.069152,2.9129,0.0357,3.31
26,26598,1.058155,2.8810,0.0344,3.32
27,27621,1.107275,3.0261,0.0364,3.55
28,28644,1.141051,3.1301,0.0376,3.57
29,29667,1.156096,3.1775,0.0378,3.52
30,30690,1.164601,3.2046,0.0375,3.40
31,31713,1.171553,3.2270,0.0373,3.31
32,32736,1.168231,3.2163,0.0365,3.24
33,33759,1.175323,3.2392,0.0362,3.19
34,34782,1.186476,3.2755,0.0361,3.35
35,35805,1.198007,3.3135,0.0361,3.46
36,36828,1.211170,3.3574,0.0363,3.24
37,37851,1.208558,3.3487,0.0356,3.24
38,38874,1.209744,3.3526,0.0351,3.22
39,39897,1.209802,3.3528,0.0346,3.15
40,40920,1.207402,3.3448,0.0340,3.02
41,41943,1.211027,3.3569,0.0337,3.10
42,42966,1.222866,3.3969,0.0339,3.30
43,43989,1.253119,3.5012,0.0350,3.48
44,45012,1.280450,3.5983,0.0360,3.40
45,46035,1.268528,3.5556,0.0351,3.41
46,47058,1.259348,3.5231,0.0342,3.39
47,48081,1.268342,3.5550,0.0343,3.37
48,49104,1.279597,3.5952,0.0344,3.24
49,50127,1.294242,3.6482,0.0346,3.27
50,51150,1.296149,3.6552,0.0343,3.21
51,52173,1.311289,3.7110,0.0347,3.38
52,53196,1.310238,3.7071,0.0343,3.09
53,54219,1.314315,3.7222,0.0341,3.22
54,55242,1.318097,3.7363,0.0339,3.07
55,56265,1.315944,3.7283,0.0334,3.00
56,57288,1.317435,3.7338,0.0332,3.01
57,58311,1.314180,3.7217,0.0327,2.88
58,59334,1.314961,3.7246,0.0324,2.90
59,60357,1.310442,3.7078,0.0320,3.12
60,61380,1.315465,3.7265,0.0319,3.23
61,62403,1.321303,3.7483,0.0319,3.35
62,63426,1.329474,3.7791,0.0320,3.23
63,64449,1.339972,3.8189,0.0322,3.21
64,65472,1.351486,3.8632,0.0325,3.28
65,66495,1.347774,3.8488,0.0321,3.15
66,67518,1.355771,3.8797,0.0322,3.21
67,68541,1.357822,3.8877,0.0320,3.15
68,69564,1.356966,3.8844,0.0317,3.09
69,70587,1.359622,3.8947,0.0315,3.13
70,71610,1.362218,3.9048,0.0314,3.15
71,72633,1.358536,3.8905,0.0311,3.12
72,73656,1.360996,3.9001,0.0310,3.28
