chunk,tokens,nll,ppl,stderr,seconds
1,1279,0.242952,1.2750,0.0334,4.64
2,2558,0.309821,1.3632,0.0291,4.65
3,3837,0.571196,1.7704,0.0426,4.56
4,5116,0.754608,2.1268,0.0517,4.26
5,6395,0.680089,1.9741,0.0405,4.05
6,7674,0.699171,2.0121,0.0379,3.90
7,8953,0.766521,2.1523,0.0385,4.08
8,10232,0.864777,2.3745,0.0422,4.31
9,11511,0.918510,2.5056,0.0426,4.26
10,12790,0.917201,2.5023,0.0404,4.21
11,14069,0.985027,2.6779,0.0425,4.07
12,15348,1.026082,2.7901,0.0430,3.95
13,16627,1.105002,3.0192,0.0464,4.11
14,17906,1.137403,3.1187,0.0465,3.83
15,19185,1.161362,3.1943,0.0464,4.10
16,20464,1.127946,3.0893,0.0432,4.05
17,21743,1.091571,2.9790,0.0398,4.14
18,23022,1.068914,2.9122,0.0374,4.11
19,24301,1.049040,2.8549,0.0353,4.11
20,25580,1.035175,2.8156,0.0337,4.06
21,26859,1.038092,2.8238,0.0331,4.14
22,28138,1.096405,2.9934,0.0355,4.33
23,29417,1.147558,3.1505,0.0374,4.28
24,30696,1.159951,3.1898,0.0372,4.26
25,31975,1.167130,3.2128,0.0367,4.01
26,33254,1.161982,3.1963,0.0357,3.91
27,34533,1.179239,3.2519,0.0358,4.06
28,35812,1.196233,3.3076,0.0360,4.13
29,37091,1.206755,3.3426,0.0358,3.95
30,38370,1.202498,3.3284,0.0350,3.95
31,39649,1.207491,3.3451,0.0346,3.93
32,40928,1.204507,3.3351,0.0338,3.70
33,42207,1.212455,3.3617,0.0336,3.81
34,43486,1.230531,3.4230,0.0339,4.12
35,44765,1.262269,3.5334,0.0350,4.19
36,46044,1.253263,3.5017,0.0341,4.19
37,47323,1.241537,3.4609,0.0331,4.11
38,48602,1.263248,3.5369,0.0337,4.11
39,49881,1.286293,3.6193,0.0343,3.97
40,51160,1.289809,3.6321,0.0339,3.93
41,52439,1.302677,3.6791,0.0341,4.08
42,53718,1.306993,3.6950,0.0339,3.86
43,54997,1.309939,3.7059,0.0336,3.81
44,56276,1.307197,3.6958,0.0330,3.68
45,57555,1.308171,3.6994,0.0326,3.66
46,58834,1.303638,3.6827,0.0320,3.49
47,60113,1.299896,3.6689,0.0315,3.63
48,61392,1.304676,3.6865,0.0314,4.03
49,62671,1.313876,3.7206,0.0315,4.07
50,63950,1.323111,3.7551,0.0315,3.98
51,65229,1.338428,3.8130,0.0319,3.97
52,66508,1.332455,3.7903,0.0313,3.88
53,67787,1.342701,3.8294,0.0314,3.92
54,69066,1.342568,3.8289,0.0311,3.77
55,70345,1.347879,3.8493,0.0310,3.81
56,71624,1.352687,3.8678,0.0309,3.82
57,72903,1.348017,3.8498,0.0305,3.84
58,74182,1.360395,3.8977,0.0308,4.02
59,75461,1.370615,3.9378,0.0309,3.95
60,76740,1.373449,3.9489,0.0307,3.85
61,78019,1.377072,3.9633,0.0306,3.81
62,79298,1.383412,3.9885,0.0305,3.81
63,80577,1.383871,3.9903,0.0303,3.77
64,81856,1.379356,3.9723,0.0299,4.05
65,83135,1.369163,3.9321,0.0293,3.93
66,84414,1.359006,3.8923,0.0286,3.53
67,85693,1.349221,3.8544,0.0281,3.54
68,86972,1.343898,3.8340,0.0277,3.72
69,88251,1.344973,3.8381,0.0275,3.82
70,89530,1.347088,3.8462,0.0273,3.74
71,90809,1.358597,3.8907,0.0275,3.90
72,92088,1.359760,3.8953,0.0274,3.92
73,93367,1.371424,3.9410,0.0276,4.10
74,94646,1.383084,3.9872,0.0279,4.04
75,95925,1.389408,4.0125,0.0279,3.96
76,97204,1.398709,4.0500,0.0281,3.90
77,98483,1.405832,4.0789,0.0282,3.91
78,99762,1.416235,4.1216,0.0284,3.85
79,101041,1.418904,4.1326,0.0283,3.90
80,102320,1.421304,4.1425,0.0282,3.89
81,103599,1.415497,4.1185,0.0279,3.90
82,104878,1.407138,4.0842,0.0274,3.89
