chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.401165,1.4936,0.0564,3.99
2,2046,0.396524,1.4866,0.0386,3.96
3,3069,0.444981,1.5605,0.0356,3.89
4,4092,0.738768,2.0934,0.0557,3.91
5,5115,0.829731,2.2927,0.0581,3.64
6,6138,0.780750,2.1831,0.0487,3.57
7,7161,0.718875,2.0521,0.0403,3.32
8,8184,0.766120,2.1514,0.0402,3.52
9,9207,0.841239,2.3192,0.0422,3.63
10,10230,0.920605,2.5108,0.0452,3.70
11,11253,0.978632,2.6608,0.0465,3.67
12,12276,1.064169,2.8984,0.0505,3.64
13,13299,1.040952,2.8319,0.0469,3.58
14,14322,1.089605,2.9731,0.0482,3.53
15,15345,1.121018,3.0680,0.0485,3.42
16,16368,1.178490,3.2495,0.0510,3.47
17,17391,1.220215,3.3879,0.0522,3.51
18,18414,1.249318,3.4880,0.0526,3.39
19,19437,1.260175,3.5260,0.0521,3.63
20,20460,1.223868,3.4003,0.0486,3.55
21,21483,1.195515,3.3053,0.0456,3.64
22,22506,1.172564,3.2303,0.0431,3.69
23,23529,1.152935,3.1675,0.0410,3.53
24,24552,1.140091,3.1271,0.0394,3.60
25,25575,1.132193,3.1025,0.0381,3.63
26,26598,1.120916,3.0677,0.0367,3.63
27,27621,1.169342,3.2199,0.0388,3.84
28,28644,1.201414,3.3248,0.0399,3.84
29,29667,1.216345,3.3748,0.0401,3.80
30,30690,1.223935,3.4005,0.0398,3.71
31,31713,1.230552,3.4231,0.0395,3.57
32,32736,1.226205,3.4083,0.0387,3.56
33,33759,1.233368,3.4328,0.0384,3.50
34,34782,1.244518,3.4713,0.0384,3.55
35,35805,1.255410,3.5093,0.0383,3.71
36,36828,1.268927,3.5570,0.0385,3.55
37,37851,1.264921,3.5428,0.0378,3.67
38,38874,1.266137,3.5471,0.0373,3.56
39,39897,1.265612,3.5453,0.0367,3.47
40,40920,1.262692,3.5349,0.0360,3.31
41,41943,1.265362,3.5444,0.0357,3.43
42,42966,1.275929,3.5820,0.0358,3.63
43,43989,1.306026,3.6915,0.0370,3.83
44,45012,1.332484,3.7904,0.0380,3.76
45,46035,1.320590,3.7456,0.0370,3.83
46,47058,1.312332,3.7148,0.0362,3.78
47,48081,1.321502,3.7490,0.0362,3.74
48,49104,1.332416,3.7902,0.0363,3.64
49,50127,1.346893,3.8455,0.0366,3.71
50,51150,1.348404,3.8513,0.0363,3.58
51,52173,1.363235,3.9088,0.0367,3.79
52,53196,1.361633,3.9026,0.0362,3.52
53,54219,1.365174,3.9164,0.0360,3.69
54,55242,1.369010,3.9315,0.0358,3.48
55,56265,1.366356,3.9210,0.0353,3.38
56,57288,1.367749,3.9265,0.0350,3.37
57,58311,1.363943,3.9116,0.0345,3.28
58,59334,1.364185,3.9125,0.0341,3.24
59,60357,1.360424,3.8978,0.0337,3.49
60,61380,1.364917,3.9154,0.0337,3.60
61,62403,1.370682,3.9380,0.0337,3.80
62,63426,1.378960,3.9708,0.0337,3.70
63,64449,1.389800,4.0140,0.0339,3.65
64,65472,1.401340,4.0606,0.0343,3.68
65,66495,1.397118,4.0435,0.0338,3.64
66,67518,1.404713,4.0744,0.0339,3.66
67,68541,1.406251,4.0806,0.0336,3.57
68,69564,1.405311,4.0768,0.0333,3.47
69,70587,1.407337,4.0851,0.0332,3.66
70,71610,1.410002,4.0960,0.0330,3.61
71,72633,1.406266,4.0807,0.0326,3.53
72,73656,1.408962,4.0917,0.0326,3.72
73,74679,1.416470,4.1225,0.0327,3.77
74,75702,1.423814,4.1529,0.0328,3.71
