chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.326153,1.3856,0.0514,2.57
2,2046,0.303114,1.3541,0.0321,2.46
3,3069,0.356160,1.4278,0.0305,2.45
4,4092,0.658531,1.9320,0.0500,2.48
5,5115,0.751767,2.1207,0.0525,2.49
6,6138,0.709917,2.0338,0.0442,2.44
7,7161,0.656952,1.9289,0.0370,2.41
8,8184,0.705388,2.0246,0.0370,2.43
9,9207,0.782031,2.1859,0.0394,2.45
10,10230,0.863892,2.3724,0.0425,2.48
11,11253,0.921583,2.5133,0.0437,2.48
12,12276,1.008876,2.7425,0.0476,2.43
13,13299,0.986014,2.6805,0.0443,2.45
14,14322,1.031736,2.8059,0.0454,2.42
15,15345,1.062696,2.8942,0.0456,2.41
16,16368,1.118408,3.0600,0.0478,2.43
17,17391,1.161379,3.1943,0.0491,2.43
18,18414,1.190705,3.2894,0.0496,2.42
19,19437,1.202488,3.3284,0.0491,2.48
20,20460,1.165730,3.2083,0.0457,2.49
21,21483,1.136622,3.1162,0.0428,2.46
22,22506,1.114193,3.0471,0.0406,2.46
23,23529,1.093404,2.9844,0.0385,2.44
24,24552,1.078737,2.9410,0.0368,2.47
25,25575,1.071994,2.9212,0.0357,2.48
26,26598,1.061098,2.8895,0.0345,2.49
27,27621,1.109337,3.0323,0.0364,2.53
28,28644,1.142408,3.1343,0.0376,2.52
29,29667,1.157634,3.1824,0.0378,2.54
30,30690,1.165944,3.2090,0.0375,2.49
31,31713,1.172546,3.2302,0.0372,2.48
32,32736,1.168910,3.2185,0.0364,2.49
33,33759,1.175633,3.2402,0.0361,2.48
34,34782,1.187346,3.2784,0.0361,2.48
35,35805,1.198803,3.3161,0.0361,2.55
36,36828,1.211890,3.3598,0.0362,2.51
37,37851,1.209134,3.3506,0.0356,2.54
38,38874,1.210081,3.3538,0.0351,2.55
39,39897,1.210104,3.3538,0.0346,2.52
40,40920,1.207519,3.3452,0.0339,2.49
41,41943,1.211069,3.3571,0.0336,2.53
42,42966,1.222615,3.3961,0.0338,2.58
43,43989,1.252308,3.4984,0.0349,2.56
44,45012,1.279200,3.5938,0.0359,2.53
45,46035,1.267138,3.5507,0.0349,2.56
46,47058,1.257718,3.5174,0.0341,2.55
47,48081,1.266582,3.5487,0.0341,2.57
48,49104,1.277528,3.5878,0.0342,2.54
49,50127,1.291737,3.6391,0.0344,2.54
