chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.322677,1.3808,0.0512,3.99
2,2046,0.291733,1.3387,0.0313,3.97
3,3069,0.354528,1.4255,0.0309,3.95
4,4092,0.657487,1.9299,0.0504,3.94
5,5115,0.749424,2.1158,0.0528,3.61
6,6138,0.706527,2.0269,0.0444,3.58
7,7161,0.648737,1.9131,0.0369,3.33
8,8184,0.697253,2.0082,0.0369,3.54
9,9207,0.771557,2.1631,0.0390,3.64
10,10230,0.854280,2.3497,0.0421,3.71
11,11253,0.912411,2.4903,0.0433,3.70
12,12276,1.000272,2.7190,0.0472,3.66
13,13299,0.977702,2.6583,0.0439,3.60
14,14322,1.022333,2.7797,0.0449,3.54
15,15345,1.053663,2.8681,0.0452,3.45
16,16368,1.110520,3.0359,0.0474,3.53
17,17391,1.153678,3.1698,0.0487,3.45
18,18414,1.182149,3.2614,0.0491,3.38
19,19437,1.194173,3.3008,0.0486,3.63
20,20460,1.158828,3.1862,0.0454,3.54
21,21483,1.129609,3.0944,0.0424,3.58
22,22506,1.106057,3.0224,0.0402,3.62
23,23529,1.085055,2.9596,0.0381,3.49
24,24552,1.070203,2.9160,0.0365,3.59
25,25575,1.062486,2.8936,0.0353,3.51
26,26598,1.051774,2.8627,0.0341,3.54
27,27621,1.100073,3.0044,0.0360,3.75
28,28644,1.133545,3.1067,0.0372,3.74
29,29667,1.148670,3.1540,0.0373,3.71
30,30690,1.157093,3.1807,0.0371,3.60
31,31713,1.164028,3.2028,0.0368,3.48
32,32736,1.160588,3.1918,0.0360,3.42
33,33759,1.167623,3.2143,0.0358,3.38
34,34782,1.178882,3.2507,0.0357,3.52
35,35805,1.190252,3.2879,0.0357,3.60
36,36828,1.203483,3.3317,0.0359,3.42
37,37851,1.200934,3.3232,0.0352,3.46
38,38874,1.202203,3.3274,0.0347,3.41
39,39897,1.202185,3.3274,0.0342,3.37
40,40920,1.199793,3.3194,0.0336,3.21
41,41943,1.203340,3.3312,0.0333,3.34
42,42966,1.215148,3.3708,0.0335,3.49
43,43989,1.245070,3.4732,0.0346,3.68
44,45012,1.272034,3.5681,0.0356,3.59
45,46035,1.260247,3.5263,0.0346,3.61
46,47058,1.251047,3.4940,0.0338,3.59
47,48081,1.260187,3.5261,0.0339,3.55
48,49104,1.271253,3.5653,0.0340,3.46
49,50127,1.285873,3.6178,0.0342,3.48
50,51150,1.287789,3.6248,0.0339,3.42
51,52173,1.302667,3.6791,0.0343,3.59
52,53196,1.301481,3.6747,0.0339,3.30
53,54219,1.305494,3.6895,0.0337,3.42
54,55242,1.309334,3.7037,0.0335,3.28
55,56265,1.307059,3.6953,0.0330,3.20
56,57288,1.308569,3.7009,0.0327,3.20
57,58311,1.305241,3.6886,0.0323,3.08
58,59334,1.305834,3.6908,0.0320,3.09
59,60357,1.301615,3.6752,0.0316,3.33
60,61380,1.306792,3.6943,0.0315,3.44
61,62403,1.312703,3.7162,0.0315,3.55
62,63426,1.320877,3.7467,0.0316,3.44
63,64449,1.331295,3.7859,0.0318,3.42
64,65472,1.342863,3.8300,0.0321,3.48
65,66495,1.339053,3.8154,0.0317,3.37
66,67518,1.347154,3.8465,0.0318,3.41
67,68541,1.349350,3.8549,0.0316,3.37
68,69564,1.348514,3.8517,0.0313,3.29
69,70587,1.351202,3.8621,0.0312,3.34
70,71610,1.353878,3.8724,0.0310,3.39
71,72633,1.350298,3.8586,0.0307,3.34
72,73656,1.352825,3.8683,0.0306,3.49
73,74679,1.360212,3.8970,0.0307,3.51
74,75702,1.367931,3.9272,0.0308,3.47
75,76725,1.370678,3.9380,0.0307,3.41
76,77748,1.374164,3.9518,0.0306,3.40
77,78771,1.377530,3.9651,0.0305,3.35
78,79794,1.377959,3.9668,0.0303,3.33
79,80817,1.384264,3.9919,0.0304,3.44
80,81840,1.377173,3.9637,0.0299,3.56
81,82863,1.369933,3.9351,0.0294,3.54
82,83886,1.361448,3.9018,0.0289,3.26
83,84909,1.355011,3.8768,0.0285,3.18
84,85932,1.346944,3.8457,0.0280,3.16
85,86955,1.343249,3.8315,0.0277,3.36
86,87978,1.347448,3.8476,0.0277,3.49
87,89001,1.345947,3.8418,0.0274,3.33
88,90024,1.346967,3.8457,0.0273,3.39
89,91047,1.352144,3.8657,0.0273,3.54
90,92070,1.353675,3.8716,0.0272,3.57
91,93093,1.362141,3.9045,0.0274,3.65
92,94116,1.369365,3.9329,0.0275,3.59
93,95139,1.374744,3.9541,0.0276,3.61
94,96162,1.378004,3.9670,0.0275,3.56
95,97185,1.384841,3.9942,0.0276,3.55
96,98208,1.393544,4.0291,0.0278,3.58
97,99231,1.402039,4.0635,0.0280,3.47
98,100254,1.401279,4.0604,0.0278,3.49
99,101277,1.404668,4.0742,0.0278,3.55
100,102300,1.406983,4.0836,0.0277,3.53
101,103323,1.398580,4.0494,0.0273,3.55
102,104346,1.391899,4.0225,0.0269,3.52
103,105369,1.384472,3.9927,0.0266,3.56
104,106392,1.381206,3.9797,0.0263,3.55
105,107415,1.374049,3.9513,0.0260,3.47
106,108438,1.371731,3.9422,0.0258,3.54
107,109461,1.374220,3.9520,0.0257,3.55
108,110484,1.373766,3.9502,0.0256,3.50
109,111507,1.375520,3.9571,0.0255,3.51
110,112530,1.375748,3.9580,0.0254,3.46
111,113553,1.376056,3.9593,0.0253,3.39
112,114576,1.374571,3.9534,0.0251,3.43
113,115599,1.373896,3.9507,0.0250,3.48
114,116622,1.380667,3.9776,0.0252,3.58
115,117645,1.383857,3.9903,0.0252,3.57
116,118668,1.388016,4.0069,0.0252,3.50
117,119691,1.392029,4.0230,0.0252,3.47
118,120714,1.393402,4.0285,0.0252,3.39
119,121737,1.390948,4.0187,0.0250,3.41
120,122760,1.393476,4.0288,0.0250,3.54
121,123783,1.396159,4.0397,0.0250,3.47
122,124806,1.397890,4.0467,0.0249,3.34
123,125829,1.399211,4.0520,0.0249,3.33
124,126852,1.400532,4.0574,0.0248,3.45
125,127875,1.404978,4.0754,0.0249,3.47
126,128898,1.406814,4.0829,0.0249,3.48
127,129921,1.410401,4.0976,0.0249,3.48
128,130944,1.410825,4.0993,0.0248,3.34
129,131967,1.412308,4.1054,0.0247,3.31
130,132990,1.411339,4.1014,0.0246,3.38
131,134013,1.414110,4.1128,0.0246,3.49
132,135036,1.410079,4.0963,0.0244,3.47
133,136059,1.410441,4.0978,0.0243,3.45
134,137082,1.409239,4.0928,0.0242,3.43
135,138105,1.408086,4.0881,0.0241,3.52
136,139128,1.406245,4.0806,0.0239,3.46
137,140151,1.403244,4.0684,0.0237,3.25
138,141174,1.400209,4.0560,0.0236,3.33
139,142197,1.403474,4.0693,0.0236,3.44
140,143220,1.407830,4.0871,0.0236,3.50
141,144243,1.404188,4.0722,0.0234,3.46
142,145266,1.397533,4.0452,0.0232,3.47
143,146289,1.392381,4.0244,0.0229,3.51
