chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.399203,1.4906,0.0619,2.52
2,2046,0.359190,1.4322,0.0375,2.37
3,3069,0.410959,1.5083,0.0344,2.34
4,4092,0.687244,1.9882,0.0511,2.40
5,5115,0.787078,2.1970,0.0546,2.40
6,6138,0.744843,2.1061,0.0462,2.37
7,7161,0.688206,1.9901,0.0385,2.38
8,8184,0.740049,2.0960,0.0387,2.36
9,9207,0.815232,2.2597,0.0410,2.37
10,10230,0.898638,2.4563,0.0443,2.41
11,11253,0.956626,2.6029,0.0457,2.42
12,12276,1.042333,2.8358,0.0495,2.37
13,13299,1.022109,2.7791,0.0462,2.40
14,14322,1.067626,2.9085,0.0473,2.36
15,15345,1.099277,3.0020,0.0477,2.35
16,16368,1.158115,3.1839,0.0502,2.38
17,17391,1.198612,3.3155,0.0513,2.37
18,18414,1.226985,3.4109,0.0517,2.36
19,19437,1.238793,3.4514,0.0513,2.44
20,20460,1.201849,3.3263,0.0477,2.43
21,21483,1.173201,3.2323,0.0447,2.41
22,22506,1.151919,3.1643,0.0425,2.39
23,23529,1.130335,3.0967,0.0402,2.36
24,24552,1.117768,3.0580,0.0386,2.41
25,25575,1.110323,3.0353,0.0374,2.40
26,26598,1.098858,3.0007,0.0361,2.42
27,27621,1.145633,3.1444,0.0379,2.44
28,28644,1.179158,3.2516,0.0392,2.45
29,29667,1.194980,3.3035,0.0394,2.44
30,30690,1.202744,3.3292,0.0391,2.38
31,31713,1.208588,3.3488,0.0388,2.37
32,32736,1.204322,3.3345,0.0379,2.40
33,33759,1.210747,3.3560,0.0376,2.39
34,34782,1.222781,3.3966,0.0376,2.38
35,35805,1.234097,3.4353,0.0376,2.46
36,36828,1.247412,3.4813,0.0378,2.42
37,37851,1.244191,3.4701,0.0371,2.44
38,38874,1.244653,3.4717,0.0365,2.44
39,39897,1.244085,3.4698,0.0360,2.41
40,40920,1.241306,3.4601,0.0353,2.39
41,41943,1.244339,3.4706,0.0350,2.42
42,42966,1.255882,3.5109,0.0352,2.47
43,43989,1.285743,3.6174,0.0363,2.45
44,45012,1.313136,3.7178,0.0374,2.42
45,46035,1.300718,3.6719,0.0364,2.45
46,47058,1.291167,3.6370,0.0355,2.43
47,48081,1.299771,3.6685,0.0355,2.45
48,49104,1.310921,3.7096,0.0356,2.41
49,50127,1.324907,3.7618,0.0358,2.41
50,51150,1.327048,3.7699,0.0356,2.44
51,52173,1.342096,3.8271,0.0360,2.47
52,53196,1.340752,3.8219,0.0355,2.43
53,54219,1.344627,3.8368,0.0353,2.44
54,55242,1.348190,3.8505,0.0351,2.40
55,56265,1.345989,3.8420,0.0346,2.39
56,57288,1.347168,3.8465,0.0343,2.38
57,58311,1.343314,3.8317,0.0338,2.37
58,59334,1.343862,3.8338,0.0335,2.38
59,60357,1.339733,3.8180,0.0330,2.43
60,61380,1.344363,3.8357,0.0330,2.42
61,62403,1.350384,3.8589,0.0330,2.46
62,63426,1.358679,3.8910,0.0331,2.41
63,64449,1.369378,3.9329,0.0333,2.40
64,65472,1.381185,3.9796,0.0336,2.45
65,66495,1.377276,3.9641,0.0332,2.44
66,67518,1.385183,3.9956,0.0333,2.40
67,68541,1.387189,4.0036,0.0331,2.42
68,69564,1.386390,4.0004,0.0328,2.41
69,70587,1.388572,4.0091,0.0326,2.43
70,71610,1.391146,4.0195,0.0325,2.45
71,72633,1.387004,4.0028,0.0321,2.46
72,73656,1.389488,4.0128,0.0320,2.45
73,74679,1.397111,4.0435,0.0321,2.44
74,75702,1.404999,4.0755,0.0322,2.44
75,76725,1.407130,4.0842,0.0320,2.44
76,77748,1.410833,4.0994,0.0320,2.44
77,78771,1.414050,4.1126,0.0319,2.42
78,79794,1.414066,4.1126,0.0316,2.40
79,80817,1.420646,4.1398,0.0317,2.45
80,81840,1.413585,4.1107,0.0312,2.45
81,82863,1.406546,4.0818,0.0307,2.42
82,83886,1.398202,4.0479,0.0302,2.40
83,84909,1.391990,4.0228,0.0298,2.40
84,85932,1.384492,3.9928,0.0293,2.41
85,86955,1.380806,3.9781,0.0290,2.46
86,87978,1.384645,3.9934,0.0290,2.45
87,89001,1.383240,3.9878,0.0287,2.41
88,90024,1.384162,3.9915,0.0286,2.42
89,91047,1.389315,4.0121,0.0286,2.44
90,92070,1.390970,4.0187,0.0285,2.43
91,93093,1.399853,4.0546,0.0287,2.44
92,94116,1.407257,4.0847,0.0288,2.40
93,95139,1.412677,4.1069,0.0289,2.43
94,96162,1.416357,4.1221,0.0288,2.42
95,97185,1.423098,4.1500,0.0289,2.43
96,98208,1.431884,4.1866,0.0291,2.42
97,99231,1.440293,4.2219,0.0293,2.43
98,100254,1.439591,4.2190,0.0291,2.43
99,101277,1.442966,4.2332,0.0291,2.42
100,102300,1.445253,4.2429,0.0290,2.43
101,103323,1.437094,4.2084,0.0286,2.43
102,104346,1.430371,4.1802,0.0282,2.40
103,105369,1.423136,4.1501,0.0278,2.43
104,106392,1.420462,4.1390,0.0276,2.39
105,107415,1.413531,4.1104,0.0272,2.40
106,108438,1.411235,4.1010,0.0270,2.42
107,109461,1.413846,4.1117,0.0270,2.42
108,110484,1.413325,4.1096,0.0269,2.44
109,111507,1.415155,4.1171,0.0268,2.42
110,112530,1.415468,4.1184,0.0267,2.42
111,113553,1.415785,4.1197,0.0265,2.41
112,114576,1.414491,4.1144,0.0264,2.41
113,115599,1.413603,4.1107,0.0262,2.41
114,116622,1.420418,4.1389,0.0264,2.44
115,117645,1.423734,4.1526,0.0264,2.43
116,118668,1.427935,4.1701,0.0264,2.40
117,119691,1.431618,4.1855,0.0265,2.41
118,120714,1.433081,4.1916,0.0264,2.43
119,121737,1.430603,4.1812,0.0262,2.43
120,122760,1.433050,4.1915,0.0262,2.44
121,123783,1.435461,4.2016,0.0262,2.42
122,124806,1.437263,4.2092,0.0261,2.42
123,125829,1.438478,4.2143,0.0261,2.40
124,126852,1.439667,4.2193,0.0260,2.43
125,127875,1.444210,4.2385,0.0261,2.44
126,128898,1.445954,4.2459,0.0261,2.45
127,129921,1.449382,4.2605,0.0261,2.43
128,130944,1.449734,4.2620,0.0260,2.39
129,131967,1.450960,4.2672,0.0259,2.41
130,132990,1.449999,4.2631,0.0258,2.42
131,134013,1.452848,4.2753,0.0258,2.44
132,135036,1.449192,4.2597,0.0256,2.44
133,136059,1.449606,4.2614,0.0255,2.41
134,137082,1.448204,4.2555,0.0254,2.42
135,138105,1.447013,4.2504,0.0252,2.45
136,139128,1.445158,4.2425,0.0251,2.47
137,140151,1.442471,4.2311,0.0249,2.44
138,141174,1.439664,4.2193,0.0247,2.47
139,142197,1.442876,4.2329,0.0247,2.45
140,143220,1.447239,4.2514,0.0248,2.46
141,144243,1.443544,4.2357,0.0246,2.47
142,145266,1.437071,4.2083,0.0243,2.44
143,146289,1.432243,4.1881,0.0240,2.47
144,147312,1.434143,4.1960,0.0240,2.48
145,148335,1.433627,4.1939,0.0239,2.48
