chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.399685,1.4914,0.0624,2.47
2,2046,0.361570,1.4356,0.0379,2.36
3,3069,0.413173,1.5116,0.0347,2.35
4,4092,0.687842,1.9894,0.0513,2.40
5,5115,0.786597,2.1959,0.0545,2.39
6,6138,0.743105,2.1025,0.0460,2.35
7,7161,0.687363,1.9885,0.0384,2.33
8,8184,0.739993,2.0959,0.0387,2.34
9,9207,0.816451,2.2625,0.0411,2.35
10,10230,0.900018,2.4596,0.0445,2.40
11,11253,0.957190,2.6044,0.0457,2.40
12,12276,1.043296,2.8386,0.0496,2.36
13,13299,1.023116,2.7818,0.0463,2.37
14,14322,1.069605,2.9142,0.0475,2.35
15,15345,1.101613,3.0090,0.0478,2.32
16,16368,1.160991,3.1931,0.0505,2.38
17,17391,1.201535,3.3252,0.0516,2.33
18,18414,1.230086,3.4215,0.0520,2.34
19,19437,1.241382,3.4604,0.0515,2.42
20,20460,1.204663,3.3356,0.0480,2.43
21,21483,1.176137,3.2418,0.0450,2.38
22,22506,1.155316,3.1750,0.0427,2.37
23,23529,1.133680,3.1071,0.0405,2.35
24,24552,1.120590,3.0667,0.0388,2.38
25,25575,1.112908,3.0432,0.0376,2.38
26,26598,1.101811,3.0096,0.0363,2.40
27,27621,1.148676,3.1540,0.0382,2.42
28,28644,1.181813,3.2603,0.0394,2.42
29,29667,1.197509,3.3119,0.0396,2.42
30,30690,1.205180,3.3374,0.0393,2.37
31,31713,1.211055,3.3570,0.0390,2.36
32,32736,1.206892,3.3431,0.0381,2.36
33,33759,1.213171,3.3641,0.0378,2.36
34,34782,1.225132,3.4046,0.0378,2.35
35,35805,1.236369,3.4431,0.0378,2.43
36,36828,1.249642,3.4891,0.0380,2.38
37,37851,1.246377,3.4777,0.0372,2.41
38,38874,1.246828,3.4793,0.0367,2.42
39,39897,1.246292,3.4774,0.0361,2.39
40,40920,1.243281,3.4670,0.0354,2.36
41,41943,1.246551,3.4783,0.0351,2.39
42,42966,1.258399,3.5198,0.0353,2.45
43,43989,1.288203,3.6263,0.0365,2.42
44,45012,1.315559,3.7268,0.0375,2.39
45,46035,1.303012,3.6804,0.0365,2.42
46,47058,1.293425,3.6453,0.0356,2.40
47,48081,1.302085,3.6770,0.0356,2.42
48,49104,1.313202,3.7181,0.0357,2.39
49,50127,1.327107,3.7701,0.0360,2.37
50,51150,1.329325,3.7785,0.0357,2.42
51,52173,1.344222,3.8352,0.0361,2.43
52,53196,1.342821,3.8298,0.0356,2.41
53,54219,1.346683,3.8447,0.0354,2.41
54,55242,1.350259,3.8584,0.0352,2.37
55,56265,1.348048,3.8499,0.0347,2.35
56,57288,1.349189,3.8543,0.0344,2.36
57,58311,1.345273,3.8392,0.0339,2.34
58,59334,1.345806,3.8413,0.0336,2.35
59,60357,1.341564,3.8250,0.0331,2.40
60,61380,1.346171,3.8427,0.0331,2.38
61,62403,1.352374,3.8666,0.0331,2.42
62,63426,1.360685,3.8989,0.0332,2.37
63,64449,1.371388,3.9408,0.0334,2.37
64,65472,1.383279,3.9880,0.0337,2.40
65,66495,1.379189,3.9717,0.0333,2.41
66,67518,1.387048,4.0030,0.0334,2.35
67,68541,1.388965,4.0107,0.0332,2.39
68,69564,1.388196,4.0076,0.0329,2.41
69,70587,1.390270,4.0159,0.0327,2.39
