tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,qkv,199.382,7.2,423.2,423.2
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,qkv.sum,1.407,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,conv,1.869,0.1,0.0,43.8
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,scan,10.330,0.4,609.0,689.9
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,norm,1.169,0.0,0.0,52.6
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,out,29.115,1.0,1080.4,1080.9
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,out.sum,1.165,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,hist,0.844,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m2/k32,layer,245.281,8.8,,
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,qkv,197.531,7.1,427.2,427.2
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,qkv.sum,1.391,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,conv,1.846,0.1,0.0,44.4
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,scan,10.186,0.4,617.7,699.7
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,norm,1.161,0.0,0.0,52.9
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,out,26.079,0.9,1206.2,1206.7
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,out.sum,1.164,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,hist,0.844,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m4/k32,layer,240.202,8.6,,
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,qkv,198.838,7.2,424.4,424.4
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,qkv.sum,1.238,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,conv,1.752,0.1,0.0,46.8
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,scan,9.004,0.3,698.7,791.5
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,norm,1.122,0.0,0.0,54.8
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,out,23.075,0.8,1363.3,1363.8
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,out.sum,1.057,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,hist,0.785,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m2/k8,gemm_m8/k32,layer,236.871,8.5,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv,198.940,7.2,424.1,424.2
