tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1/k40,10,10,160,10,160,router,4.331,0.2,606.5,607.6
1,m1,m1/k40,10,10,160,10,160,router.sum,0.845,0.0,0.0,0.0
1,m1,m1/k40,10,10,160,10,160,route,5.831,0.3,0.0,0.0
1,m1,m1/k40,10,10,160,10,160,perm.up,2.912,0.1,0.0,0.0
1,m1,m1/k40,10,10,160,10,160,perm.down,2.898,0.1,0.0,0.0
1,m1,m1/k40,10,10,160,10,160,up,217.190,10.4,4827.9,84.9
1,m1,m1/k40,10,10,160,10,160,down,91.485,4.4,5730.9,134.3
1,m1,m1/k40,10,10,160,10,160,shexp.up,122.885,5.9,53.3,28.3
1,m1,m1/k40,10,10,160,10,160,shexp.down,11.919,0.6,274.9,146.1
1,m1,m1/k40,10,10,160,10,160,combine,2.731,0.1,0.0,45.0
1,m1,m1/k40,10,10,160,10,160,block,463.027,22.2,,
1,m1,m2/k40,10,20,320,10,320,router,4.276,0.2,614.3,615.5
1,m1,m2/k40,10,20,320,10,320,router.sum,0.840,0.0,0.0,0.0
1,m1,m2/k40,10,20,320,10,320,route,5.823,0.3,0.0,0.0
1,m1,m2/k40,10,20,320,10,320,perm.up,3.014,0.1,0.0,0.0
1,m1,m2/k40,10,20,320,10,320,perm.down,2.943,0.1,0.0,0.0
1,m1,m2/k40,10,20,320,10,320,up,261.457,12.5,8021.0,70.5
1,m1,m2/k40,10,20,320,10,320,down,85.341,4.1,12286.9,144.0
1,m1,m2/k40,10,20,320,10,320,shexp.up,121.835,5.8,53.8,28.6
1,m1,m2/k40,10,20,320,10,320,shexp.down,14.195,0.7,230.8,122.6
1,m1,m2/k40,10,20,320,10,320,combine,2.738,0.1,0.0,44.9
1,m1,m2/k40,10,20,320,10,320,block,502.462,24.1,,
1,m1,m4/k40,10,40,640,10,640,router,4.330,0.2,606.6,607.8
1,m1,m4/k40,10,40,640,10,640,router.sum,0.833,0.0,0.0,0.0
1,m1,m4/k40,10,40,640,10,640,route,5.813,0.3,0.0,0.0
1,m1,m4/k40,10,40,640,10,640,perm.up,3.177,0.2,0.0,0.0
1,m1,m4/k40,10,40,640,10,640,perm.down,2.989,0.1,0.0,0.0
1,m1,m4/k40,10,40,640,10,640,up,436.232,20.9,9614.8,42.3
1,m1,m4/k40,10,40,640,10,640,down,98.876,4.7,21209.9,124.3
1,m1,m4/k40,10,40,640,10,640,shexp.up,122.014,5.9,53.7,28.5
1,m1,m4/k40,10,40,640,10,640,shexp.down,22.344,1.1,146.7,77.9
1,m1,m4/k40,10,40,640,10,640,combine,2.740,0.1,0.0,44.8
1,m1,m4/k40,10,40,640,10,640,block,699.348,33.6,,
1,m1,w2m1/k40,10,20,320,10,320,router,4.278,0.2,614.0,615.2
1,m1,w2m1/k40,10,20,320,10,320,router.sum,0.838,0.0,0.0,0.0
1,m1,w2m1/k40,10,20,320,10,320,route,5.812,0.3,0.0,0.0
1,m1,w2m1/k40,10,20,320,10,320,perm.up,3.012,0.1,0.0,0.0
1,m1,w2m1/k40,10,20,320,10,320,perm.down,2.945,0.1,0.0,0.0
1,m1,w2m1/k40,10,20,320,10,320,up,260.469,12.5,8051.4,70.8
1,m1,w2m1/k40,10,20,320,10,320,down,94.504,4.5,11095.6,130.0
1,m1,w2m1/k40,10,20,320,10,320,shexp.up,122.026,5.9,53.7,28.5
1,m1,w2m1/k40,10,20,320,10,320,shexp.down,15.834,0.8,206.9,109.9
1,m1,w2m1/k40,10,20,320,10,320,combine,2.720,0.1,0.0,45.2
1,m1,w2m1/k40,10,20,320,10,320,block,512.438,24.6,,
1,m1,w4m1/k40,10,40,640,10,640,router,4.351,0.2,603.7,604.8
1,m1,w4m1/k40,10,40,640,10,640,router.sum,0.837,0.0,0.0,0.0
1,m1,w4m1/k40,10,40,640,10,640,route,5.816,0.3,0.0,0.0
1,m1,w4m1/k40,10,40,640,10,640,perm.up,3.176,0.2,0.0,0.0
1,m1,w4m1/k40,10,40,640,10,640,perm.down,2.992,0.1,0.0,0.0
1,m1,w4m1/k40,10,40,640,10,640,up,435.649,20.9,9627.7,42.3
1,m1,w4m1/k40,10,40,640,10,640,down,120.638,5.8,17383.8,101.9
1,m1,w4m1/k40,10,40,640,10,640,shexp.up,121.726,5.8,53.8,28.6
1,m1,w4m1/k40,10,40,640,10,640,shexp.down,19.248,0.9,170.2,90.4
1,m1,w4m1/k40,10,40,640,10,640,combine,2.765,0.1,0.0,44.4
1,m1,w4m1/k40,10,40,640,10,640,block,717.198,34.4,,
1,m2,m1/k40,10,10,320,20,320,router,4.272,0.2,614.8,616.0
1,m2,m1/k40,10,10,320,20,320,router.sum,0.834,0.0,0.0,0.0
1,m2,m1/k40,10,10,320,20,320,route,5.824,0.3,0.0,0.0
1,m2,m1/k40,10,10,320,20,320,perm.up,2.949,0.1,0.0,0.0
1,m2,m1/k40,10,10,320,20,320,perm.down,3.004,0.1,0.0,0.0
1,m2,m1/k40,10,10,320,20,320,up,260.317,12.5,8056.1,70.8
1,m2,m1/k40,10,10,320,20,320,down,85.085,4.1,12323.9,144.4
1,m2,m1/k40,10,10,320,20,320,shexp.up,154.808,7.4,42.3,22.5
