tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,qkv_gemv,out_gemv,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,261.228,3.1,273.5,273.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,5.700,0.1,0.0,7.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.602,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,9.208,0.1,56.9,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,7.452,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,124.822,1.5,252.0,252.1
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,412.012,4.9,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,qkv,207.449,2.5,344.3,344.4
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,pack,5.522,0.1,0.0,7.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,idx,3.514,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,score,9.088,0.1,57.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,attn,7.492,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,out,24.890,0.3,1263.9,1264.3
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,out.sum,1.093,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k1,k32,layer,259.048,3.1,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,qkv,245.292,2.9,291.2,291.2
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,qkv.sum,0.885,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,pack,5.691,0.1,0.0,7.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,idx,3.201,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,score,9.205,0.1,57.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,attn,7.479,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k2,k32,out,25.213,0.3,1247.7,1248.1
