tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router,4.351,0.2,603.7,604.8
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.813,0.0,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,route,5.813,0.3,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.903,0.1,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,up,212.754,10.2,4928.6,86.6
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,down,89.525,4.3,5856.3,137.3
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,12.233,0.6,535.7,284.6
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,5.707,0.3,574.2,305.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,combine,2.690,0.1,0.0,45.7
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,block,336.789,16.2,,
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router,4.287,0.2,612.7,613.9
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.814,0.0,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,route,5.790,0.3,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.up,3.007,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.940,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,up,261.771,12.6,8011.4,70.4
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,down,88.987,4.3,11783.5,138.1
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,13.895,0.7,471.7,250.6
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,10.068,0.5,325.5,172.9
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,combine,2.725,0.1,0.0,45.1
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,block,394.284,18.9,,
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router,4.359,0.2,602.6,603.7
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.810,0.0,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,route,5.786,0.3,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.up,3.172,0.2,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.985,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,up,434.924,20.9,9643.8,42.4
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,down,101.423,4.9,20677.3,121.2
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,32.148,1.5,203.9,108.3
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,16.550,0.8,198.0,105.2
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,combine,2.725,0.1,0.0,45.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,block,604.882,29.0,,
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router,4.256,0.2,617.1,618.3
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.817,0.0,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,route,5.800,0.3,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.up,3.013,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.944,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,up,264.423,12.7,7931.0,69.7
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,down,95.199,4.6,11014.6,129.1
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,14.036,0.7,466.9,248.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,10.069,0.5,325.4,172.9
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,combine,2.707,0.1,0.0,45.4
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,block,403.264,19.4,,
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,router,4.375,0.2,600.4,601.5
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.814,0.0,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,route,5.817,0.3,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,perm.up,3.193,0.2,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.992,0.1,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,up,436.125,20.9,9617.2,42.3
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,down,120.982,5.8,17334.4,101.6
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,32.720,1.6,200.3,106.4
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,16.628,0.8,197.1,104.7
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,combine,2.724,0.1,0.0,45.1
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,block,626.370,30.1,,
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router,4.251,0.2,617.9,619.1
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router.sum,0.816,0.0,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,route,5.799,0.3,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.up,2.951,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.down,3.004,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,up,259.240,12.4,8089.6,71.1
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,down,85.225,4.1,12303.6,144.2
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.up,14.487,0.7,452.4,240.3
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.down,10.310,0.5,317.8,168.8
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,combine,2.788,0.1,0.0,44.1
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,block,388.871,18.7,,
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router,4.297,0.2,611.3,612.4
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.816,0.0,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,route,5.816,0.3,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.961,0.1,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,up,259.132,12.4,8093.0,71.1
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,down,87.745,4.2,11950.3,140.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,14.005,0.7,467.9,248.6
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,10.088,0.5,324.8,172.6
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,combine,2.715,0.1,0.0,45.3
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,block,387.575,18.6,,
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,router,4.327,0.2,607.0,608.2
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.818,0.0,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,route,5.799,0.3,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.up,3.063,0.1,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.999,0.1,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,up,481.941,23.1,8702.9,38.2
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,down,99.188,4.8,21143.2,123.9
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,32.207,1.5,203.5,108.1
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,16.663,0.8,196.7,104.5
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,combine,2.727,0.1,0.0,45.1
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,block,649.732,31.2,,
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router,4.252,0.2,617.7,618.9
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.821,0.0,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,route,5.806,0.3,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.949,0.1,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,up,259.493,12.5,8081.7,71.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,down,94.463,4.5,11100.4,130.1
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,14.008,0.7,467.8,248.5
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,10.014,0.5,327.2,173.8
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,combine,2.743,0.1,0.0,44.8
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,block,394.549,18.9,,
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router,4.303,0.2,610.4,611.6
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.821,0.0,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,route,5.803,0.3,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.up,3.063,0.1,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.992,0.1,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,up,483.712,23.2,8671.1,38.1
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,down,121.459,5.8,17266.3,101.2
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,32.198,1.5,203.5,108.1
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,16.645,0.8,196.9,104.6
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,combine,2.721,0.1,0.0,45.2
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,block,673.717,32.3,,
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,router,4.364,0.2,601.9,603.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,router.sum,0.817,0.0,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,route,5.802,0.3,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,perm.up,3.006,0.1,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,perm.down,3.182,0.2,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,up,359.423,17.3,11669.5,51.3
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,down,128.047,6.1,16378.0,96.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,shexp.up,33.876,1.6,193.5,102.8
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,shexp.down,17.295,0.8,189.5,100.7
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,combine,2.813,0.1,0.0,43.7
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,block,558.625,26.8,,
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,router,4.557,0.2,576.4,577.5
