op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
moe,gather,fp16,0,1,2367.095,0.0000,367.7081,2778.0,2778.0,2778.0,138.65,layer=route;mode=gather;tokens=1;rows=10;padrows=160;bm=16;readMB=0;writeMB=1
moe,gather,fp16,0,1,3845.505,0.0000,439.3701,2813.0,2813.0,2813.0,140.47,layer=route;mode=gather;tokens=1;rows=10;padrows=320;bm=32;readMB=0;writeMB=2
moe,gather,fp16,0,1,5735.495,0.0000,580.2463,2815.0,2815.0,2815.0,140.40,layer=route;mode=gather;tokens=1;rows=10;padrows=640;bm=64;readMB=0;writeMB=3
moe,gather,fp16,0,512,193133.755,0.0000,357.1444,2818.2,2817.0,2820.0,139.17,layer=route;mode=gather;tokens=512;rows=5120;padrows=8352;bm=16;readMB=26;writeMB=43
moe,gather,fp16,0,512,379869.155,0.0000,289.8379,2824.4,2821.0,2827.0,135.90,layer=route;mode=gather;tokens=512;rows=5120;padrows=16384;bm=32;readMB=26;writeMB=84
moe,gather,fp16,0,512,796782.095,0.0000,243.4625,2834.4,2829.0,2839.0,128.69,layer=route;mode=gather;tokens=512;rows=5120;padrows=32768;bm=64;readMB=26;writeMB=168
moe,gather,fp16,0,2048,623231.345,0.0000,368.3060,2844.4,2841.0,2848.0,121.44,layer=route;mode=gather;tokens=2048;rows=20480;padrows=24352;bm=16;readMB=105;writeMB=125
moe,gather,fp16,0,2048,826104.605,0.0000,316.3338,2853.0,2849.0,2857.0,116.01,layer=route;mode=gather;tokens=2048;rows=20480;padrows=30560;bm=32;readMB=105;writeMB=156
moe,gather,fp16,0,2048,904298.975,0.0000,301.4819,2861.4,2858.0,2865.0,109.91,layer=route;mode=gather;tokens=2048;rows=20480;padrows=32768;bm=64;readMB=105;writeMB=168
moe,gather,fp16,0,8192,3647848.881,0.0000,235.3052,2872.9,2866.0,2879.0,99.71,layer=route;mode=gather;tokens=8192;rows=81920;padrows=85728;bm=16;readMB=419;writeMB=439
moe,gather,fp16,0,8192,3753859.937,0.0000,234.6832,2876.6,2871.0,2882.0,90.45,layer=route;mode=gather;tokens=8192;rows=81920;padrows=90144;bm=32;readMB=419;writeMB=462
moe,gather,fp16,0,8192,4010589.833,0.0000,230.3227,2886.0,2882.0,2889.0,83.64,layer=route;mode=gather;tokens=8192;rows=81920;padrows=98496;bm=64;readMB=419;writeMB=504
moe,combine,fp16,0,1,4169.520,0.0000,13.5076,2889.0,2889.0,2889.0,82.03,layer=route;mode=combine;tokens=1;rows=10;padrows=1;bm=16;readMB=0;writeMB=0
moe,combine,fp16,0,512,39440.735,0.0000,731.1182,2889.8,2889.0,2890.0,83.47,layer=route;mode=combine;tokens=512;rows=5120;padrows=512;bm=16;readMB=26;writeMB=3
moe,combine,fp16,0,2048,519078.855,0.0000,222.2078,2879.7,2879.0,2881.0,83.75,layer=route;mode=combine;tokens=2048;rows=20480;padrows=2048;bm=16;readMB=105;writeMB=10
moe,combine,fp16,0,8192,2074095.205,0.0000,222.4456,2884.6,2881.0,2888.0,82.57,layer=route;mode=combine;tokens=8192;rows=81920;padrows=8192;bm=16;readMB=419;writeMB=42
moe,moe_reg64_bt_hka4_padab128,fp16,0,1,131415.890,249.3458,286.7477,2815.3,2814.0,2816.0,128.46,layer=moe.gate_up;mode=grouped;tokens=1;rows=10;padrows=640;tile=64x64x64;wave=64;ai=32;strideB=5376B;gcd4K=256;tiles=100;dispatches=1;wgperdispatch=100;useful=2%;exec_gflops=15958;weightGBps=249;actGBps=37
moe,moe_reg64_bt_hka4_padab128,fp16,0,1,542952.615,60.3515,69.4042,2822.6,2818.0,2827.0,125.82,layer=moe.gate_up;mode=per_expert;tokens=1;rows=10;padrows=640;tile=64x64x64;wave=64;ai=32;strideB=5376B;gcd4K=256;tiles=100;dispatches=10;wgperdispatch=10;useful=2%;exec_gflops=3862;weightGBps=60;actGBps=9
moe,moe_reg64_bt_hka4_padab128,fp16,0,512,8854573.071,1894.7515,217.8964,2845.2,2830.0,2857.0,123.08,layer=moe.gate_up;mode=grouped;tokens=512;rows=5120;padrows=32768;tile=64x64x64;wave=64;ai=32;strideB=5376B;gcd4K=256;tiles=5120;dispatches=1;wgperdispatch=5120;useful=16%;exec_gflops=12126;weightGBps=189;actGBps=28
