chunk,tokens,nll,ppl,stderr,seconds
1,2047,0.230055,1.2587,0.0244,7.20
2,4094,0.678231,1.9704,0.0513,7.07
3,6141,0.651062,1.9176,0.0394,6.41
4,8188,0.744347,2.1051,0.0394,6.10
5,10235,0.898710,2.4564,0.0446,6.55
6,12282,1.014754,2.7587,0.0480,6.56
7,14329,1.094738,2.9884,0.0495,6.42
8,16376,1.160638,3.1920,0.0501,6.22
9,18423,1.200761,3.3226,0.0495,6.13
10,20470,1.176484,3.2430,0.0458,6.42
11,22517,1.137376,3.1186,0.0416,6.52
12,24564,1.093560,2.9849,0.0374,6.38
13,26611,1.070239,2.9161,0.0348,6.32
14,28658,1.146377,3.1468,0.0377,6.80
15,30705,1.158814,3.1862,0.0369,6.63
16,32752,1.159315,3.1878,0.0356,6.25
17,34799,1.180672,3.2566,0.0354,6.25
18,36846,1.196351,3.3080,0.0351,6.34
19,38893,1.190425,3.2885,0.0338,6.10
20,40940,1.186478,3.2755,0.0326,5.86
21,42987,1.207642,3.3456,0.0329,6.06
22,45034,1.258716,3.5209,0.0347,6.58
23,47081,1.241252,3.4599,0.0331,6.49
24,49128,1.267337,3.5514,0.0336,6.29
25,51175,1.275332,3.5799,0.0332,6.18
26,53222,1.278359,3.5907,0.0327,6.14
27,55269,1.283465,3.6091,0.0322,6.00
28,57316,1.286175,3.6189,0.0317,5.72
29,59363,1.282584,3.6059,0.0309,5.49
30,61410,1.287645,3.6242,0.0306,6.04
31,63457,1.305361,3.6890,0.0308,6.29
32,65504,1.326630,3.7683,0.0312,6.19
33,67551,1.336893,3.8072,0.0312,6.08
34,69598,1.335249,3.8009,0.0306,5.94
35,71645,1.340128,3.8195,0.0304,5.93
36,73692,1.334041,3.7964,0.0297,6.03
37,75739,1.350074,3.8577,0.0299,6.23
38,77786,1.349146,3.8541,0.0294,5.92
39,79833,1.354351,3.8742,0.0292,5.89
40,81880,1.352288,3.8663,0.0287,6.16
41,83927,1.334766,3.7991,0.0277,5.90
42,85974,1.318728,3.7387,0.0268,5.50
43,88021,1.324852,3.7616,0.0267,5.92
44,90068,1.327724,3.7724,0.0264,5.77
45,92115,1.325967,3.7658,0.0260,6.13
46,94162,1.343799,3.8336,0.0264,6.34
47,96209,1.352855,3.8685,0.0265,6.30
48,98256,1.368988,3.9314,0.0268,6.11
49,100303,1.375364,3.9565,0.0267,6.11
50,102350,1.381124,3.9794,0.0267,6.19
51,104397,1.371255,3.9403,0.0261,6.14
52,106444,1.359333,3.8936,0.0254,6.22
53,108491,1.352023,3.8652,0.0250,6.11
54,110538,1.351229,3.8622,0.0247,6.19
55,112585,1.353119,3.8695,0.0246,6.07
56,114632,1.351956,3.8650,0.0243,5.99
57,116679,1.362806,3.9071,0.0245,6.21
58,118726,1.371035,3.9394,0.0245,6.20
59,120773,1.373730,3.9501,0.0244,6.07
60,122820,1.381453,3.9807,0.0244,6.06
61,124867,1.383830,3.9902,0.0243,6.00
62,126914,1.389497,4.0128,0.0244,5.96
63,128961,1.393707,4.0298,0.0243,6.13
64,131008,1.393726,4.0298,0.0241,6.00
65,133055,1.395844,4.0384,0.0240,5.83
66,135102,1.386349,4.0002,0.0235,6.06
67,137149,1.382545,3.9850,0.0232,6.07
68,139196,1.382119,3.9833,0.0230,6.14
69,141243,1.374730,3.9540,0.0227,5.70
70,143290,1.383065,3.9871,0.0228,6.11
71,145337,1.370192,3.9361,0.0222,6.12
72,147384,1.370973,3.9392,0.0221,6.21
