depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.6990,7456.0
0,pp,moe.down,48.0,0.2606,2779.5
0,pp,dn.qkv,36.0,0.0865,1229.6
0,pp,hc.down,97.0,0.0596,314.6
0,pp,hc.cn,94.0,0.0424,231.2
0,pp,dn.out,36.0,0.0306,434.9
0,pp,hc.up,97.0,0.0303,159.8
0,pp,dn.scan,36.0,0.0295,419.0
0,pp,moe.combine,48.0,0.0286,304.8
0,pp,attn.qkv,12.0,0.0264,1124.9
0,pp,moe.shexp.up,48.0,0.0236,252.0
0,pp,attn.expand,12.0,0.0141,603.7
0,pp,dn.conv,36.0,0.0122,172.9
0,pp,moe.router,48.0,0.0117,125.2
0,pp,attn.out,12.0,0.0114,488.1
0,pp,dn.norm,36.0,0.0089,126.2
0,pp,attn.attn,12.0,0.0085,363.5
0,pp,attn.score,12.0,0.0071,304.5
0,pp,moe.shexp.down,48.0,0.0064,68.3
0,pp,move,196.0,0.0063,16.5
0,pp,head.head,1.0,0.0051,2635.9
0,pp,attn.pack,12.0,0.0029,122.1
0,pp,ple.kv,1.0,0.0025,1277.2
0,pp,attn.idx,12.0,0.0019,79.2
0,pp,moe.route,48.0,0.0018,19.3
0,pp,attn.select,12.0,0.0017,72.7
0,pp,moe.perm.up,48.0,0.0017,17.8
0,pp,hc.norm,3.0,0.0014,246.4
0,pp,ple.gate,1.0,0.0009,457.3
0,pp,ple.conv,1.0,0.0008,391.0
0,pp,hc.combine,2.0,0.0006,147.4
0,pp,dn.hist,36.0,0.0003,3.7
0,pp,ple.hist,1.0,0.0000,2.7
0,pp,hc.down_reduce,1.0,0.0000,1.4
0,tg,moe.up,48.0,5.2759,109.9
0,tg,dn.qkv,36.0,4.0618,112.8
0,tg,moe.down,48.0,2.5100,52.3
0,tg,head.head,1.0,2.3712,2371.2
0,tg,dn.out,36.0,1.9642,54.6
0,tg,hc.up,97.0,1.7587,18.1
0,tg,attn.qkv,12.0,1.4268,118.9
0,tg,hc.down,97.0,1.3446,13.9
0,tg,attn.out,12.0,0.7762,64.7
0,tg,moe.shexp.up,48.0,0.7382,15.4
0,tg,moe.router,48.0,0.7214,15.0
0,tg,dn.scan,36.0,0.6604,18.3
0,tg,hc.cn,94.0,0.6424,6.8
0,tg,move,196.0,0.6036,3.1
0,tg,moe.shexp.down,48.0,0.4655,9.7
0,tg,attn.attn.split,12.0,0.3505,29.2
0,tg,moe.route,48.0,0.2785,5.8
0,tg,ple.kv,1.0,0.2511,251.1
0,tg,moe.combine,48.0,0.1535,3.2
0,tg,dn.conv,36.0,0.1453,4.0
0,tg,moe.perm.up,48.0,0.1370,2.9
0,tg,dn.norm,36.0,0.1203,3.3
0,tg,hc.down_reduce,97.0,0.1197,1.2
0,tg,attn.score,12.0,0.1157,9.6
0,tg,attn.select,12.0,0.0926,7.7
0,tg,attn.pack,12.0,0.0909,7.6
0,tg,attn.attn.combine,12.0,0.0698,5.8
0,tg,moe.router.sum,48.0,0.0670,1.4
0,tg,dn.qkv.sum,36.0,0.0599,1.7
0,tg,dn.out.sum,36.0,0.0584,1.6
0,tg,dn.hist,36.0,0.0500,1.4
0,tg,attn.idx,12.0,0.0374,3.1
0,tg,attn.expand,12.0,0.0277,2.3
0,tg,hc.norm,3.0,0.0217,7.2
0,tg,attn.out.sum,12.0,0.0214,1.8
0,tg,attn.qkv.sum,12.0,0.0184,1.5
0,tg,ple.gate,1.0,0.0158,15.8
0,tg,hc.combine,2.0,0.0070,3.5
0,tg,ple.conv,1.0,0.0041,4.1
0,tg,ple.hist,1.0,0.0014,1.4
8000,pp,moe.up,48.0,0.7655,8165.4
8000,pp,moe.down,48.0,0.2866,3057.4
8000,pp,attn.attn,12.0,0.1390,5931.2
8000,pp,dn.qkv,36.0,0.0862,1226.4
8000,pp,hc.down,97.0,0.0593,313.1
8000,pp,hc.cn,94.0,0.0418,227.4
8000,pp,dn.out,36.0,0.0308,438.3
8000,pp,hc.up,97.0,0.0304,160.2
8000,pp,dn.scan,36.0,0.0294,418.5
8000,pp,moe.combine,48.0,0.0285,303.7
8000,pp,attn.qkv,12.0,0.0264,1126.2
8000,pp,moe.shexp.up,48.0,0.0236,251.7
8000,pp,attn.expand,12.0,0.0157,668.0
8000,pp,attn.select,12.0,0.0126,539.2
8000,pp,dn.conv,36.0,0.0122,172.8
8000,pp,moe.router,48.0,0.0118,125.4
8000,pp,attn.out,12.0,0.0111,475.4
8000,pp,attn.score,12.0,0.0104,445.1
8000,pp,dn.norm,36.0,0.0088,125.3
8000,pp,moe.shexp.down,48.0,0.0064,68.2
8000,pp,move,196.0,0.0063,16.5
8000,pp,head.head,1.0,0.0051,2630.1
8000,pp,attn.pack,12.0,0.0029,123.2
8000,pp,ple.kv,1.0,0.0024,1231.5
8000,pp,moe.route,48.0,0.0018,19.5
8000,pp,moe.perm.up,48.0,0.0017,18.1
8000,pp,hc.norm,3.0,0.0013,222.8
8000,pp,ple.gate,1.0,0.0009,448.7
8000,pp,ple.conv,1.0,0.0008,392.4
8000,pp,hc.combine,2.0,0.0006,151.9
8000,pp,dn.hist,36.0,0.0003,3.8
8000,pp,attn.idx,12.0,0.0002,9.0
8000,pp,ple.hist,1.0,0.0000,2.5
8000,pp,hc.down_reduce,1.0,0.0000,1.4
8000,tg,moe.up,48.0,5.3016,110.4
8000,tg,dn.qkv,36.0,4.0700,113.1
8000,tg,moe.down,48.0,2.5201,52.5
8000,tg,head.head,1.0,2.3851,2385.1
8000,tg,dn.out,36.0,1.9658,54.6
8000,tg,attn.attn.split,12.0,1.9242,160.4
8000,tg,hc.up,97.0,1.7676,18.2
8000,tg,attn.qkv,12.0,1.4283,119.0
8000,tg,hc.down,97.0,1.3509,13.9
8000,tg,moe.shexp.up,48.0,0.7420,15.5
8000,tg,moe.router,48.0,0.7316,15.2
8000,tg,dn.scan,36.0,0.6627,18.4
8000,tg,attn.out,12.0,0.6580,54.8
8000,tg,hc.cn,94.0,0.6515,6.9
8000,tg,move,196.0,0.6130,3.1
8000,tg,moe.shexp.down,48.0,0.4642,9.7
8000,tg,moe.route,48.0,0.2802,5.8
8000,tg,ple.kv,1.0,0.2536,253.6
8000,tg,attn.select,12.0,0.2126,17.7
8000,tg,moe.combine,48.0,0.1555,3.2
8000,tg,dn.conv,36.0,0.1465,4.1
8000,tg,attn.score,12.0,0.1428,11.9
8000,tg,moe.perm.up,48.0,0.1377,2.9
8000,tg,dn.norm,36.0,0.1238,3.4
8000,tg,hc.down_reduce,97.0,0.1208,1.2
8000,tg,attn.pack,12.0,0.0915,7.6
8000,tg,attn.attn.combine,12.0,0.0687,5.7
8000,tg,moe.router.sum,48.0,0.0681,1.4
8000,tg,dn.qkv.sum,36.0,0.0610,1.7
8000,tg,dn.out.sum,36.0,0.0598,1.7
8000,tg,dn.hist,36.0,0.0504,1.4
8000,tg,attn.idx,12.0,0.0378,3.2
8000,tg,attn.expand,12.0,0.0317,2.6
8000,tg,hc.norm,3.0,0.0226,7.5
8000,tg,attn.out.sum,12.0,0.0212,1.8
8000,tg,attn.qkv.sum,12.0,0.0186,1.6
8000,tg,ple.gate,1.0,0.0157,15.7
8000,tg,hc.combine,2.0,0.0077,3.8
8000,tg,ple.conv,1.0,0.0041,4.1
8000,tg,ple.hist,1.0,0.0014,1.4
16000,pp,moe.up,48.0,0.7236,7717.9
16000,pp,moe.down,48.0,0.2691,2870.7
16000,pp,attn.attn,12.0,0.2308,9848.5
16000,pp,dn.qkv,36.0,0.0868,1234.0
16000,pp,hc.down,97.0,0.0600,316.8
16000,pp,hc.cn,94.0,0.0417,227.4
16000,pp,attn.select,12.0,0.0315,1342.3
16000,pp,dn.out,36.0,0.0310,441.0
16000,pp,hc.up,97.0,0.0304,160.3
16000,pp,dn.scan,36.0,0.0296,421.0
16000,pp,moe.combine,48.0,0.0286,305.0
16000,pp,attn.qkv,12.0,0.0267,1137.2
16000,pp,moe.shexp.up,48.0,0.0237,252.8
16000,pp,attn.expand,12.0,0.0164,699.6
16000,pp,attn.score,12.0,0.0139,593.1
16000,pp,dn.conv,36.0,0.0122,173.3
16000,pp,moe.router,48.0,0.0117,124.9
16000,pp,attn.out,12.0,0.0111,475.6
16000,pp,dn.norm,36.0,0.0089,126.6
16000,pp,moe.shexp.down,48.0,0.0064,68.2
16000,pp,move,196.0,0.0064,16.6
16000,pp,head.head,1.0,0.0051,2603.5
16000,pp,attn.pack,12.0,0.0029,123.3
16000,pp,ple.kv,1.0,0.0025,1273.2
16000,pp,moe.route,48.0,0.0018,19.4
16000,pp,moe.perm.up,48.0,0.0017,18.1
16000,pp,hc.norm,3.0,0.0013,219.4
16000,pp,ple.gate,1.0,0.0009,462.4
16000,pp,ple.conv,1.0,0.0008,396.7
16000,pp,hc.combine,2.0,0.0007,167.3
16000,pp,dn.hist,36.0,0.0003,3.8
16000,pp,attn.idx,12.0,0.0002,10.4
16000,pp,ple.hist,1.0,0.0000,2.6
16000,pp,hc.down_reduce,1.0,0.0000,1.4
16000,tg,moe.up,48.0,5.3144,110.7
16000,tg,dn.qkv,36.0,4.0815,113.4
16000,tg,moe.down,48.0,2.5174,52.4
16000,tg,attn.attn.split,12.0,2.4219,201.8
16000,tg,head.head,1.0,2.3852,2385.2
16000,tg,dn.out,36.0,1.9692,54.7
16000,tg,hc.up,97.0,1.7719,18.3
16000,tg,attn.qkv,12.0,1.4308,119.2
16000,tg,hc.down,97.0,1.3538,14.0
16000,tg,moe.shexp.up,48.0,0.7435,15.5
16000,tg,moe.router,48.0,0.7311,15.2
16000,tg,dn.scan,36.0,0.6674,18.5
16000,tg,hc.cn,94.0,0.6585,7.0
16000,tg,attn.out,12.0,0.6440,53.7
16000,tg,move,196.0,0.6201,3.2
16000,tg,moe.shexp.down,48.0,0.4662,9.7
16000,tg,attn.select,12.0,0.3373,28.1
16000,tg,ple.kv,1.0,0.2845,284.5
16000,tg,moe.route,48.0,0.2802,5.8
16000,tg,attn.score,12.0,0.1882,15.7
16000,tg,moe.combine,48.0,0.1565,3.3
16000,tg,dn.conv,36.0,0.1476,4.1
16000,tg,moe.perm.up,48.0,0.1382,2.9
16000,tg,dn.norm,36.0,0.1249,3.5
16000,tg,hc.down_reduce,97.0,0.1209,1.2
16000,tg,attn.pack,12.0,0.0917,7.6
16000,tg,attn.attn.combine,12.0,0.0716,6.0
16000,tg,moe.router.sum,48.0,0.0682,1.4
16000,tg,dn.qkv.sum,36.0,0.0615,1.7
16000,tg,dn.out.sum,36.0,0.0605,1.7
16000,tg,dn.hist,36.0,0.0504,1.4
16000,tg,attn.idx,12.0,0.0381,3.2
16000,tg,attn.expand,12.0,0.0358,3.0
16000,tg,hc.norm,3.0,0.0231,7.7
16000,tg,attn.out.sum,12.0,0.0217,1.8
16000,tg,attn.qkv.sum,12.0,0.0187,1.6
16000,tg,ple.gate,1.0,0.0175,17.5
16000,tg,hc.combine,2.0,0.0085,4.2
16000,tg,ple.conv,1.0,0.0044,4.4
16000,tg,ple.hist,1.0,0.0015,1.6
32000,pp,moe.up,48.0,0.6914,7375.4
32000,pp,attn.attn,12.0,0.3295,14057.6
32000,pp,moe.down,48.0,0.2564,2734.8
32000,pp,dn.qkv,36.0,0.0864,1228.7
32000,pp,attn.select,12.0,0.0633,2702.5
32000,pp,hc.down,97.0,0.0601,317.3
32000,pp,hc.cn,94.0,0.0417,227.0
32000,pp,dn.out,36.0,0.0311,441.9
32000,pp,hc.up,97.0,0.0303,160.0
32000,pp,dn.scan,36.0,0.0296,420.5
32000,pp,moe.combine,48.0,0.0287,305.9
32000,pp,attn.qkv,12.0,0.0265,1131.6
32000,pp,moe.shexp.up,48.0,0.0237,253.2
32000,pp,attn.score,12.0,0.0217,927.3
32000,pp,attn.expand,12.0,0.0175,747.7
32000,pp,dn.conv,36.0,0.0122,173.2
32000,pp,moe.router,48.0,0.0118,125.9
