depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,740.8,691.17,1.447,0.134,0.004,0.168,0.073,1.033,0.005,0.006,0.011,0.005,1.424
0,tg,64,1824.9,35.07,28.513,3.885,0.272,7.096,3.012,10.364,2.379,0.602,0.522,0.098,27.611
8000,pp,512,882.6,580.11,1.724,0.133,0.004,0.168,0.222,1.124,0.005,0.006,0.056,0.004,1.662
8000,tg,64,1985.1,32.24,31.017,3.899,0.278,7.113,4.757,10.401,2.375,0.612,1.193,0.112,29.436
16000,pp,512,918.1,557.66,1.793,0.134,0.004,0.168,0.334,1.064,0.005,0.006,0.070,0.005,1.716
16000,tg,64,2059.8,31.07,32.184,3.930,0.313,7.176,5.514,10.457,2.366,0.620,1.402,0.119,30.378
32000,pp,512,960.9,532.85,1.877,0.135,0.004,0.168,0.467,1.024,0.005,0.007,0.061,0.004,1.810
32000,tg,64,2181.9,29.33,34.092,3.978,0.378,7.221,6.616,10.592,2.450,0.642,1.790,0.129,31.878
64000,pp,512,1157.5,442.34,2.261,0.133,0.004,0.168,0.815,1.061,0.005,0.006,0.062,0.004,2.193
64000,tg,64,2388.4,26.80,37.319,4.102,0.288,7.417,8.142,10.764,2.421,0.653,3.121,0.091,33.788
