depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,740.4,691.53,1.446,0.134,0.004,0.167,0.074,1.033,0.005,0.006,0.011,0.004,1.424
0,tg,64,1823.1,35.11,28.486,3.886,0.274,7.112,3.031,10.337,2.363,0.605,0.498,0.104,27.610
8000,pp,512,884.4,578.92,1.727,0.134,0.004,0.167,0.219,1.126,0.005,0.006,0.060,0.004,1.662
8000,tg,64,1970.7,32.47,30.793,3.904,0.274,7.132,4.634,10.367,2.371,0.612,1.080,0.130,29.295
16000,pp,512,917.3,558.16,1.792,0.133,0.004,0.168,0.333,1.065,0.005,0.006,0.071,0.005,1.714
16000,tg,64,2040.8,31.36,31.887,3.929,0.304,7.143,5.299,10.388,2.413,0.618,1.383,0.122,30.094
32000,pp,512,963.5,531.41,1.882,0.133,0.004,0.169,0.471,1.025,0.005,0.006,0.063,0.004,1.813
32000,tg,64,2153.5,29.72,33.648,3.990,0.382,7.241,6.198,10.559,2.509,0.643,1.715,0.123,31.522
64000,pp,512,1163.5,440.06,2.272,0.133,0.004,0.168,0.826,1.061,0.005,0.006,0.062,0.005,2.204
64000,tg,64,2314.1,27.66,36.157,4.072,0.303,7.368,7.267,10.681,2.402,0.655,3.008,0.094,32.750
