depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1830.0,1119.13,0.894,0.142,0.003,0.156,0.083,0.479,0.001,0.016,0.009,0.003,0.879
0,tg,8,262.1,30.52,32.762,3.961,0.281,8.569,3.998,10.548,2.354,1.070,1.577,0.113,30.781
8000,pp,2048,2201.5,930.25,1.075,0.141,0.003,0.156,0.216,0.488,0.001,0.016,0.050,0.004,1.021
8000,tg,8,274.1,29.19,34.262,3.962,0.271,8.506,5.421,10.476,2.358,1.078,1.759,0.131,32.074
16000,pp,2048,2364.7,866.06,1.155,0.142,0.003,0.156,0.318,0.464,0.001,0.016,0.050,0.004,1.100
16000,tg,8,283.1,28.26,35.382,3.971,0.346,8.536,5.985,10.515,2.452,1.095,2.040,0.121,32.902
32000,pp,2048,2641.1,775.45,1.290,0.142,0.003,0.157,0.462,0.458,0.001,0.016,0.046,0.004,1.239
32000,tg,8,292.7,27.33,36.586,3.978,0.347,8.525,6.749,10.554,2.358,1.092,2.570,0.126,33.605
64000,pp,2048,3188.8,642.25,1.557,0.142,0.003,0.157,0.727,0.461,0.001,0.016,0.045,0.004,1.508
64000,tg,8,312.3,25.62,39.036,4.056,0.335,8.582,7.808,10.643,2.364,1.128,3.610,0.160,34.917
