depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1786.1,1146.61,0.872,0.121,0.003,0.156,0.083,0.478,0.001,0.016,0.009,0.003,0.858
0,tg,8,273.9,29.21,34.233,5.576,0.271,8.510,3.953,10.346,2.354,1.072,1.665,0.129,32.084
8000,pp,2048,2158.9,948.63,1.054,0.121,0.003,0.156,0.217,0.486,0.001,0.016,0.049,0.004,1.001
8000,tg,8,289.1,27.68,36.132,5.626,0.270,8.531,5.433,10.511,2.351,1.094,1.799,0.208,33.817
16000,pp,2048,2319.0,883.13,1.132,0.121,0.003,0.157,0.319,0.462,0.001,0.016,0.050,0.003,1.078
16000,tg,8,296.9,26.94,37.114,5.644,0.328,8.624,6.010,10.614,2.367,1.099,1.998,0.129,34.687
32000,pp,2048,2591.1,790.39,1.265,0.121,0.003,0.157,0.462,0.455,0.001,0.016,0.046,0.003,1.215
32000,tg,8,309.8,25.82,38.729,5.671,0.270,8.587,6.959,10.440,2.615,1.121,2.514,0.172,35.665
64000,pp,2048,3131.6,653.99,1.529,0.121,0.003,0.157,0.726,0.459,0.001,0.016,0.042,0.003,1.483
64000,tg,8,322.4,24.81,40.300,5.718,0.282,8.581,7.808,10.521,2.367,1.114,3.391,0.134,36.391
