depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2901,12377.6
0,pp,moe.down,48.0,0.1344,5733.2
0,pp,dn.qkv,36.0,0.0749,4263.0
0,pp,hc.cn,94.0,0.0584,1272.4
0,pp,hc.up,97.0,0.0342,722.3
0,pp,dn.scan,36.0,0.0297,1687.3
0,pp,dn.out,36.0,0.0280,1590.5
0,pp,moe.combine,48.0,0.0279,1192.4
0,pp,hc.down,97.0,0.0266,561.4
0,pp,attn.qkv,12.0,0.0222,3785.6
0,pp,attn.attn,12.0,0.0189,3218.4
0,pp,attn.expand,12.0,0.0181,3082.5
0,pp,move,196.0,0.0158,165.4
0,pp,dn.conv,36.0,0.0133,757.9
0,pp,moe.shexp.up,48.0,0.0127,541.1
0,pp,dn.norm,36.0,0.0103,584.4
0,pp,attn.out,12.0,0.0093,1586.1
0,pp,attn.score,12.0,0.0081,1374.9
0,pp,moe.shexp.down,48.0,0.0058,246.9
0,pp,moe.router,48.0,0.0040,169.2
0,pp,attn.pack,12.0,0.0030,519.8
0,pp,attn.select,12.0,0.0025,428.2
0,pp,ple.kv,1.0,0.0018,3731.2
0,pp,moe.perm.up,48.0,0.0015,62.0
0,pp,hc.combine,2.0,0.0013,1349.8
0,pp,head.head,1.0,0.0012,2481.4
0,pp,moe.route,48.0,0.0012,51.0
0,pp,hc.norm,3.0,0.0009,630.6
0,pp,ple.gate,1.0,0.0009,1804.3
0,pp,ple.conv,1.0,0.0007,1526.4
0,pp,attn.idx,12.0,0.0007,122.3
0,pp,dn.hist,36.0,0.0001,4.1
0,pp,ple.hist,1.0,0.0000,2.6
0,pp,hc.down_reduce,1.0,0.0000,1.3
0,tg,moe.up,48.0,5.2752,109.9
0,tg,dn.qkv,36.0,4.3629,121.2
0,tg,moe.down,48.0,2.5081,52.3
0,tg,dn.out,36.0,2.4888,69.1
0,tg,head.head,1.0,2.3544,2354.4
0,tg,hc.cn,94.0,2.2921,24.4
0,tg,hc.up,97.0,1.7796,18.3
0,tg,attn.qkv,12.0,1.5325,127.7
0,tg,hc.down,97.0,1.3490,13.9
0,tg,dn.scan,36.0,1.1749,32.6
0,tg,attn.attn.split,12.0,1.0753,89.6
0,tg,move,196.0,1.0724,5.5
0,tg,attn.out,12.0,0.8039,67.0
0,tg,moe.shexp.up,48.0,0.7355,15.3
0,tg,moe.router,48.0,0.7244,15.1
0,tg,moe.shexp.down,48.0,0.4713,9.8
0,tg,moe.route,48.0,0.2802,5.8
0,tg,ple.kv,1.0,0.2500,250.1
0,tg,dn.conv,36.0,0.1845,5.1
0,tg,moe.combine,48.0,0.1465,3.1
0,tg,moe.perm.up,48.0,0.1386,2.9
0,tg,attn.score,12.0,0.1300,10.8
0,tg,dn.norm,36.0,0.1280,3.6
0,tg,attn.select,12.0,0.1263,10.5
0,tg,hc.down_reduce,97.0,0.1235,1.3
0,tg,attn.pack,12.0,0.0925,7.7
0,tg,attn.attn.combine,12.0,0.0681,5.7
0,tg,dn.qkv.sum,36.0,0.0673,1.9
0,tg,moe.router.sum,48.0,0.0655,1.4
0,tg,dn.out.sum,36.0,0.0590,1.6
0,tg,attn.idx,12.0,0.0519,4.3
0,tg,dn.hist,36.0,0.0442,1.2
0,tg,attn.expand,12.0,0.0294,2.5
0,tg,hc.norm,3.0,0.0235,7.8
0,tg,attn.out.sum,12.0,0.0216,1.8
0,tg,attn.qkv.sum,12.0,0.0213,1.8
0,tg,ple.gate,1.0,0.0160,16.0
0,tg,hc.combine,2.0,0.0083,4.2
0,tg,ple.conv,1.0,0.0041,4.2
0,tg,ple.hist,1.0,0.0011,1.2
8000,pp,moe.up,48.0,0.2954,12603.7
8000,pp,moe.down,48.0,0.1373,5856.2
8000,pp,attn.attn,12.0,0.1368,23346.0
8000,pp,dn.qkv,36.0,0.0752,4276.3
8000,pp,hc.cn,94.0,0.0584,1272.0
8000,pp,hc.up,97.0,0.0343,724.4
8000,pp,dn.scan,36.0,0.0296,1683.5
8000,pp,moe.combine,48.0,0.0280,1196.6
8000,pp,dn.out,36.0,0.0277,1574.4
8000,pp,hc.down,97.0,0.0267,563.2
8000,pp,attn.qkv,12.0,0.0223,3812.1
8000,pp,attn.expand,12.0,0.0202,3442.0
8000,pp,move,196.0,0.0158,165.0
8000,pp,attn.select,12.0,0.0136,2327.7
8000,pp,dn.conv,36.0,0.0134,760.1
8000,pp,moe.shexp.up,48.0,0.0126,536.0
8000,pp,attn.score,12.0,0.0112,1909.8
8000,pp,dn.norm,36.0,0.0103,585.9
8000,pp,attn.out,12.0,0.0094,1611.7
8000,pp,moe.shexp.down,48.0,0.0058,247.6
8000,pp,moe.router,48.0,0.0040,169.6
8000,pp,attn.pack,12.0,0.0031,525.4
8000,pp,ple.kv,1.0,0.0018,3691.8
8000,pp,moe.perm.up,48.0,0.0015,62.1
8000,pp,hc.combine,2.0,0.0013,1346.1
8000,pp,head.head,1.0,0.0012,2478.3
8000,pp,moe.route,48.0,0.0012,51.0
8000,pp,ple.gate,1.0,0.0009,1812.0
8000,pp,hc.norm,3.0,0.0008,545.3
8000,pp,ple.conv,1.0,0.0007,1512.0
8000,pp,attn.idx,12.0,0.0002,40.3
8000,pp,dn.hist,36.0,0.0001,4.1
8000,pp,ple.hist,1.0,0.0000,2.3
8000,pp,hc.down_reduce,1.0,0.0000,1.3
8000,tg,moe.up,48.0,5.3670,111.8
8000,tg,dn.qkv,36.0,4.3674,121.3
8000,tg,moe.down,48.0,2.5400,52.9
8000,tg,attn.attn.split,12.0,2.5330,211.1
8000,tg,dn.out,36.0,2.5006,69.5
8000,tg,head.head,1.0,2.3508,2350.8
8000,tg,hc.cn,94.0,2.3080,24.6
8000,tg,hc.up,97.0,1.7965,18.5
8000,tg,attn.qkv,12.0,1.5422,128.5
8000,tg,hc.down,97.0,1.3640,14.1
8000,tg,dn.scan,36.0,1.1744,32.6
8000,tg,move,196.0,1.0939,5.6
8000,tg,moe.shexp.up,48.0,0.7442,15.5
8000,tg,moe.router,48.0,0.7411,15.4
8000,tg,attn.out,12.0,0.6408,53.4
8000,tg,moe.shexp.down,48.0,0.4768,9.9
8000,tg,moe.route,48.0,0.2820,5.9
8000,tg,ple.kv,1.0,0.2484,248.4
8000,tg,attn.select,12.0,0.2389,19.9
8000,tg,attn.score,12.0,0.1864,15.5
8000,tg,dn.conv,36.0,0.1852,5.1
8000,tg,moe.combine,48.0,0.1527,3.2
8000,tg,moe.perm.up,48.0,0.1403,2.9
8000,tg,dn.norm,36.0,0.1300,3.6
8000,tg,hc.down_reduce,97.0,0.1246,1.3
8000,tg,attn.pack,12.0,0.0925,7.7
8000,tg,attn.attn.combine,12.0,0.0710,5.9
8000,tg,dn.qkv.sum,36.0,0.0681,1.9
8000,tg,moe.router.sum,48.0,0.0663,1.4
8000,tg,dn.out.sum,36.0,0.0600,1.7
8000,tg,attn.idx,12.0,0.0511,4.3
8000,tg,dn.hist,36.0,0.0445,1.2
8000,tg,attn.expand,12.0,0.0341,2.8
8000,tg,hc.norm,3.0,0.0238,7.9
8000,tg,attn.out.sum,12.0,0.0217,1.8
8000,tg,attn.qkv.sum,12.0,0.0211,1.8
8000,tg,ple.gate,1.0,0.0159,16.0
8000,tg,hc.combine,2.0,0.0090,4.5
8000,tg,ple.conv,1.0,0.0040,4.0
8000,tg,ple.hist,1.0,0.0011,1.2
16000,pp,moe.up,48.0,0.2794,11919.2
16000,pp,attn.attn,12.0,0.2198,37509.4
16000,pp,moe.down,48.0,0.1293,5515.2
16000,pp,dn.qkv,36.0,0.0752,4279.9
16000,pp,hc.cn,94.0,0.0582,1267.3
16000,pp,hc.up,97.0,0.0342,723.1
16000,pp,dn.scan,36.0,0.0298,1692.6
16000,pp,attn.select,12.0,0.0287,4898.1
16000,pp,dn.out,36.0,0.0279,1588.6
16000,pp,moe.combine,48.0,0.0279,1190.5
16000,pp,hc.down,97.0,0.0267,563.8
16000,pp,attn.qkv,12.0,0.0223,3802.3
16000,pp,attn.expand,12.0,0.0209,3563.7
16000,pp,move,196.0,0.0157,164.0
16000,pp,attn.score,12.0,0.0142,2417.8
16000,pp,dn.conv,36.0,0.0133,758.8
16000,pp,moe.shexp.up,48.0,0.0126,538.3
16000,pp,dn.norm,36.0,0.0103,584.9
16000,pp,attn.out,12.0,0.0094,1609.1
16000,pp,moe.shexp.down,48.0,0.0058,248.7
16000,pp,moe.router,48.0,0.0040,170.3
16000,pp,attn.pack,12.0,0.0031,527.7
16000,pp,ple.kv,1.0,0.0018,3726.7
16000,pp,moe.perm.up,48.0,0.0014,61.7
16000,pp,hc.combine,2.0,0.0013,1346.2
16000,pp,head.head,1.0,0.0012,2523.1
16000,pp,moe.route,48.0,0.0012,51.2
16000,pp,ple.gate,1.0,0.0009,1797.1
16000,pp,hc.norm,3.0,0.0008,539.5
16000,pp,ple.conv,1.0,0.0008,1541.6
16000,pp,attn.idx,12.0,0.0002,40.0
16000,pp,dn.hist,36.0,0.0001,4.1
16000,pp,ple.hist,1.0,0.0000,2.4
16000,pp,hc.down_reduce,1.0,0.0000,1.3
16000,tg,moe.up,48.0,5.4221,113.0
16000,tg,dn.qkv,36.0,4.4156,122.7
16000,tg,attn.attn.split,12.0,2.8966,241.4
16000,tg,moe.down,48.0,2.5697,53.5
16000,tg,dn.out,36.0,2.5294,70.3
16000,tg,head.head,1.0,2.3666,2366.7
16000,tg,hc.cn,94.0,2.3200,24.7
16000,tg,hc.up,97.0,1.7988,18.5
16000,tg,attn.qkv,12.0,1.5469,128.9
16000,tg,hc.down,97.0,1.3690,14.1
16000,tg,dn.scan,36.0,1.1907,33.1
16000,tg,move,196.0,1.0994,5.6
16000,tg,moe.shexp.up,48.0,0.7542,15.7
16000,tg,moe.router,48.0,0.7491,15.6
16000,tg,attn.out,12.0,0.6424,53.5
16000,tg,moe.shexp.down,48.0,0.4791,10.0
16000,tg,attn.select,12.0,0.3649,30.4
16000,tg,ple.kv,1.0,0.3069,306.9
16000,tg,moe.route,48.0,0.2823,5.9
16000,tg,attn.score,12.0,0.2611,21.8
16000,tg,dn.conv,36.0,0.1851,5.1
16000,tg,moe.combine,48.0,0.1501,3.1
16000,tg,moe.perm.up,48.0,0.1399,2.9
16000,tg,dn.norm,36.0,0.1305,3.6
16000,tg,hc.down_reduce,97.0,0.1245,1.3
16000,tg,attn.pack,12.0,0.0927,7.7
16000,tg,attn.attn.combine,12.0,0.0717,6.0
16000,tg,dn.qkv.sum,36.0,0.0680,1.9
16000,tg,moe.router.sum,48.0,0.0665,1.4
16000,tg,dn.out.sum,36.0,0.0597,1.7
16000,tg,attn.idx,12.0,0.0519,4.3
16000,tg,dn.hist,36.0,0.0442,1.2
16000,tg,attn.expand,12.0,0.0381,3.2
16000,tg,attn.out.sum,12.0,0.0220,1.8
16000,tg,hc.norm,3.0,0.0214,7.2
16000,tg,attn.qkv.sum,12.0,0.0213,1.8
16000,tg,ple.gate,1.0,0.0160,16.1
16000,tg,hc.combine,2.0,0.0101,5.1
16000,tg,ple.conv,1.0,0.0040,4.0
16000,tg,ple.hist,1.0,0.0011,1.2
32000,pp,attn.attn,12.0,0.3246,55390.7
32000,pp,moe.up,48.0,0.2746,11718.3
32000,pp,moe.down,48.0,0.1272,5427.4
32000,pp,dn.qkv,36.0,0.0752,4279.6
32000,pp,hc.cn,94.0,0.0582,1267.9
32000,pp,attn.select,12.0,0.0565,9638.0
32000,pp,hc.up,97.0,0.0342,723.1
32000,pp,dn.scan,36.0,0.0298,1693.1
32000,pp,dn.out,36.0,0.0281,1595.8
32000,pp,moe.combine,48.0,0.0279,1191.6
32000,pp,hc.down,97.0,0.0267,563.8
