depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2908,12406.0
0,pp,moe.down,48.0,0.1351,5765.1
0,pp,hc.cn,94.0,0.0803,1748.9
0,pp,dn.qkv,36.0,0.0751,4271.2
0,pp,hc.up,97.0,0.0339,714.9
0,pp,dn.scan,36.0,0.0295,1678.6
0,pp,moe.combine,48.0,0.0280,1194.1
0,pp,dn.out,36.0,0.0275,1562.8
0,pp,hc.down,97.0,0.0254,536.0
0,pp,attn.qkv,12.0,0.0221,3777.7
0,pp,attn.attn,12.0,0.0189,3221.5
0,pp,attn.expand,12.0,0.0180,3070.3
0,pp,move,196.0,0.0158,164.9
0,pp,dn.conv,36.0,0.0133,758.6
0,pp,moe.shexp.up,48.0,0.0125,534.5
0,pp,dn.norm,36.0,0.0102,582.9
0,pp,attn.out,12.0,0.0093,1592.3
0,pp,attn.score,12.0,0.0080,1361.1
0,pp,moe.shexp.down,48.0,0.0058,246.5
0,pp,moe.router,48.0,0.0040,169.1
0,pp,attn.pack,12.0,0.0030,516.3
0,pp,attn.select,12.0,0.0025,430.8
0,pp,ple.kv,1.0,0.0018,3730.3
0,pp,moe.perm.up,48.0,0.0014,61.8
0,pp,hc.combine,2.0,0.0013,1355.7
0,pp,head.head,1.0,0.0012,2506.8
0,pp,moe.route,48.0,0.0012,50.9
0,pp,hc.norm,3.0,0.0009,632.9
0,pp,ple.gate,1.0,0.0009,1803.1
0,pp,ple.conv,1.0,0.0007,1524.0
0,pp,attn.idx,12.0,0.0007,121.7
0,pp,dn.hist,36.0,0.0001,3.9
0,pp,ple.hist,1.0,0.0000,2.5
0,pp,hc.down_reduce,1.0,0.0000,1.2
0,tg,moe.up,48.0,5.3875,112.2
0,tg,dn.qkv,36.0,4.3848,121.8
0,tg,moe.down,48.0,2.5534,53.2
0,tg,dn.out,36.0,2.5107,69.7
0,tg,head.head,1.0,2.3540,2354.0
0,tg,hc.up,97.0,1.7789,18.3
0,tg,attn.qkv,12.0,1.5564,129.7
0,tg,hc.down,97.0,1.3618,14.0
0,tg,dn.scan,36.0,1.1858,32.9
0,tg,attn.attn.split,12.0,1.0809,90.1
0,tg,move,196.0,1.0697,5.5
0,tg,attn.out,12.0,0.8166,68.1
0,tg,moe.shexp.up,48.0,0.7515,15.7
0,tg,moe.router,48.0,0.7248,15.1
0,tg,hc.cn,94.0,0.6673,7.1
0,tg,moe.shexp.down,48.0,0.4780,10.0
0,tg,moe.route,48.0,0.2829,5.9
0,tg,ple.kv,1.0,0.2597,259.8
0,tg,dn.conv,36.0,0.1916,5.3
0,tg,moe.combine,48.0,0.1573,3.3
0,tg,moe.perm.up,48.0,0.1388,2.9
0,tg,attn.score,12.0,0.1305,10.9
0,tg,dn.norm,36.0,0.1266,3.5
0,tg,attn.select,12.0,0.1263,10.5
0,tg,hc.down_reduce,97.0,0.1210,1.2
0,tg,attn.pack,12.0,0.0938,7.8
0,tg,moe.router.sum,48.0,0.0735,1.5
0,tg,attn.attn.combine,12.0,0.0690,5.8
0,tg,dn.qkv.sum,36.0,0.0621,1.7
0,tg,dn.out.sum,36.0,0.0620,1.7
0,tg,attn.idx,12.0,0.0511,4.3
0,tg,dn.hist,36.0,0.0445,1.2
0,tg,attn.expand,12.0,0.0321,2.7
0,tg,hc.norm,3.0,0.0235,7.8
0,tg,attn.out.sum,12.0,0.0216,1.8
0,tg,attn.qkv.sum,12.0,0.0187,1.6
0,tg,ple.gate,1.0,0.0159,16.0
0,tg,hc.combine,2.0,0.0085,4.3
0,tg,ple.conv,1.0,0.0039,4.0
0,tg,ple.hist,1.0,0.0011,1.1
8000,pp,moe.up,48.0,0.2974,12688.4
8000,pp,moe.down,48.0,0.1378,5880.3
8000,pp,attn.attn,12.0,0.1363,23255.5
8000,pp,hc.cn,94.0,0.0797,1736.3
8000,pp,dn.qkv,36.0,0.0751,4271.9
8000,pp,hc.up,97.0,0.0339,715.7
8000,pp,dn.scan,36.0,0.0295,1680.4
8000,pp,moe.combine,48.0,0.0279,1191.6
8000,pp,dn.out,36.0,0.0275,1566.6
8000,pp,hc.down,97.0,0.0255,537.4
8000,pp,attn.qkv,12.0,0.0222,3793.8
8000,pp,attn.expand,12.0,0.0198,3371.1
8000,pp,move,196.0,0.0158,164.9
8000,pp,attn.select,12.0,0.0136,2328.0
8000,pp,dn.conv,36.0,0.0134,759.6
8000,pp,moe.shexp.up,48.0,0.0126,536.9
8000,pp,attn.score,12.0,0.0110,1878.9
8000,pp,dn.norm,36.0,0.0102,581.4
8000,pp,attn.out,12.0,0.0094,1611.2
8000,pp,moe.shexp.down,48.0,0.0058,247.2
8000,pp,moe.router,48.0,0.0040,169.9
8000,pp,attn.pack,12.0,0.0030,518.1
8000,pp,ple.kv,1.0,0.0018,3734.1
8000,pp,moe.perm.up,48.0,0.0015,62.0
8000,pp,hc.combine,2.0,0.0013,1341.0
8000,pp,head.head,1.0,0.0012,2559.1
8000,pp,moe.route,48.0,0.0012,51.0
8000,pp,ple.gate,1.0,0.0009,1793.2
8000,pp,hc.norm,3.0,0.0008,536.9
8000,pp,ple.conv,1.0,0.0007,1526.9
8000,pp,attn.idx,12.0,0.0002,40.5
8000,pp,dn.hist,36.0,0.0001,4.0
8000,pp,ple.hist,1.0,0.0000,2.5
8000,pp,hc.down_reduce,1.0,0.0000,1.2
8000,tg,moe.up,48.0,5.3626,111.7
8000,tg,dn.qkv,36.0,4.3522,120.9
8000,tg,attn.attn.split,12.0,2.5360,211.3
8000,tg,moe.down,48.0,2.5190,52.5
8000,tg,dn.out,36.0,2.4911,69.2
8000,tg,head.head,1.0,2.3576,2357.7
8000,tg,hc.up,97.0,1.7830,18.4
8000,tg,attn.qkv,12.0,1.5384,128.2
8000,tg,hc.down,97.0,1.3550,14.0
8000,tg,dn.scan,36.0,1.1724,32.6
8000,tg,move,196.0,1.0780,5.5
8000,tg,moe.shexp.up,48.0,0.7430,15.5
8000,tg,moe.router,48.0,0.7220,15.0
8000,tg,hc.cn,94.0,0.6693,7.1
8000,tg,attn.out,12.0,0.6339,52.8
8000,tg,moe.shexp.down,48.0,0.4774,9.9
8000,tg,moe.route,48.0,0.2836,5.9
8000,tg,ple.kv,1.0,0.2481,248.1
8000,tg,attn.select,12.0,0.2381,19.9
8000,tg,dn.conv,36.0,0.1920,5.3
8000,tg,attn.score,12.0,0.1842,15.4
8000,tg,moe.combine,48.0,0.1573,3.3
8000,tg,moe.perm.up,48.0,0.1385,2.9
8000,tg,dn.norm,36.0,0.1283,3.6
8000,tg,hc.down_reduce,97.0,0.1239,1.3
8000,tg,attn.pack,12.0,0.0939,7.8
8000,tg,moe.router.sum,48.0,0.0726,1.5
8000,tg,attn.attn.combine,12.0,0.0696,5.8
8000,tg,dn.qkv.sum,36.0,0.0634,1.8
8000,tg,dn.out.sum,36.0,0.0625,1.7
8000,tg,attn.idx,12.0,0.0509,4.2
8000,tg,dn.hist,36.0,0.0440,1.2
8000,tg,attn.expand,12.0,0.0343,2.9
8000,tg,hc.norm,3.0,0.0238,7.9
8000,tg,attn.out.sum,12.0,0.0215,1.8
8000,tg,attn.qkv.sum,12.0,0.0192,1.6
8000,tg,ple.gate,1.0,0.0159,15.9
8000,tg,hc.combine,2.0,0.0074,3.7
8000,tg,ple.conv,1.0,0.0060,6.0
8000,tg,ple.hist,1.0,0.0011,1.2
16000,pp,moe.up,48.0,0.2813,12002.5
16000,pp,attn.attn,12.0,0.2189,37361.4
16000,pp,moe.down,48.0,0.1300,5547.1
16000,pp,hc.cn,94.0,0.0800,1742.5
16000,pp,dn.qkv,36.0,0.0752,4275.7
16000,pp,hc.up,97.0,0.0339,716.4
16000,pp,dn.scan,36.0,0.0297,1687.5
16000,pp,attn.select,12.0,0.0286,4873.4
16000,pp,moe.combine,48.0,0.0279,1191.9
16000,pp,dn.out,36.0,0.0277,1575.2
16000,pp,hc.down,97.0,0.0256,541.1
16000,pp,attn.qkv,12.0,0.0223,3801.3
16000,pp,attn.expand,12.0,0.0209,3569.5
16000,pp,move,196.0,0.0159,165.8
16000,pp,attn.score,12.0,0.0142,2428.9
16000,pp,dn.conv,36.0,0.0134,759.8
16000,pp,moe.shexp.up,48.0,0.0127,542.5
16000,pp,dn.norm,36.0,0.0102,580.8
16000,pp,attn.out,12.0,0.0094,1598.8
16000,pp,moe.shexp.down,48.0,0.0058,248.4
16000,pp,moe.router,48.0,0.0040,169.5
16000,pp,attn.pack,12.0,0.0031,523.7
16000,pp,ple.kv,1.0,0.0018,3720.0
16000,pp,moe.perm.up,48.0,0.0014,61.8
16000,pp,hc.combine,2.0,0.0013,1352.7
16000,pp,head.head,1.0,0.0012,2495.5
16000,pp,moe.route,48.0,0.0012,51.0
16000,pp,ple.gate,1.0,0.0009,1796.1
16000,pp,hc.norm,3.0,0.0008,530.0
16000,pp,ple.conv,1.0,0.0007,1510.6
16000,pp,attn.idx,12.0,0.0002,40.2
16000,pp,dn.hist,36.0,0.0001,4.0
16000,pp,ple.hist,1.0,0.0000,2.3
16000,pp,hc.down_reduce,1.0,0.0000,1.2
16000,tg,moe.up,48.0,5.3679,111.8
16000,tg,dn.qkv,36.0,4.3753,121.5
16000,tg,attn.attn.split,12.0,2.8964,241.4
16000,tg,moe.down,48.0,2.5350,52.8
16000,tg,dn.out,36.0,2.4911,69.2
16000,tg,head.head,1.0,2.4522,2452.3
16000,tg,hc.up,97.0,1.7876,18.4
16000,tg,attn.qkv,12.0,1.5388,128.2
16000,tg,hc.down,97.0,1.3585,14.0
16000,tg,dn.scan,36.0,1.1750,32.6
16000,tg,move,196.0,1.0947,5.6
16000,tg,moe.shexp.up,48.0,0.7529,15.7
16000,tg,moe.router,48.0,0.7214,15.0
16000,tg,hc.cn,94.0,0.6669,7.1
16000,tg,attn.out,12.0,0.6314,52.6
16000,tg,moe.shexp.down,48.0,0.4824,10.1
16000,tg,attn.select,12.0,0.3640,30.3
16000,tg,ple.kv,1.0,0.3191,319.2
16000,tg,moe.route,48.0,0.2834,5.9
16000,tg,attn.score,12.0,0.2589,21.6
16000,tg,dn.conv,36.0,0.1943,5.4
16000,tg,moe.combine,48.0,0.1601,3.3
16000,tg,moe.perm.up,48.0,0.1393,2.9
16000,tg,dn.norm,36.0,0.1295,3.6
16000,tg,hc.down_reduce,97.0,0.1230,1.3
16000,tg,attn.pack,12.0,0.0945,7.9
16000,tg,moe.router.sum,48.0,0.0726,1.5
16000,tg,attn.attn.combine,12.0,0.0711,5.9
16000,tg,dn.qkv.sum,36.0,0.0640,1.8
16000,tg,dn.out.sum,36.0,0.0624,1.7
16000,tg,attn.idx,12.0,0.0506,4.2
16000,tg,dn.hist,36.0,0.0440,1.2
16000,tg,attn.expand,12.0,0.0384,3.2
16000,tg,hc.norm,3.0,0.0257,8.6
16000,tg,attn.out.sum,12.0,0.0216,1.8
16000,tg,ple.gate,1.0,0.0204,20.4
16000,tg,attn.qkv.sum,12.0,0.0190,1.6
16000,tg,hc.combine,2.0,0.0094,4.7
16000,tg,ple.conv,1.0,0.0049,5.0
16000,tg,ple.hist,1.0,0.0015,1.5
32000,pp,attn.attn,12.0,0.3255,55546.0
32000,pp,moe.up,48.0,0.2769,11813.7
32000,pp,moe.down,48.0,0.1280,5462.6
32000,pp,hc.cn,94.0,0.0804,1752.0
32000,pp,dn.qkv,36.0,0.0754,4288.3
32000,pp,attn.select,12.0,0.0560,9563.5
32000,pp,hc.up,97.0,0.0340,717.2
32000,pp,dn.scan,36.0,0.0298,1692.7
32000,pp,moe.combine,48.0,0.0279,1191.8
32000,pp,dn.out,36.0,0.0278,1584.2
32000,pp,hc.down,97.0,0.0254,536.4
32000,pp,attn.score,12.0,0.0229,3913.6
32000,pp,attn.expand,12.0,0.0226,3858.6
32000,pp,attn.qkv,12.0,0.0223,3805.2
32000,pp,move,196.0,0.0158,165.5
32000,pp,dn.conv,36.0,0.0134,760.5
32000,pp,moe.shexp.up,48.0,0.0128,545.3
32000,pp,dn.norm,36.0,0.0103,584.5
32000,pp,attn.out,12.0,0.0094,1598.0
32000,pp,moe.shexp.down,48.0,0.0059,250.0
32000,pp,moe.router,48.0,0.0040,170.5
32000,pp,attn.pack,12.0,0.0030,517.0
32000,pp,ple.kv,1.0,0.0018,3689.0
32000,pp,moe.perm.up,48.0,0.0014,61.9
32000,pp,hc.combine,2.0,0.0013,1357.5
32000,pp,head.head,1.0,0.0012,2482.1
32000,pp,moe.route,48.0,0.0012,51.0
32000,pp,ple.gate,1.0,0.0009,1795.2
32000,pp,hc.norm,3.0,0.0008,524.7
32000,pp,ple.conv,1.0,0.0007,1525.5
32000,pp,attn.idx,12.0,0.0002,40.4
32000,pp,dn.hist,36.0,0.0001,4.0
32000,pp,ple.hist,1.0,0.0000,2.4
32000,pp,hc.down_reduce,1.0,0.0000,1.2
32000,tg,moe.up,48.0,5.4055,112.6
32000,tg,dn.qkv,36.0,4.3641,121.2
32000,tg,attn.attn.split,12.0,3.2546,271.2
32000,tg,moe.down,48.0,2.5274,52.7
32000,tg,dn.out,36.0,2.4933,69.3
32000,tg,head.head,1.0,2.3579,2358.0
32000,tg,hc.up,97.0,1.7875,18.4
32000,tg,attn.qkv,12.0,1.5381,128.2
32000,tg,hc.down,97.0,1.3561,14.0
32000,tg,dn.scan,36.0,1.1743,32.6
32000,tg,move,196.0,1.0921,5.6
32000,tg,moe.shexp.up,48.0,0.7545,15.7
32000,tg,moe.router,48.0,0.7215,15.0
32000,tg,hc.cn,94.0,0.6746,7.2
32000,tg,attn.select,12.0,0.6491,54.1
32000,tg,attn.out,12.0,0.6285,52.4
32000,tg,moe.shexp.down,48.0,0.4808,10.0
32000,tg,attn.score,12.0,0.3746,31.2
32000,tg,ple.kv,1.0,0.3205,320.5
32000,tg,moe.route,48.0,0.2893,6.0
32000,tg,dn.conv,36.0,0.1916,5.3
32000,tg,moe.combine,48.0,0.1604,3.3
32000,tg,moe.perm.up,48.0,0.1414,2.9
32000,tg,dn.norm,36.0,0.1293,3.6
32000,tg,hc.down_reduce,97.0,0.1230,1.3
32000,tg,attn.pack,12.0,0.0941,7.8
32000,tg,moe.router.sum,48.0,0.0734,1.5
32000,tg,attn.attn.combine,12.0,0.0720,6.0
32000,tg,dn.out.sum,36.0,0.0631,1.8
32000,tg,dn.qkv.sum,36.0,0.0631,1.8
32000,tg,attn.idx,12.0,0.0505,4.2
32000,tg,attn.expand,12.0,0.0461,3.8
32000,tg,dn.hist,36.0,0.0459,1.3
32000,tg,hc.norm,3.0,0.0256,8.6
32000,tg,attn.out.sum,12.0,0.0217,1.8
32000,tg,ple.gate,1.0,0.0201,20.2
32000,tg,attn.qkv.sum,12.0,0.0190,1.6
32000,tg,hc.combine,2.0,0.0107,5.4
32000,tg,ple.conv,1.0,0.0047,4.8
32000,tg,ple.hist,1.0,0.0015,1.5
64000,pp,attn.attn,12.0,0.5122,87414.9
