tokens,label,n_per_pass,ms_per_pass,us_each,pct_of_gpu
512,moe.up,48.0,367.90,7664.6,49.04
512,moe.down,48.0,145.05,3021.9,19.34
512,dn.qkv,36.0,47.48,1318.9,6.33
512,hc.down,97.0,29.56,304.7,3.94
512,hc.cn,94.0,22.47,239.0,3.00
512,dn.out,36.0,15.69,435.9,2.09
512,dn.scan,36.0,15.23,423.2,2.03
512,hc.up,97.0,15.04,155.1,2.00
512,moe.combine,48.0,14.64,304.9,1.95
512,attn.qkv,12.0,14.41,1200.9,1.92
512,moe.shexp.up,48.0,10.21,212.8,1.36
512,move,196.0,8.91,45.5,1.19
512,dn.conv,36.0,6.21,172.6,0.83
512,moe.router,48.0,6.01,125.2,0.80
512,attn.out,12.0,5.94,494.7,0.79
512,dn.norm,36.0,4.25,118.2,0.57
512,attn.attn,12.0,3.82,318.4,0.51
512,attn.score,12.0,3.54,295.3,0.47
512,moe.shexp.down,48.0,3.29,68.6,0.44
512,head.head,1.0,2.58,2582.9,0.34
512,attn.pack,12.0,1.48,122.9,0.20
512,ple.kv,1.0,1.25,1247.5,0.17
512,moe.route,48.0,0.91,18.9,0.12
512,moe.perm.up,48.0,0.86,17.9,0.11
512,attn.select,12.0,0.77,64.2,0.10
512,attn.expand,12.0,0.64,53.0,0.08
512,hc.norm,3.0,0.57,188.8,0.08
512,ple.gate,1.0,0.45,449.8,0.06
512,ple.conv,1.0,0.39,390.3,0.05
512,hc.combine,2.0,0.31,152.9,0.04
512,attn.idx,12.0,0.18,15.2,0.02
512,dn.hist,36.0,0.14,3.8,0.02
512,ple.hist,1.0,0.00,2.6,0.00
512,hc.down_reduce,1.0,0.00,1.3,0.00
1024,moe.up,48.0,475.42,9904.7,42.95
1024,moe.down,48.0,183.42,3821.3,16.57
1024,dn.qkv,36.0,83.73,2325.7,7.56
1024,hc.cn,94.0,57.93,616.3,5.23
1024,hc.down,97.0,37.71,388.8,3.41
1024,hc.up,97.0,34.65,357.3,3.13
1024,dn.scan,36.0,29.85,829.3,2.70
1024,dn.out,36.0,29.50,819.5,2.67
1024,moe.combine,48.0,28.85,601.1,2.61
1024,attn.qkv,12.0,26.08,2173.0,2.36
1024,moe.shexp.up,48.0,21.53,448.5,1.94
1024,dn.conv,36.0,13.48,374.4,1.22
1024,move,196.0,12.61,64.3,1.14
1024,attn.attn,12.0,11.48,956.6,1.04
1024,dn.norm,36.0,11.33,314.8,1.02
1024,attn.out,12.0,10.18,848.7,0.92
1024,attn.score,12.0,7.31,609.1,0.66
1024,moe.shexp.down,48.0,6.74,140.3,0.61
1024,moe.router,48.0,5.99,124.9,0.54
1024,attn.pack,12.0,3.13,260.7,0.28
1024,head.head,1.0,2.63,2627.8,0.24
1024,attn.expand,12.0,2.48,206.8,0.22
1024,ple.kv,1.0,1.96,1964.6,0.18
1024,attn.select,12.0,1.84,153.1,0.17
1024,moe.perm.up,48.0,1.54,32.1,0.14
1024,moe.route,48.0,1.45,30.2,0.13
1024,hc.norm,3.0,1.22,406.2,0.11
1024,ple.gate,1.0,0.92,922.0,0.08
1024,hc.combine,2.0,0.83,415.0,0.07
1024,ple.conv,1.0,0.78,780.0,0.07
1024,attn.idx,12.0,0.30,25.1,0.03
1024,dn.hist,36.0,0.13,3.7,0.01
1024,ple.hist,1.0,0.00,2.7,0.00
1024,hc.down_reduce,1.0,0.00,1.5,0.00
2048,moe.up,48.0,581.77,12120.2,33.86
2048,moe.down,48.0,268.41,5591.9,15.62
2048,dn.qkv,36.0,158.10,4391.8,9.20
2048,hc.cn,94.0,119.04,1266.4,6.93
2048,hc.up,97.0,70.17,723.4,4.08
2048,dn.scan,36.0,60.78,1688.4,3.54
2048,moe.combine,48.0,57.30,1193.7,3.33
2048,dn.out,36.0,56.85,1579.2,3.31
2048,hc.down,97.0,54.41,560.9,3.17
2048,attn.qkv,12.0,47.14,3928.5,2.74
2048,attn.attn,12.0,39.36,3279.9,2.29
2048,move,196.0,34.51,176.1,2.01
2048,dn.conv,36.0,27.35,759.7,1.59
2048,moe.shexp.up,48.0,26.00,541.6,1.51
2048,dn.norm,36.0,20.95,581.9,1.22
2048,attn.out,12.0,19.13,1593.8,1.11
2048,attn.score,12.0,15.75,1312.4,0.92
2048,moe.shexp.down,48.0,11.90,248.0,0.69
2048,attn.expand,12.0,9.56,796.4,0.56
2048,moe.router,48.0,8.10,168.8,0.47
2048,attn.pack,12.0,6.32,526.6,0.37
2048,attn.select,12.0,5.28,440.3,0.31
2048,ple.kv,1.0,3.77,3765.3,0.22
2048,moe.perm.up,48.0,2.95,61.5,0.17
2048,hc.combine,2.0,2.72,1361.8,0.16
2048,head.head,1.0,2.50,2505.0,0.15
2048,moe.route,48.0,2.46,51.2,0.14
2048,ple.gate,1.0,1.81,1810.1,0.11
2048,hc.norm,3.0,1.67,555.6,0.10
2048,ple.conv,1.0,1.54,1541.2,0.09
2048,attn.idx,12.0,0.52,43.7,0.03
2048,dn.hist,36.0,0.15,4.3,0.01
2048,ple.hist,1.0,0.00,2.7,0.00
2048,hc.down_reduce,1.0,0.00,1.3,0.00
4096,moe.up,48.0,842.79,17558.2,27.59
4096,moe.down,48.0,383.26,7984.7,12.55
4096,dn.qkv,36.0,311.33,8648.1,10.19
4096,hc.cn,94.0,233.46,2483.7,7.64
4096,attn.attn,12.0,154.58,12881.6,5.06
4096,hc.up,97.0,139.89,1442.2,4.58
4096,dn.scan,36.0,131.94,3665.0,4.32
4096,dn.out,36.0,118.01,3278.1,3.86
4096,moe.combine,48.0,112.43,2342.4,3.68
4096,hc.down,97.0,109.45,1128.3,3.58
4096,attn.qkv,12.0,91.61,7633.8,3.00
4096,move,196.0,70.58,360.1,2.31
4096,dn.conv,36.0,55.73,1548.0,1.82
4096,moe.shexp.up,48.0,52.38,1091.3,1.71
4096,attn.out,12.0,40.51,3376.2,1.33
4096,dn.norm,36.0,39.92,1108.9,1.31
4096,attn.score,12.0,34.71,2892.3,1.14
4096,attn.expand,12.0,28.90,2408.3,0.95
4096,moe.shexp.down,48.0,22.40,466.6,0.73
4096,attn.select,12.0,16.15,1346.0,0.53
4096,moe.router,48.0,16.08,335.0,0.53
4096,attn.pack,12.0,12.50,1041.9,0.41
4096,ple.kv,1.0,7.26,7259.7,0.24
4096,moe.perm.up,48.0,5.62,117.0,0.18
4096,hc.combine,2.0,5.43,2717.6,0.18
4096,moe.route,48.0,4.61,96.1,0.15
4096,ple.gate,1.0,3.56,3557.9,0.12
4096,ple.conv,1.0,2.99,2991.5,0.10
4096,hc.norm,3.0,2.99,995.8,0.10
4096,head.head,1.0,2.53,2531.2,0.08
