tokens,label,n_per_pass,ms_per_pass,us_each,pct_of_gpu
512,moe.up,48.0,367.99,7666.5,49.04
512,moe.down,48.0,145.18,3024.6,19.35
512,dn.qkv,36.0,47.27,1312.9,6.30
512,hc.down,97.0,30.29,312.2,4.04
512,hc.cn,94.0,21.49,228.6,2.86
512,dn.out,36.0,15.72,436.6,2.09
512,hc.up,97.0,15.48,159.6,2.06
512,dn.scan,36.0,15.11,419.6,2.01
512,moe.combine,48.0,14.68,305.8,1.96
512,attn.qkv,12.0,14.42,1201.9,1.92
512,moe.shexp.up,48.0,10.23,213.0,1.36
512,move,196.0,8.85,45.1,1.18
512,dn.conv,36.0,6.26,174.0,0.83
512,moe.router,48.0,6.03,125.5,0.80
512,attn.out,12.0,5.88,489.9,0.78
512,dn.norm,36.0,4.43,123.2,0.59
512,attn.attn,12.0,3.80,316.9,0.51
512,attn.score,12.0,3.54,295.2,0.47
512,moe.shexp.down,48.0,3.28,68.3,0.44
512,head.head,1.0,2.61,2609.1,0.35
512,attn.pack,12.0,1.49,124.0,0.20
512,ple.kv,1.0,1.25,1254.6,0.17
512,moe.route,48.0,0.92,19.2,0.12
512,moe.perm.up,48.0,0.86,17.9,0.11
512,attn.select,12.0,0.78,64.8,0.10
512,attn.expand,12.0,0.60,49.8,0.08
512,hc.norm,3.0,0.48,160.6,0.06
512,ple.gate,1.0,0.45,453.3,0.06
512,ple.conv,1.0,0.39,386.6,0.05
512,hc.combine,2.0,0.30,151.0,0.04
512,attn.idx,12.0,0.18,15.2,0.02
512,dn.hist,36.0,0.13,3.6,0.02
512,ple.hist,1.0,0.00,2.6,0.00
512,hc.down_reduce,1.0,0.00,1.2,0.00
1024,moe.up,48.0,475.55,9907.2,42.88
1024,moe.down,48.0,183.92,3831.6,16.58
1024,dn.qkv,36.0,83.54,2320.7,7.53
1024,hc.cn,94.0,58.70,624.4,5.29
1024,hc.down,97.0,39.54,407.6,3.56
1024,hc.up,97.0,33.90,349.5,3.06
1024,dn.scan,36.0,29.92,831.1,2.70
1024,dn.out,36.0,29.50,819.3,2.66
1024,moe.combine,48.0,28.86,601.3,2.60
1024,attn.qkv,12.0,25.99,2165.9,2.34
1024,moe.shexp.up,48.0,21.57,449.3,1.94
1024,dn.conv,36.0,13.51,375.4,1.22
1024,move,196.0,12.56,64.1,1.13
1024,attn.attn,12.0,11.48,956.7,1.04
1024,dn.norm,36.0,11.39,316.3,1.03
1024,attn.out,12.0,10.18,848.0,0.92
1024,attn.score,12.0,7.38,614.9,0.67
1024,moe.shexp.down,48.0,6.74,140.4,0.61
1024,moe.router,48.0,6.01,125.3,0.54
1024,attn.pack,12.0,3.06,255.2,0.28
1024,head.head,1.0,2.63,2627.1,0.24
1024,attn.expand,12.0,2.32,193.6,0.21
1024,ple.kv,1.0,1.97,1968.4,0.18
1024,attn.select,12.0,1.88,157.0,0.17
1024,moe.perm.up,48.0,1.55,32.2,0.14
1024,moe.route,48.0,1.45,30.1,0.13
1024,hc.norm,3.0,1.06,353.0,0.10
1024,ple.gate,1.0,0.91,910.6,0.08
1024,hc.combine,2.0,0.82,409.4,0.07
1024,ple.conv,1.0,0.76,764.0,0.07
1024,attn.idx,12.0,0.29,24.4,0.03
1024,dn.hist,36.0,0.14,3.8,0.01
1024,ple.hist,1.0,0.00,2.8,0.00
1024,hc.down_reduce,1.0,0.00,1.4,0.00
2048,moe.up,48.0,580.26,12088.8,33.01
2048,moe.down,48.0,268.39,5591.5,15.27
2048,hc.cn,94.0,163.71,1741.6,9.31
2048,dn.qkv,36.0,158.05,4390.2,8.99
2048,hc.up,97.0,69.28,714.2,3.94
2048,dn.scan,36.0,60.58,1682.9,3.45
2048,moe.combine,48.0,57.32,1194.3,3.26
2048,dn.out,36.0,56.52,1570.1,3.22
2048,hc.down,97.0,52.10,537.1,2.96
2048,attn.qkv,12.0,47.11,3925.5,2.68
2048,attn.attn,12.0,39.44,3286.6,2.24
2048,move,196.0,34.30,175.0,1.95
2048,dn.conv,36.0,27.35,759.8,1.56
2048,moe.shexp.up,48.0,25.86,538.7,1.47
2048,dn.norm,36.0,21.03,584.2,1.20
2048,attn.out,12.0,19.13,1594.3,1.09
2048,attn.score,12.0,15.78,1315.2,0.90
2048,moe.shexp.down,48.0,11.88,247.6,0.68
2048,attn.expand,12.0,9.87,822.7,0.56
2048,moe.router,48.0,8.09,168.5,0.46
2048,attn.pack,12.0,6.31,526.0,0.36
2048,attn.select,12.0,5.20,433.1,0.30
2048,ple.kv,1.0,3.73,3731.4,0.21
2048,moe.perm.up,48.0,2.94,61.2,0.17
2048,hc.combine,2.0,2.71,1353.7,0.15
2048,head.head,1.0,2.49,2494.7,0.14
2048,moe.route,48.0,2.45,51.0,0.14
2048,hc.norm,3.0,1.90,633.1,0.11
2048,ple.gate,1.0,1.80,1797.9,0.10
2048,ple.conv,1.0,1.52,1517.1,0.09
2048,attn.idx,12.0,0.51,42.5,0.03
2048,dn.hist,36.0,0.15,4.2,0.01
2048,ple.hist,1.0,0.00,2.7,0.00
2048,hc.down_reduce,1.0,0.00,1.2,0.00
4096,moe.up,48.0,841.51,17531.4,26.74
4096,moe.down,48.0,383.48,7989.1,12.18
4096,hc.cn,94.0,328.58,3495.5,10.44
4096,dn.qkv,36.0,311.04,8640.0,9.88
4096,attn.attn,12.0,154.45,12870.5,4.91
4096,hc.up,97.0,139.72,1440.4,4.44
4096,dn.scan,36.0,131.94,3664.9,4.19
4096,dn.out,36.0,119.29,3313.7,3.79
4096,moe.combine,48.0,112.41,2341.9,3.57
4096,hc.down,97.0,106.40,1096.9,3.38
4096,attn.qkv,12.0,91.64,7636.5,2.91
4096,move,196.0,70.60,360.2,2.24
4096,dn.conv,36.0,55.79,1549.8,1.77
