depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1775.9,1153.21,0.867,0.121,0.003,0.156,0.085,0.470,0.001,0.016,0.009,0.003,0.853
0,tg,4,130.6,30.62,32.658,5.545,0.273,8.510,3.841,10.358,2.377,1.065,0.246,0.140,31.970
8000,pp,2048,2115.8,967.94,1.033,0.121,0.003,0.156,0.202,0.479,0.001,0.016,0.051,0.003,0.979
8000,tg,4,149.9,26.69,37.466,5.651,0.296,8.800,5.175,10.627,2.358,1.115,2.730,0.152,34.022
16000,pp,2048,2292.8,893.22,1.120,0.121,0.003,0.157,0.311,0.456,0.001,0.016,0.050,0.004,1.065
16000,tg,4,150.9,26.50,37.731,5.583,0.288,8.484,5.639,10.388,2.355,1.086,3.063,0.193,33.824
32000,pp,2048,2544.0,805.02,1.242,0.121,0.003,0.157,0.444,0.449,0.001,0.016,0.047,0.004,1.191
32000,tg,4,160.7,24.89,40.180,5.752,0.269,9.092,6.492,10.796,2.366,1.140,3.571,0.155,35.908
64000,pp,2048,3069.3,667.26,1.499,0.121,0.003,0.157,0.700,0.453,0.001,0.016,0.043,0.004,1.451
64000,tg,4,166.4,24.04,41.596,5.759,0.270,8.669,7.204,10.814,2.611,1.133,4.566,0.200,36.461
