depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1797.1,1139.63,0.877,0.121,0.003,0.156,0.089,0.478,0.001,0.016,0.008,0.003,0.864
0,tg,4,130.2,30.72,32.556,5.521,0.268,8.469,3.960,10.357,2.339,1.055,0.124,0.161,31.971
8000,pp,2048,2163.9,946.42,1.057,0.121,0.003,0.156,0.220,0.487,0.001,0.016,0.049,0.004,1.004
8000,tg,4,149.0,26.85,37.250,5.636,0.273,8.514,5.598,10.516,2.349,1.114,2.753,0.156,34.001
16000,pp,2048,2331.9,878.27,1.139,0.122,0.003,0.157,0.325,0.462,0.001,0.016,0.048,0.003,1.086
16000,tg,4,152.1,26.29,38.035,5.580,0.291,8.496,5.917,10.388,2.368,1.087,3.139,0.189,34.129
32000,pp,2048,2603.9,786.50,1.271,0.121,0.003,0.157,0.466,0.456,0.001,0.016,0.046,0.004,1.221
32000,tg,4,159.1,25.14,39.772,5.725,0.278,8.572,6.846,10.691,2.356,1.123,3.642,0.171,35.593
64000,pp,2048,3145.2,651.15,1.536,0.122,0.003,0.157,0.731,0.459,0.001,0.016,0.043,0.003,1.489
64000,tg,4,167.8,23.84,41.947,5.779,0.286,8.707,7.476,10.864,2.354,1.147,4.548,0.177,36.617
