depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1789.6,1144.38,0.874,0.121,0.003,0.156,0.085,0.478,0.001,0.016,0.007,0.004,0.861
0,tg,4,130.0,30.78,32.490,5.540,0.270,8.509,3.831,10.366,2.341,1.062,0.128,0.165,31.921
8000,pp,2048,2133.4,959.95,1.042,0.121,0.003,0.156,0.203,0.487,0.001,0.016,0.050,0.003,0.987
8000,tg,4,147.0,27.21,36.755,5.579,0.289,8.496,5.136,10.484,2.377,1.098,2.772,0.188,33.460
16000,pp,2048,2307.0,887.73,1.126,0.121,0.003,0.156,0.313,0.463,0.001,0.016,0.049,0.004,1.074
16000,tg,4,154.0,25.97,38.504,5.699,0.476,8.740,5.739,10.699,2.365,1.120,2.998,0.179,34.839
32000,pp,2048,2558.8,800.38,1.249,0.121,0.003,0.157,0.445,0.456,0.001,0.016,0.045,0.004,1.200
32000,tg,4,158.1,25.30,39.529,5.724,0.281,8.786,6.399,10.722,2.365,1.129,3.592,0.187,35.407
64000,pp,2048,3088.5,663.10,1.508,0.121,0.003,0.157,0.704,0.460,0.001,0.016,0.041,0.004,1.463
64000,tg,4,164.6,24.30,41.150,5.636,0.340,8.588,7.110,10.614,2.377,1.107,4.476,0.181,35.772
