depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1791.1,1143.41,0.875,0.121,0.003,0.156,0.085,0.479,0.001,0.016,0.008,0.003,0.861
0,tg,4,130.4,30.66,32.611,5.574,0.272,8.490,3.834,10.390,2.364,1.064,0.129,0.153,31.989
8000,pp,2048,2131.8,960.69,1.041,0.121,0.003,0.156,0.201,0.487,0.001,0.016,0.051,0.003,0.986
8000,tg,4,148.6,26.91,37.159,5.609,0.297,8.482,5.144,10.499,2.667,1.099,2.791,0.222,33.799
16000,pp,2048,2306.4,887.97,1.126,0.121,0.003,0.157,0.311,0.465,0.001,0.016,0.048,0.003,1.075
16000,tg,4,148.8,26.88,37.208,5.546,0.272,8.512,5.593,10.362,2.365,0.970,3.075,0.149,33.620
32000,pp,2048,2558.1,800.60,1.249,0.121,0.003,0.157,0.443,0.457,0.001,0.016,0.046,0.003,1.199
32000,tg,4,155.6,25.70,38.911,5.699,0.291,8.525,6.399,10.602,2.357,1.114,3.386,0.170,34.987
64000,pp,2048,3091.2,662.52,1.509,0.121,0.003,0.157,0.700,0.460,0.001,0.016,0.046,0.003,1.459
64000,tg,4,164.9,24.25,41.237,5.688,0.383,8.573,7.088,10.606,2.378,1.117,4.558,0.262,35.835
